#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN02700075	Staphylococcus aureus	Staphylococcus aureus	clinical	USA	human	PDT000025954.4	ciprofloxacin	susceptible	=	0.25					CLSI	2018-03-02T13:17:05Z
SAMN04456593	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	tissue	PDT000107931.3	ciprofloxacin	resistant	>=	8.0		Vitek	Biomérieux		CLSI	2024-02-13T14:33:35Z
SAMN04901607	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000152770.2	cefoxitin	resistant	>	16.0					CLSI	2016-10-17T12:20:46Z
SAMN06311511	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	sputum	PDT000186897.3	ciprofloxacin	susceptible	<=	0.5		Vitek	Biomérieux		CLSI	2017-04-13T20:40:09Z
SAMN06677988	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Nebraska	skin and soft tissue	PDT000202873.2	amoxicillin-clavulanic acid	resistant	<=	4.0		Microscan	Siemens		CLSI	2017-04-11T10:51:06Z
SAMN08391007	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Nebraska	skin and soft tissue	PDT000284750.2	amoxicillin-clavulanic acid	resistant	<=	4.0		Microscan	Siemens		CLSI	2018-01-31T01:00:11Z
SAMN08391108	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:California	skin and soft tissue	PDT000284751.2	amoxicillin-clavulanic acid	resistant	>	4.0		Microscan	Siemens		CLSI	2018-01-31T01:00:18Z
SAMN08456648	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000287913.2	cefoxitin	susceptible	==	2.0		Phoenix	Becton Dickinson		EUCAST	2018-02-10T12:10:28Z
SAMN08456629	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000287914.2	amoxicillin-clavulanic acid	susceptible	<=	4.0		Phoenix	Becton Dickinson		EUCAST	2018-02-10T12:10:35Z
SAMN08456651	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302341.2	amoxicillin-clavulanic acid	susceptible	<=	4.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:24:14Z
SAMN08456662	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302342.2	amoxicillin-clavulanic acid	susceptible	<=	4.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:25:30Z
SAMN08456633	Staphylococcus aureus	Staphylococcus aureus	clinical	Russia: Moscow	Skin lesions	PDT000302343.2	amoxicillin-clavulanic acid	susceptible	<=	4.0		Phoenix	Becton Dickinson		EUCAST	2018-03-26T13:27:17Z
SAMN07291559	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313594.2	cefoxitin	resistant	==	8.0					CLSI	2018-04-30T08:53:06Z
SAMN07291558	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313595.2	cefoxitin	resistant	>	16.0					CLSI	2018-04-30T08:55:08Z
SAMN07291554	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313596.2	cefoxitin	resistant	==	8.0					CLSI	2018-04-30T09:01:08Z
SAMN07291557	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313597.2	cefoxitin	susceptible	==	4.0					CLSI	2018-04-30T09:04:06Z
SAMN07291555	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000313598.2	cefoxitin	resistant	==	8.0					CLSI	2018-04-30T09:06:07Z
SAMN07291565	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326661.2	cefoxitin	resistant	==	8.0					CLSI	2018-06-06T07:53:06Z
SAMN04901613	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326662.2	cefoxitin	resistant	==	16.0					CLSI	2018-06-06T07:55:07Z
SAMN04901609	Staphylococcus aureus	Staphylococcus aureus	clinical			PDT000326663.2	cefoxitin	resistant	>	16.0					CLSI	2018-06-06T07:56:05Z
