node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	Aeromonas caviae	382	369	751	1	751
blaMOX	blaCMY-FOX	blaMOX	BETA-LACTAM	CEPHALOSPORIN	Aeromonas caviae	549	201	750	0.9986684420772304	751
blaCMY-FOX	NA	NA	NA	NA	Aeromonas caviae	0	549	549	0.7310252996005326	751
bla-D	NA	NA	NA	NA	Aeromonas caviae	0	382	382	0.5086551264980027	751
blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	Aeromonas veronii	267	45	312	0.9968051118210862	313
cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	Aeromonas veronii	306	0	306	0.9776357827476039	313
bla-B2	NA	NA	NA	NA	Aeromonas veronii	0	306	306	0.9776357827476039	313
sul	NA	NA	NA	NA	Aeromonas caviae	0	300	300	0.3994673768308921	751
blaOXA-PR	NA	NA	NA	NA	Aeromonas veronii	0	267	267	0.853035143769968	313
cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	Aeromonas salmonicida	211	51	262	1	262
blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	Aeromonas salmonicida	220	41	261	0.9961832061068703	262
bla-D	NA	NA	NA	NA	Aeromonas salmonicida	0	220	220	0.8396946564885496	262
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Aeromonas caviae	218	0	218	0.29027962716378164	751
bla-B2	NA	NA	NA	NA	Aeromonas salmonicida	0	211	211	0.8053435114503816	262
tet_A_B_C_D	NA	NA	NA	NA	Aeromonas caviae	0	195	195	0.2596537949400799	751
ant(3'')-Ia	NA	NA	NA	NA	Aeromonas caviae	0	161	161	0.21438082556591212	751
dfrA	NA	NA	NA	NA	Aeromonas caviae	0	134	134	0.17842876165113183	751
blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	Aeromonas hydrophila	103	23	126	0.9921259842519685	127
blaCMY-FOX	NA	NA	NA	NA	Aeromonas hydrophila	0	126	126	0.9921259842519685	127
cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	Aeromonas hydrophila	97	27	124	0.9763779527559056	127
blaOXA-1160	blaOXA-PR	blaOXA-1160	BETA-LACTAM	BETA-LACTAM	Aeromonas caviae	124	0	124	0.16511318242343542	751
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Aeromonas caviae	121	0	121	0.1611185086551265	751
cphA	bla-B2	cphA	BETA-LACTAM	CARBAPENEM	Aeromonas dhakensis	73	48	121	1	121
blaOXA-12_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	Aeromonas dhakensis	109	12	121	1	121
aph(3'')	NA	NA	NA	NA	Aeromonas caviae	0	121	121	0.1611185086551265	751
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Aeromonas caviae	120	0	120	0.15978695073235685	751
aph(6)-I	NA	NA	NA	NA	Aeromonas caviae	0	120	120	0.15978695073235685	751
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Aeromonas caviae	117	1	118	0.15712383488681758	751
mcr-3_set	pmrC_gen	mcr-3	COLISTIN	COLISTIN	Aeromonas salmonicida	114	2	116	0.44274809160305345	262
pmrC_gen	NA	NA	NA	NA	Aeromonas salmonicida	0	114	114	0.4351145038167939	262
blaOXA-PR	NA	NA	NA	NA	Aeromonas dhakensis	0	109	109	0.9008264462809917	121
blaOXA-PR	NA	NA	NA	NA	Aeromonas hydrophila	0	103	103	0.8110236220472441	127
bla-B2	NA	NA	NA	NA	Aeromonas hydrophila	0	97	97	0.7637795275590551	127
tet(E)	tet_A_B_C_D	tet(E)	TETRACYCLINE	TETRACYCLINE	Aeromonas caviae	96	0	96	0.1278295605858855	751
mph_gen	NA	NA	NA	NA	Aeromonas caviae	0	91	91	0.12117177097203728	751
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Aeromonas caviae	90	0	90	0.11984021304926765	751
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Aeromonas caviae	79	0	79	0.1051930758988016	751
blaTRU	blaCMY-FOX	blaTRU	BETA-LACTAM	CARBAPENEM	Aeromonas enteropelogenes	72	2	74	1	74
blaOXA-1163	blaOXA-PR	blaOXA-1163	BETA-LACTAM	BETA-LACTAM	Aeromonas caviae	74	0	74	0.0985352862849534	751
catB	NA	NA	NA	NA	Aeromonas caviae	0	74	74	0.0985352862849534	751
cepS	blaCMY-FOX	cepS	BETA-LACTAM	CEPHALOSPORIN	Aeromonas hydrophila	73	0	73	0.5748031496062992	127
bla-B2	NA	NA	NA	NA	Aeromonas dhakensis	0	73	73	0.6033057851239669	121
blaCMY-FOX	NA	NA	NA	NA	Aeromonas enteropelogenes	0	72	72	0.972972972972973	74
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Aeromonas caviae	69	0	69	0.09187749667110519	751
tet_A_B_C_D	NA	NA	NA	NA	Aeromonas veronii	0	68	68	0.21725239616613418	313
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Aeromonas caviae	66	0	66	0.08788282290279627	751
cmlA_floR	NA	NA	NA	NA	Aeromonas caviae	0	65	65	0.08655126498002663	751
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Aeromonas caviae	61	3	64	0.085219707057257	751
blaAQU	blaCMY-FOX	blaAQU	BETA-LACTAM	BETA-LACTAM	Aeromonas dhakensis	62	2	64	0.5289256198347108	121
blaOXA-780	blaOXA-PR	blaOXA-780	BETA-LACTAM	BETA-LACTAM	Aeromonas caviae	64	0	64	0.085219707057257	751
blaCMY-FOX	NA	NA	NA	NA	Aeromonas dhakensis	0	62	62	0.512396694214876	121
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Aeromonas caviae	57	0	57	0.0758988015978695	751
blaMOX-12	blaMOX	blaMOX-12	BETA-LACTAM	CEPHALOSPORIN	Aeromonas caviae	56	0	56	0.07456724367509987	751
cepH	blaCMY-FOX	cepH	BETA-LACTAM	CEPHALOSPORIN	Aeromonas hydrophila	53	0	53	0.41732283464566927	127
cphA1	cphA	cphA1	BETA-LACTAM	CARBAPENEM	Aeromonas salmonicida	51	0	51	0.1946564885496183	262
tet(E)	tet_A_B_C_D	tet(E)	TETRACYCLINE	TETRACYCLINE	Aeromonas veronii	49	0	49	0.15654952076677317	313
sul	NA	NA	NA	NA	Aeromonas salmonicida	0	49	49	0.18702290076335878	262
tet_A_B_C_D	NA	NA	NA	NA	Aeromonas hydrophila	0	49	49	0.3858267716535433	127
cphA1	cphA	cphA1	BETA-LACTAM	CARBAPENEM	Aeromonas dhakensis	48	0	48	0.39669421487603307	121
dfrA15	dfrA	dfrA15	TRIMETHOPRIM	TRIMETHOPRIM	Aeromonas caviae	48	0	48	0.06391478029294274	751
blaMOX-13	blaMOX	blaMOX-13	BETA-LACTAM	CEPHALOSPORIN	Aeromonas caviae	48	0	48	0.06391478029294274	751
sul	NA	NA	NA	NA	Aeromonas hydrophila	0	43	43	0.33858267716535434	127
blaPER	bla-A2	blaPER	BETA-LACTAM	CEPHALOSPORIN	Aeromonas caviae	2	39	41	0.05459387483355526	751
blaOXA-912	blaOXA-12_fam	blaOXA-912	BETA-LACTAM	BETA-LACTAM	Aeromonas veronii	41	0	41	0.13099041533546327	313
blaOXA-956	blaOXA-PR	blaOXA-956	BETA-LACTAM	BETA-LACTAM	Aeromonas salmonicida	41	0	41	0.15648854961832062	262
