node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaBOR	bla-A	blaBOR	BETA-LACTAM	BETA-LACTAM	Bordetella pertussis	148	292	440	0.06078187594971681	7239
blaBOR-1	blaBOR	blaBOR-1	BETA-LACTAM	BETA-LACTAM	Bordetella pertussis	292	0	292	0.04033706313026661	7239
bla-A	NA	NA	NA	NA	Bordetella pertussis	0	148	148	0.020444812819450202	7239
sul	NA	NA	NA	NA	Bordetella pertussis	0	80	80	0.011051250172675784	7239
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Bordetella pertussis	69	0	69	0.009531703273932863	7239
blaHBL	bla-A	blaHBL	BETA-LACTAM	BETA-LACTAM	Bordetella hinzii	5	57	62	0.9841269841269841	63
blaHBL-1	blaHBL	blaHBL-1	BETA-LACTAM	BETA-LACTAM	Bordetella hinzii	57	0	57	0.9047619047619048	63
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Bordetella pertussis	11	0	11	0.0015195468987429202	7239
tet_A_B_C_D	NA	NA	NA	NA	Bordetella pertussis	0	10	10	0.001381406271584473	7239
blaHBL	bla-A	blaHBL	BETA-LACTAM	BETA-LACTAM	Bordetella pseudohinzii	7	0	7	1	7
bla-A	NA	NA	NA	NA	Bordetella pseudohinzii	0	7	7	1	7
blaTEM	NA	NA	NA	NA	Bordetella pertussis	0	7	7	9.669843901091311e-4	7239
tet(G)	tet_A_B_C_D	tet(G)	TETRACYCLINE	TETRACYCLINE	Bordetella pertussis	6	0	6	8.288437629506838e-4	7239
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Bordetella pertussis	5	0	5	6.907031357922365e-4	7239
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Bordetella pertussis	5	0	5	6.907031357922365e-4	7239
aph(3'')	NA	NA	NA	NA	Bordetella pertussis	0	5	5	6.907031357922365e-4	7239
aph(6)-I	NA	NA	NA	NA	Bordetella pertussis	0	5	5	6.907031357922365e-4	7239
