node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
RND-peri	NA	NA	NA	NA	Brucella melitensis	0	5024	5024	1.9968203497615262	2516
RND-IM	NA	NA	NA	NA	Brucella melitensis	0	4991	4991	1.9837042925278219	2516
bepD	RND-peri	bepD	EFFLUX	EFFLUX	Brucella melitensis	2513	0	2513	0.9988076311605724	2516
bepF	RND-peri	bepF	EFFLUX	EFFLUX	Brucella melitensis	2511	0	2511	0.9980127186009539	2516
bepE	RND-IM	bepE	EFFLUX	EFFLUX	Brucella melitensis	2509	0	2509	0.9972178060413355	2516
bepC	RND-OM	bepC	EFFLUX	EFFLUX	Brucella melitensis	2495	0	2495	0.9916534181240063	2516
RND-OM	NA	NA	NA	NA	Brucella melitensis	0	2495	2495	0.9916534181240063	2516
bepG	RND-IM	bepG	EFFLUX	EFFLUX	Brucella melitensis	2482	0	2482	0.9864864864864865	2516
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Brucella melitensis	3	0	3	0.0011923688394276629	2516
aph(3')-I	NA	NA	NA	NA	Brucella melitensis	0	3	3	0.0011923688394276629	2516
aph(3')-IIa	aph(3')-II	aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	Brucella melitensis	1	0	1	3.97456279809221e-4	2516
tet(C)	tet_A_B_C_D	tet(C)	TETRACYCLINE	TETRACYCLINE	Brucella melitensis	1	0	1	3.97456279809221e-4	2516
aph(3')-II	NA	NA	NA	NA	Brucella melitensis	0	1	1	3.97456279809221e-4	2516
tet_A_B_C_D	NA	NA	NA	NA	Brucella melitensis	0	1	1	3.97456279809221e-4	2516
