node_id	parent_node_id	Gene symbol	Class	Subclass	n.node	n.node_child	sum	freq
aac(3)-IIa	aac(3)-II	aac(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	2	NA	1738	7.459227467811159
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	55	NA	1738	7.459227467811159
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	55	NA	1738	7.459227467811159
floR2	floR	floR2	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	3	NA	1738	7.459227467811159
ant(2'')-Ia	ant(2'')	ant(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	55	NA	1738	7.459227467811159
tet(C)	tet_A_B_C_D	tet(C)	TETRACYCLINE	TETRACYCLINE	54	NA	1738	7.459227467811159
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	55	NA	1738	7.459227467811159
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	58	NA	1738	7.459227467811159
tet(G)	tet_A_B_C_D	tet(G)	TETRACYCLINE	TETRACYCLINE	3	NA	1738	7.459227467811159
blaPEN-bcc	blaPEN	blaPEN-bcc	BETA-LACTAM	BETA-LACTAM	233	NA	1738	7.459227467811159
aac(6')-Ib4	aac(6')-Ib-G	aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	3	NA	1738	7.459227467811159
blaOXA-2	blaOXA-2_fam	blaOXA-2	BETA-LACTAM	BETA-LACTAM	3	NA	1738	7.459227467811159
cmlA10	cmlA	cmlA10	PHENICOL	CHLORAMPHENICOL	55	NA	1738	7.459227467811159
norM	NA	norM	EFFLUX	EFFLUX	233	NA	1738	7.459227467811159
gyrA	NA	gyrA_T83I	QUINOLONE	QUINOLONE	2	NA	1738	7.459227467811159
aac(3)-II	NA	NA	NA	NA	NA	2	1738	7.459227467811159
aac(6')-Ib-G	NA	NA	NA	NA	NA	3	1738	7.459227467811159
ant(2'')	NA	NA	NA	NA	NA	55	1738	7.459227467811159
ant(3'')-Ia	NA	NA	NA	NA	NA	55	1738	7.459227467811159
aph(3'')	NA	NA	NA	NA	NA	55	1738	7.459227467811159
aph(6)-I	NA	NA	NA	NA	NA	55	1738	7.459227467811159
blaOXA-2_fam	NA	NA	NA	NA	NA	3	1738	7.459227467811159
blaPEN	NA	NA	NA	NA	NA	233	1738	7.459227467811159
cmlA	NA	NA	NA	NA	NA	55	1738	7.459227467811159
floR	NA	NA	NA	NA	NA	3	1738	7.459227467811159
sul	NA	NA	NA	NA	NA	58	1738	7.459227467811159
tet_A_B_C_D	NA	NA	NA	NA	NA	57	1738	7.459227467811159
NA	NA	NA	NA	NA	NA	235	1738	7.459227467811159
