node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaPEN-I	blaPEN-bpc	blaPEN-I	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	5112	0	5112	0.9984375	5120
blaPEN-bpc	NA	NA	NA	NA	Burkholderia mallei	0	5112	5112	0.9984375	5120
aac(6')-III	aac(6')_E	aac(6')-III	AMINOGLYCOSIDE	TOBRAMYCIN	Burkholderia mallei	5099	0	5099	0.9958984375	5120
aac(6')_E	NA	NA	NA	NA	Burkholderia mallei	0	5099	5099	0.9958984375	5120
blaOXA-42_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	1905	3078	4983	0.9732421875	5120
blaOXA-59	blaOXA-42_fam	blaOXA-59	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	2696	0	2696	0.5265625	5120
blaOXA-PR	NA	NA	NA	NA	Burkholderia mallei	0	1905	1905	0.3720703125	5120
blaOXA-57	blaOXA-42_fam	blaOXA-57	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	382	0	382	0.074609375	5120
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	1	12	13	0.0025390625	5120
blaTEM-116	blaTEM	blaTEM-116	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	12	0	12	0.00234375	5120
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Burkholderia mallei	1	0	1	1.953125e-4	5120
msr(E)	msr	msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	Burkholderia mallei	1	0	1	1.953125e-4	5120
mph(E)	mph_3	mph(E)	MACROLIDE	ERYTHROMYCIN	Burkholderia mallei	1	0	1	1.953125e-4	5120
blaZ	blaZ_gen	blaZ	BETA-LACTAM	BETA-LACTAM	Burkholderia mallei	1	0	1	1.953125e-4	5120
lnu(A)	lnu_AE	lnu(A)	LINCOSAMIDE	LINCOSAMIDE	Burkholderia mallei	1	0	1	1.953125e-4	5120
ble-Sh	ble	ble-Sh	BLEOMYCIN	BLEOMYCIN	Burkholderia mallei	1	0	1	1.953125e-4	5120
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Burkholderia mallei	1	0	1	1.953125e-4	5120
bla-A	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
blaZ_gen	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
ble	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
catA	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
lnu_AE	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
mph_3	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
msr	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
tet_A_B_C_D	NA	NA	NA	NA	Burkholderia mallei	0	1	1	1.953125e-4	5120
