node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaOXA-61_fam	blaOXA_Campy	blaOXA	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	3881	50871	54752	0.6757503949447078	81024
blaOXA-193	blaOXA-61_fam	blaOXA-193	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	37386	0	37386	0.46141883886255924	81024
tet(M-W-O-S)	NA	NA	NA	NA	Campylobacter_D jejuni	0	34043	34043	0.4201594589257504	81024
tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	Campylobacter_D jejuni	33401	0	33401	0.41223588072669826	81024
gyrA	NA	gyrA_T86I	QUINOLONE	QUINOLONE	Campylobacter_D jejuni	24062	0	24062	0.29697373617693523	81024
blaOXA-61_fam	blaOXA_Campy	blaOXA	BETA-LACTAM	BETA-LACTAM	Campylobacter_D coli	1375	17836	19211	0.6567863247863248	29250
50S_L22	NA	50S_L22_A103V	MACROLIDE	MACROLIDE	Campylobacter_D jejuni	17534	0	17534	0.2164050157977883	81024
NA	NA	blaOXA-61_G-57T	BETA-LACTAM	CARBAPENEM	Campylobacter_D jejuni	14980	0	14980	0.18488349131121642	81024
tet(M-W-O-S)	NA	NA	NA	NA	Campylobacter_D coli	0	13953	13953	0.47702564102564105	29250
tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	Campylobacter_D coli	13556	0	13556	0.46345299145299146	29250
blaOXA-184_fam	blaOXA_Campy	blaOXA	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	2015	8317	10332	0.12751777251184834	81024
blaOXA-193	blaOXA-61_fam	blaOXA-193	BETA-LACTAM	BETA-LACTAM	Campylobacter_D coli	10068	0	10068	0.3442051282051282	29250
gyrA	NA	gyrA_T86I	QUINOLONE	QUINOLONE	Campylobacter_D coli	7743	0	7743	0.26471794871794874	29250
NA	NA	blaOXA-61_G-57T	BETA-LACTAM	CARBAPENEM	Campylobacter_D coli	6997	0	6997	0.2392136752136752	29250
aph(3')	NA	NA	NA	NA	Campylobacter_D coli	0	6674	6674	0.22817094017094017	29250
blaOXA_Campy	NA	NA	NA	NA	Campylobacter_D jejuni	0	5908	5908	0.07291666666666667	81024
ant(6)	NA	NA	NA	NA	Campylobacter_D coli	0	5727	5727	0.1957948717948718	29250
aph(3')	NA	NA	NA	NA	Campylobacter_D jejuni	0	4926	4926	0.0607968009478673	81024
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Campylobacter_D jejuni	4916	0	4916	0.06067338072669826	81024
50S_L22	NA	50S_L22_A103V	MACROLIDE	MACROLIDE	Campylobacter_D coli	4839	0	4839	0.16543589743589743	29250
blaOXA-184	blaOXA-184_fam	blaOXA-184	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	4666	0	4666	0.057587875197472355	81024
blaOXA-61	blaOXA-61_fam	blaOXA-61	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	4548	0	4548	0.056131516587677725	81024
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Campylobacter_D coli	4097	0	4097	0.14006837606837608	29250
ant(6)-Ig	ant(6)	aadE-Cc	AMINOGLYCOSIDE	STREPTOMYCIN	Campylobacter_D coli	3847	0	3847	0.13152136752136753	29250
blaOXA-461	blaOXA-61_fam	blaOXA-461	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	3244	0	3244	0.040037519747235385	81024
blaOXA-489	blaOXA-61_fam	blaOXA-489	BETA-LACTAM	BETA-LACTAM	Campylobacter_D coli	3186	0	3186	0.10892307692307693	29250
ant(6)	NA	NA	NA	NA	Campylobacter_D jejuni	0	2570	2570	0.03171899684044234	81024
aph(3')-VIIa	aph(3')	aph(3')-VIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Campylobacter_D coli	2536	0	2536	0.0867008547008547	29250
sat	NA	NA	NA	NA	Campylobacter_D jejuni	0	2523	2523	0.031138921800947867	81024
NA	NA	23S_A2075G	MACROLIDE	MACROLIDE	Campylobacter_D coli	2288	0	2288	0.07822222222222222	29250
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Campylobacter_D jejuni	1957	0	1957	0.02415333728278041	81024
blaOXA-594	blaOXA-61_fam	blaOXA-594	BETA-LACTAM	BETA-LACTAM	Campylobacter_D coli	1751	0	1751	0.059863247863247863	29250
blaOXA-460	blaOXA-61_fam	blaOXA-460	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	1742	0	1742	0.02149980252764613	81024
sat	NA	NA	NA	NA	Campylobacter_D coli	0	1622	1622	0.05545299145299145	29250
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Campylobacter_D jejuni	1620	0	1620	0.019994075829383885	81024
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Campylobacter_D coli	1537	0	1537	0.05254700854700855	29250
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Campylobacter_D coli	1500	0	1500	0.05128205128205128	29250
blaOXA-460	blaOXA-61_fam	blaOXA-460	BETA-LACTAM	BETA-LACTAM	Campylobacter_D coli	1478	0	1478	0.05052991452991453	29250
blaOXA_Campy	NA	NA	NA	NA	Campylobacter_D coli	0	1380	1380	0.04717948717948718	29250
blaOXA-603	blaOXA-61_fam	blaOXA-603	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	1247	0	1247	0.015390501579778832	81024
aadE	ant(6)	aadE	AMINOGLYCOSIDE	STREPTOMYCIN	Campylobacter_D jejuni	947	0	947	0.011687894944707742	81024
NA	NA	23S_A2075G	MACROLIDE	MACROLIDE	Campylobacter_D jejuni	833	0	833	0.010280904423380727	81024
blaOXA-449	blaOXA-184_fam	blaOXA-449	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	758	0	758	0.009355252764612954	81024
blaOXA-623	blaOXA-184_fam	blaOXA-623	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	753	0	753	0.009293542654028436	81024
blaOXA-447	blaOXA-184_fam	blaOXA-447	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	735	0	735	0.009071386255924171	81024
ant(9)	NA	NA	NA	NA	Campylobacter_D coli	0	725	725	0.024786324786324785	29250
blaOXA-591	blaOXA-61_fam	blaOXA-591	BETA-LACTAM	BETA-LACTAM	Campylobacter_D jejuni	682	0	682	0.008417259083728278	81024
aad9	ant(9)	aad9	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Campylobacter_D coli	677	0	677	0.023145299145299145	29250
ant(9)	NA	NA	NA	NA	Campylobacter_D jejuni	0	582	582	0.007183056872037914	81024
aad9	ant(9)	aad9	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Campylobacter_D jejuni	576	0	576	0.0071090047393364926	81024
satA_Bant	sat	satA	STREPTOTHRICIN	STREPTOTHRICIN	Campylobacter_D jejuni	566	0	566	0.006985584518167456	81024
lnu(C)	lnu_CDP	lnu(C)	LINCOSAMIDE	LINCOSAMIDE	Campylobacter_D coli	515	0	515	0.017606837606837608	29250
lnu_CDP	NA	NA	NA	NA	Campylobacter_D coli	0	515	515	0.017606837606837608	29250
