node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaCIA	bla-A_Chryseo	blaCIA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium indologenes	2	6	8	1	8
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium indologenes	1	7	8	1	8
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium arthrosphaerae	6	0	6	1	6
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium arthrosphaerae	0	6	6	1	6
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium cucumeris	5	0	5	1	5
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium cucumeris	0	5	5	1	5
blaCGA	bla-A_Chryseo	blaCGA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium gleum	3	1	4	1	4
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium sp003182335	4	0	4	1	4
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium gleum	3	1	4	1	4
blaCHM	bla-B1	blaCHM	BETA-LACTAM	CARBAPENEM	Chryseobacterium rhizosphaerae	3	1	4	0.8	5
blaCIA-3	blaCIA	blaCIA-3	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium indologenes	4	0	4	0.5	8
blaIND-2	blaIND	blaIND-2	BETA-LACTAM	CARBAPENEM	Chryseobacterium indologenes	4	0	4	0.5	8
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium sp003182335	0	4	4	1	4
blaCGA	bla-A_Chryseo	blaCGA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium sp003182335	3	0	3	0.75	4
blaCGA	bla-A_Chryseo	blaCGA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium sp900156935	3	0	3	1	3
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium sp900156935	3	0	3	1	3
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium gleum	0	3	3	0.75	4
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium sp003182335	0	3	3	0.75	4
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium sp900156935	0	3	3	1	3
bla-B1	NA	NA	NA	NA	Chryseobacterium rhizosphaerae	0	3	3	0.6	5
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium gleum	0	3	3	0.75	4
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium sp900156935	0	3	3	1	3
blaCGA	bla-A_Chryseo	blaCGA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium culicis_A	2	0	2	1	2
blaCGA	bla-A_Chryseo	blaCGA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium rhizoplanae	2	0	2	0.6666666666666666	3
tet(X5)	tet(X)	tet(X5)	TETRACYCLINE	TIGECYCLINE	Chryseobacterium sp001677955	2	0	2	1	2
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Chryseobacterium sp001677955	2	0	2	1	2
blaCIA	bla-A_Chryseo	blaCIA	BETA-LACTAM	CEPHALOSPORIN	Chryseobacterium candidae	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium candidae	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium culicis_A	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium indologenes_B	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium joostei	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium oranimense	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium rhizoplanae	2	0	2	0.6666666666666666	3
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium shigense_A	2	0	2	1	2
blaIND	blaB-IND-MUS	blaIND	BETA-LACTAM	CARBAPENEM	Chryseobacterium ureilyticum	2	0	2	1	2
blaCPS	bla-B3	blaCPS	BETA-LACTAM	CARBAPENEM	Chryseobacterium indoltheticum	2	0	2	1	2
blaCPS	bla-B3	blaCPS	BETA-LACTAM	CARBAPENEM	Chryseobacterium piscicola	2	0	2	1	2
blaCPS	bla-B3	blaCPS	BETA-LACTAM	CARBAPENEM	Chryseobacterium piscium	2	0	2	1	2
blaCPS	bla-B3	blaCPS	BETA-LACTAM	CARBAPENEM	Chryseobacterium scophthalmum	2	0	2	1	2
blaCPS	bla-B3	blaCPS	BETA-LACTAM	CARBAPENEM	Chryseobacterium sp001677955	2	0	2	1	2
blaIND-2a	blaIND	blaIND-2a	BETA-LACTAM	CARBAPENEM	Chryseobacterium indologenes	2	0	2	0.25	8
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium candidae	0	2	2	1	2
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium culicis_A	0	2	2	1	2
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium indologenes	0	2	2	0.25	8
bla-A_Chryseo	NA	NA	NA	NA	Chryseobacterium rhizoplanae	0	2	2	0.6666666666666666	3
bla-B3	NA	NA	NA	NA	Chryseobacterium indoltheticum	0	2	2	1	2
bla-B3	NA	NA	NA	NA	Chryseobacterium piscicola	0	2	2	1	2
bla-B3	NA	NA	NA	NA	Chryseobacterium piscium	0	2	2	1	2
bla-B3	NA	NA	NA	NA	Chryseobacterium scophthalmum	0	2	2	1	2
bla-B3	NA	NA	NA	NA	Chryseobacterium sp001677955	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium candidae	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium culicis_A	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium indologenes_B	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium joostei	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium oranimense	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium rhizoplanae	0	2	2	0.6666666666666666	3
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium shigense_A	0	2	2	1	2
blaB-IND-MUS	NA	NA	NA	NA	Chryseobacterium ureilyticum	0	2	2	1	2
cmlA_floR	NA	NA	NA	NA	Chryseobacterium sp001677955	0	2	2	1	2
tet(X)	NA	NA	NA	NA	Chryseobacterium sp001677955	0	2	2	1	2
