node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
AMR	NA	NA	NA	NA	Clostridioides difficile	0	26293	26293	0.9998478913944556	26297
cplR	abc-f	cplR	LINCOSAMIDE/PLEUROMUTILIN/STREPTOGRAMIN	CLINDAMYCIN/LINCOMYCIN/RETAPAMULIN/VIRGINIAMYCIN	Clostridioides difficile	26259	0	26259	0.9985549682473286	26297
abc-f	NA	NA	NA	NA	Clostridioides difficile	0	26259	26259	0.9985549682473286	26297
nimB-Cd	AMR	nimB-Cd	NITROIMIDAZOLE	NITROIMIDAZOLE	Clostridioides difficile	26250	0	26250	0.9982127238848538	26297
blaCDD	bla-D	blaCDD	BETA-LACTAM	BETA-LACTAM	Clostridioides difficile	23364	2865	26229	0.9974141537057459	26297
bla-D	NA	NA	NA	NA	Clostridioides difficile	0	23364	23364	0.888466364984599	26297
vanG	AMR	vanG	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	40	21989	22029	0.8377001178841693	26297
vanT-G_fam	NA	NA	NA	NA	Clostridioides difficile	0	22027	22027	0.8376240635813971	26297
vanS_ACDEFG	NA	NA	NA	NA	Clostridioides difficile	0	22025	22025	0.8375480092786249	26297
vanR-ABDEGLN	NA	NA	NA	NA	Clostridioides difficile	0	22024	22024	0.8375099821272388	26297
vanG-Cd	vanG	vanG	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	21987	0	21987	0.8361029775259535	26297
vanT-Cd	vanT-G_fam	vanT-Cd	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	21987	0	21987	0.8361029775259535	26297
vanS-Cd	vanS_ACDEFG	vanS-Cd	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	21985	0	21985	0.8360269232231814	26297
vanR-Cd	vanR-ABDEGLN	vanR-Cd	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	21313	0	21313	0.8104726774917291	26297
vanZ	NA	NA	NA	NA	Clostridioides difficile	0	21064	21064	0.8010039167965928	26297
vanZ1	vanZ	vanZ1	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	21049	0	21049	0.8004335095258014	26297
gyrA	NA	gyrA_T82I	QUINOLONE	QUINOLONE	Clostridioides difficile	6970	0	6970	0.265049245161045	26297
mreE	NA	mreE_V497L	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	6298	0	6298	0.23949499942959274	26297
tet(M-W-O-S)	NA	NA	NA	NA	Clostridioides difficile	0	4866	4866	0.18504011864471231	26297
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Clostridioides difficile	4407	0	4407	0.16758565615849716	26297
gyrB	NA	gyrB_I139R	QUINOLONE	QUINOLONE	Clostridioides difficile	4244	0	4244	0.16138723048256456	26297
erm-23S_rRNA	NA	NA	NA	NA	Clostridioides difficile	0	4190	4190	0.1593337643077157	26297
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Clostridioides difficile	4080	0	4080	0.15515077765524585	26297
ant(6)	NA	NA	NA	NA	Clostridioides difficile	0	3969	3969	0.1509297638513899	26297
aadE	ant(6)	aadE	AMINOGLYCOSIDE	STREPTOMYCIN	Clostridioides difficile	2423	0	2423	0.09213978780849527	26297
gyrB	NA	gyrB_S416A	QUINOLONE	QUINOLONE	Clostridioides difficile	2248	0	2248	0.08548503631592957	26297
gyrB	NA	gyrB_S366V	QUINOLONE	QUINOLONE	Clostridioides difficile	2202	0	2202	0.08373578735216945	26297
gyrB	NA	gyrB_S366A	QUINOLONE	QUINOLONE	Clostridioides difficile	2085	0	2085	0.07928661063999695	26297
gyrB	NA	gyrB_V130I	QUINOLONE	QUINOLONE	Clostridioides difficile	1873	0	1873	0.07122485454614595	26297
aac(6')-Ie_fam	aac(6')	aac(6')-Ie/aph(2'')	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Clostridioides difficile	13	1796	1809	0.0687911168574362	26297
rpoB	NA	rpoB_R505K	RIFAMYCIN	RIFAMPIN	Clostridioides difficile	1718	0	1718	0.06533064608130205	26297
blaCDD-1	blaCDD	blaCDD-1	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	1674	0	1674	0.0636574514203141	26297
aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Clostridioides difficile	1602	0	1602	0.06091949652051565	26297
mreE	NA	mreE_A778V	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	1535	0	1535	0.05837167737764764	26297
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Clostridioides difficile	1255	0	1255	0.047724074989542536	26297
cfr_gen	NA	NA	NA	NA	Clostridioides difficile	0	1243	1243	0.047267749172909455	26297
ant(9)	NA	NA	NA	NA	Clostridioides difficile	0	1239	1239	0.0471156405673651	26297
blaCDD-2	blaCDD	blaCDD-2	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	1191	0	1191	0.045290337300832796	26297
tet_MFS_efflux	NA	NA	NA	NA	Clostridioides difficile	0	841	841	0.03198083431570141	26297
rpoB	NA	rpoB_H502N	RIFAMYCIN	RIFAMPIN	Clostridioides difficile	808	0	808	0.030725938319960452	26297
cfr(C)	cfr_gen	cfr(C)	PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN	CHLORAMPHENICOL/CLINDAMYCIN/FLORFENICOL/LINEZOLID/STREPTOGRAMIN/TIAMULIN	Clostridioides difficile	773	0	773	0.029394988021447313	26297
mreE	NA	mreE_A795V	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	740	0	740	0.028140092025706356	26297
aph(3')	NA	NA	NA	NA	Clostridioides difficile	0	703	703	0.026733087424421036	26297
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Clostridioides difficile	699	0	699	0.026580978818876676	26297
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Clostridioides difficile	687	0	687	0.026124653002243602	26297
sat	NA	NA	NA	NA	Clostridioides difficile	0	687	687	0.026124653002243602	26297
tet(40)	tet_MFS_efflux	tet(40)	TETRACYCLINE	TETRACYCLINE	Clostridioides difficile	675	0	675	0.025668327185610525	26297
vanR-Cd	vanR-ABDEGLN	vanR-Cd_T115A	GLYCOPEPTIDE	VANCOMYCIN	Clostridioides difficile	671	0	671	0.02551621858006617	26297
aad9	ant(9)	aad9	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Clostridioides difficile	662	0	662	0.02517397421759136	26297
spw	ant(9)	spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Clostridioides difficile	577	0	577	0.02194166634977374	26297
gyrB	NA	gyrB_D426N	QUINOLONE	QUINOLONE	Clostridioides difficile	414	0	414	0.015743240673841124	26297
aph(2'')-If_h	NA	NA	NA	NA	Clostridioides difficile	0	375	375	0.014260181769783626	26297
cfr(B)	cfr_gen	cfr(B)	PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN	CHLORAMPHENICOL/CLINDAMYCIN/LINEZOLID/RETAPAMULIN/STREPTOGRAMIN B/VIRGINIAMYCIN	Clostridioides difficile	360	0	360	0.01368977449899228	26297
aph(2'')-If	aph(2'')-If_h	aph(2'')-If	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Clostridioides difficile	349	0	349	0.013271475833745295	26297
mreE	NA	mreE_Y721S	BETA-LACTAM	CEPHALOSPORIN	Clostridioides difficile	344	0	344	0.013081340076814846	26297
erm(52)	erm_gen	erm(52)	MACROLIDE	MACROLIDE	Clostridioides difficile	298	0	298	0.01133209111305472	26297
erm_gen	NA	NA	NA	NA	Clostridioides difficile	0	298	298	0.01133209111305472	26297
ant(6)-Ib	ant(6)	ant(6)-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Clostridioides difficile	291	0	291	0.011065901053352093	26297
tet(44)	tet(M-W-O-S)	tet(44)	TETRACYCLINE	TETRACYCLINE	Clostridioides difficile	291	0	291	0.011065901053352093	26297
dfrF	dfr_gen	dfrF	TRIMETHOPRIM	TRIMETHOPRIM	Clostridioides difficile	287	0	287	0.010913792447807734	26297
