node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Corynebacterium diphtheriae	592	0	592	0.33964429145152036	1743
sul	NA	NA	NA	NA	Corynebacterium diphtheriae	0	592	592	0.33964429145152036	1743
cmx	cmx_cmrA	cmx	PHENICOL	CHLORAMPHENICOL	Corynebacterium diphtheriae	288	0	288	0.16523235800344235	1743
cmx_cmrA	NA	NA	NA	NA	Corynebacterium diphtheriae	0	288	288	0.16523235800344235	1743
tet(M-W-O-S)	NA	NA	NA	NA	Corynebacterium diphtheriae	0	284	284	0.1629374641422834	1743
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Corynebacterium diphtheriae	213	0	213	0.12220309810671257	1743
aph(3')-I	NA	NA	NA	NA	Corynebacterium diphtheriae	0	213	213	0.12220309810671257	1743
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Corynebacterium diphtheriae	199	0	199	0.11417096959265634	1743
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Corynebacterium diphtheriae	199	0	199	0.11417096959265634	1743
aph(3'')	NA	NA	NA	NA	Corynebacterium diphtheriae	0	199	199	0.11417096959265634	1743
aph(6)-I	NA	NA	NA	NA	Corynebacterium diphtheriae	0	199	199	0.11417096959265634	1743
tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	Corynebacterium diphtheriae	144	0	144	0.08261617900172118	1743
tet(W)	tet(M-W-O-S)	tet(W)	TETRACYCLINE	TETRACYCLINE	Corynebacterium diphtheriae	140	0	140	0.08032128514056225	1743
dfrA	NA	NA	NA	NA	Corynebacterium diphtheriae	0	124	124	0.07114170969592656	1743
tet_A_B_C_D	NA	NA	NA	NA	Corynebacterium diphtheriae	0	120	120	0.06884681583476764	1743
tet(33)	tet_A_B_C_D	tet(33)	TETRACYCLINE	TETRACYCLINE	Corynebacterium diphtheriae	117	0	117	0.06712564543889846	1743
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Corynebacterium diphtheriae	78	0	78	0.04475043029259897	1743
erm(X)	erm-23S_rRNA	erm(X)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN/STREPTOGRAMIN B/TYLOSIN	Corynebacterium diphtheriae	72	0	72	0.04130808950086059	1743
