node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
bla-C	bla	ampC	BETA-LACTAM	BETA-LACTAM	Edwardsiella piscicida	19	0	19	1	19
bla	NA	NA	NA	NA	Edwardsiella piscicida	0	19	19	1	19
sul	NA	NA	NA	NA	Edwardsiella ictaluri	0	8	8	0.47058823529411764	17
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Edwardsiella ictaluri	7	0	7	0.4117647058823529	17
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Edwardsiella ictaluri	7	0	7	0.4117647058823529	17
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Edwardsiella ictaluri	7	0	7	0.4117647058823529	17
cmlA_floR	NA	NA	NA	NA	Edwardsiella ictaluri	0	7	7	0.4117647058823529	17
tet_A_B_C_D	NA	NA	NA	NA	Edwardsiella ictaluri	0	7	7	0.4117647058823529	17
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Edwardsiella ictaluri	6	0	6	0.35294117647058826	17
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Edwardsiella ictaluri	6	0	6	0.35294117647058826	17
aph(3'')	NA	NA	NA	NA	Edwardsiella ictaluri	0	6	6	0.35294117647058826	17
aph(6)-I	NA	NA	NA	NA	Edwardsiella ictaluri	0	6	6	0.35294117647058826	17
tet_A_B_C_D	NA	NA	NA	NA	Edwardsiella piscicida	0	5	5	0.2631578947368421	19
qnrS	NA	NA	NA	NA	Edwardsiella piscicida	0	4	4	0.21052631578947367	19
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Edwardsiella piscicida	3	0	3	0.15789473684210525	19
qnrS1	qnrS	qnrS1	QUINOLONE	QUINOLONE	Edwardsiella piscicida	3	0	3	0.15789473684210525	19
dfrA14	dfrA	dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	Edwardsiella piscicida	2	0	2	0.10526315789473684	19
tet(D)	tet_A_B_C_D	tet(D)	TETRACYCLINE	TETRACYCLINE	Edwardsiella piscicida	2	0	2	0.10526315789473684	19
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Edwardsiella piscicida	2	0	2	0.10526315789473684	19
blaTEM	NA	NA	NA	NA	Edwardsiella piscicida	0	2	2	0.10526315789473684	19
dfrA	NA	NA	NA	NA	Edwardsiella piscicida	0	2	2	0.10526315789473684	19
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Edwardsiella ictaluri	1	0	1	0.058823529411764705	17
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
qnrS	qnr	qnrS	QUINOLONE	QUINOLONE	Edwardsiella ictaluri	1	0	1	0.058823529411764705	17
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Edwardsiella ictaluri	1	0	1	0.058823529411764705	17
dfrA12	dfrA12_A21	dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
bleO	sequest	bleO	BLEOMYCIN	BLEOMYCIN	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
qnrS2	qnrS	qnrS2	QUINOLONE	QUINOLONE	Edwardsiella piscicida	1	0	1	0.05263157894736842	19
ant(3'')-Ia	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
aph(3'')	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
aph(6)-I	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
cmlA_floR	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
dfrA	NA	NA	NA	NA	Edwardsiella ictaluri	0	1	1	0.058823529411764705	17
dfrA12_A21	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
qnr	NA	NA	NA	NA	Edwardsiella ictaluri	0	1	1	0.058823529411764705	17
sequest	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
sul	NA	NA	NA	NA	Edwardsiella piscicida	0	1	1	0.05263157894736842	19
