node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaACT	CMY2-MIR-ACT-EC	blaACT	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	945	5139	6084	0.9980314960629921	6096
oqxA	RND-peri	oqxA	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Enterobacter hormaechei_A	5617	0	5617	0.9214238845144357	6096
oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Enterobacter hormaechei_A	5617	0	5617	0.9214238845144357	6096
RND-IM	NA	NA	NA	NA	Enterobacter hormaechei_A	0	5617	5617	0.9214238845144357	6096
RND-peri	NA	NA	NA	NA	Enterobacter hormaechei_A	0	5617	5617	0.9214238845144357	6096
fos_A_A2	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Enterobacter hormaechei_A	5123	50	5173	0.8485892388451444	6096
fosA_gen	NA	NA	NA	NA	Enterobacter hormaechei_A	0	5136	5136	0.84251968503937	6096
sul	NA	NA	NA	NA	Enterobacter hormaechei_A	0	4928	4928	0.8083989501312336	6096
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Enterobacter hormaechei_A	290	2784	3074	0.5042650918635171	6096
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Enterobacter hormaechei_A	3055	0	3055	0.5011482939632546	6096
ant(3'')-Ia	ant(3'')-I	ant(3'')-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	Enterobacter hormaechei_A	15	2974	2989	0.49032152230971127	6096
dfrA	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2884	2884	0.4730971128608924	6096
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Enterobacter hormaechei_A	2757	0	2757	0.45226377952755903	6096
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Enterobacter hormaechei_A	2521	0	2521	0.4135498687664042	6096
aph(6)-I	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2521	2521	0.4135498687664042	6096
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Enterobacter hormaechei_A	2501	0	2501	0.41026902887139105	6096
aph(3'')	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2501	2501	0.41026902887139105	6096
tet_A_B_C_D	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2401	2401	0.39386482939632544	6096
aac(3)-II	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2293	2293	0.3761482939632546	6096
qnrB	qnr	qnrB	QUINOLONE	QUINOLONE	Enterobacter hormaechei_A	26	2180	2206	0.3618766404199475	6096
catA	NA	NA	NA	NA	Enterobacter hormaechei_A	0	2014	2014	0.3303805774278215	6096
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Enterobacter hormaechei_A	4	2005	2009	0.32956036745406825	6096
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Enterobacter hormaechei_A	1958	0	1958	0.3211942257217848	6096
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	39	1911	1950	0.3198818897637795	6096
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Enterobacter hormaechei_A	1857	0	1857	0.3046259842519685	6096
blaOXA-1_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Enterobacter hormaechei_A	58	1727	1785	0.29281496062992124	6096
dfrA14	dfrA	dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	Enterobacter hormaechei_A	1771	0	1771	0.2905183727034121	6096
blaOXA-1	blaOXA-1_fam	blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	1726	0	1726	0.28313648293963256	6096
aac(6')-Ib-cr	aac(6')-Ib	aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	59	1566	1625	0.2665682414698163	6096
blaACT-17	blaACT	blaACT-17	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	1606	0	1606	0.2634514435695538	6096
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Enterobacter hormaechei_A	1589	0	1589	0.26066272965879267	6096
aac(6')-Ib-cr5	aac(6')-Ib-cr	aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Enterobacter hormaechei_A	1564	0	1564	0.25656167979002625	6096
mcr-9	pmrC_gen	mcr-9	COLISTIN	COLISTIN	Enterobacter hormaechei_A	44	1481	1525	0.2501640419947507	6096
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Enterobacter hormaechei_A	1365	0	1365	0.22391732283464566	6096
blaCTX-M-15	blaCTX-M	blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	Enterobacter hormaechei_A	1346	0	1346	0.2208005249343832	6096
parC	NA	parC_S80I	QUINOLONE	QUINOLONE	Enterobacter hormaechei_A	1334	0	1334	0.21883202099737534	6096
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Enterobacter hormaechei_A	1205	0	1205	0.19767060367454067	6096
qnrB1	qnrB	qnrB1	QUINOLONE	QUINOLONE	Enterobacter hormaechei_A	1186	0	1186	0.19455380577427822	6096
arr	AMR	arr	RIFAMYCIN	RIFAMYCIN	Enterobacter hormaechei_A	10	1133	1143	0.1875	6096
catA2	catA	catA2	PHENICOL	CHLORAMPHENICOL	Enterobacter hormaechei_A	1087	0	1087	0.17831364829396326	6096
aac(3)-IIe	aac(3)-II	aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	1085	0	1085	0.17798556430446194	6096
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Enterobacter hormaechei_A	1080	0	1080	0.17716535433070865	6096
mph_gen	NA	NA	NA	NA	Enterobacter hormaechei_A	0	1080	1080	0.17716535433070865	6096
mcr-9.1	mcr-9	mcr-9.1	COLISTIN	COLISTIN	Enterobacter hormaechei_A	1044	0	1044	0.17125984251968504	6096
blaSHV	blaSHV-LEN	blaSHV	BETA-LACTAM	BETA-LACTAM	Enterobacter hormaechei_A	12	1000	1012	0.16601049868766404	6096
blaKPC	bla-A_carba	blaKPC	BETA-LACTAM	CARBAPENEM	Enterobacter hormaechei_A	3	956	959	0.15731627296587927	6096
CMY2-MIR-ACT-EC	NA	NA	NA	NA	Enterobacter hormaechei_A	0	946	946	0.15518372703412073	6096
sequest	NA	NA	NA	NA	Enterobacter hormaechei_A	0	946	946	0.15518372703412073	6096
