node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
erm-23S_rRNA	NA	NA	NA	NA	Enterococcus_B faecium	0	28823	28823	1.0352345377487249	27842
aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterococcus_B faecium	2	27745	27747	0.9965878888010918	27842
aacA-ENT1	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterococcus_B faecium	27723	0	27723	0.9957258817613677	27842
msr	NA	NA	NA	NA	Enterococcus_B faecium	0	27621	27621	0.9920623518425401	27842
msr(C)	msr	msr(C)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	Enterococcus_B faecium	27620	0	27620	0.9920264348825515	27842
pbp5	NA	pbp5_M485A	BETA-LACTAM	BETA-LACTAM	Enterococcus_B faecium	25020	0	25020	0.8986423389124345	27842
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Enterococcus_B faecium	22916	0	22916	0.8230730550966167	27842
vanA-all	NA	NA	NA	NA	Enterococcus_B faecium	0	22775	22775	0.8180087637382372	27842
vanX	NA	NA	NA	NA	Enterococcus_B faecium	0	22750	22750	0.8171108397385245	27842
parC	NA	parC_S80I	QUINOLONE	QUINOLONE	Enterococcus_B faecium	18955	0	18955	0.680805976582142	27842
tet(M-W-O-S)	NA	NA	NA	NA	Enterococcus_B faecium	0	18841	18841	0.6767114431434523	27842
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Enterococcus_B faecium	17077	0	17077	0.6133539257237267	27842
dfr_DGK	NA	NA	NA	NA	Enterococcus_B faecium	0	16899	16899	0.6069607068457725	27842
dfrG	dfr_DGK	dfrG	TRIMETHOPRIM	TRIMETHOPRIM	Enterococcus_B faecium	16817	0	16817	0.604015516126715	27842
vanH-A	vanH_group_A_Pt	vanH-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	16104	0	16104	0.5784067236549099	27842
vanH_group_A_Pt	NA	NA	NA	NA	Enterococcus_B faecium	0	16104	16104	0.5784067236549099	27842
vanA	vanA-all	vanA	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	16101	0	16101	0.5782989727749444	27842
vanX-A	vanX	vanX-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	16077	0	16077	0.5774369657352202	27842
vanS_ACDEFG	NA	NA	NA	NA	Enterococcus_B faecium	0	15952	15952	0.5729473457366568	27842
vanR-ABDEGLN	NA	NA	NA	NA	Enterococcus_B faecium	0	15949	15949	0.5728395948566913	27842
vanS-A	vanS_ACDEFG	vanS-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	15929	0	15929	0.5721212556569212	27842
vanR-A	vanR-ABDEGLN	vanR-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	15928	0	15928	0.5720853386969327	27842
ant(6)	NA	NA	NA	NA	Enterococcus_B faecium	0	15489	15489	0.5563177932619783	27842
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Enterococcus_B faecium	15334	0	15334	0.5507506644637598	27842
vanY_AFMPt	NA	NA	NA	NA	Enterococcus_B faecium	0	15258	15258	0.5480209755046332	27842
vanY-A	vanY_AFMPt	vanY-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	15256	0	15256	0.5479491415846562	27842
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Enterococcus_B faecium	15072	0	15072	0.541340420946771	27842
aph(3')	NA	NA	NA	NA	Enterococcus_B faecium	0	15072	15072	0.541340420946771	27842
gyrA	NA	gyrA_S83Y	QUINOLONE	QUINOLONE	Enterococcus_B faecium	13593	0	13593	0.48821923712376986	27842
vanZ-A	vanZ	vanZ-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	13235	0	13235	0.4753609654478845	27842
vanZ	NA	NA	NA	NA	Enterococcus_B faecium	0	13235	13235	0.4753609654478845	27842
aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterococcus_B faecium	11540	0	11540	0.41448171826736585	27842
aac(6')-Ie_fam	NA	NA	NA	NA	Enterococcus_B faecium	0	11540	11540	0.41448171826736585	27842
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Enterococcus_B faecium	10060	0	10060	0.3613246174843761	27842
sat	NA	NA	NA	NA	Enterococcus_B faecium	0	10060	10060	0.3613246174843761	27842
gyrA	NA	gyrA_S83I	QUINOLONE	QUINOLONE	Enterococcus_B faecium	9099	0	9099	0.3268084189354213	27842
lsa	NA	NA	NA	NA	Enterococcus faecalis	0	8464	8464	1.0556248441007732	8018
dfr_gen	NA	NA	NA	NA	Enterococcus_B faecium	0	8302	8302	0.29818260182458156	27842
dfrF	dfr_gen	dfrF	TRIMETHOPRIM	TRIMETHOPRIM	Enterococcus_B faecium	8300	0	8300	0.29811076790460456	27842
tet_L_K_45	NA	NA	NA	NA	Enterococcus_B faecium	0	8054	8054	0.28927519574743193	27842
tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	Enterococcus_B faecium	8053	0	8053	0.28923927878744343	27842
lsa(A)	lsa	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	Enterococcus faecalis	7961	0	7961	0.9928909952606635	8018
lsa	NA	NA	NA	NA	Enterococcus_B faecium	0	7829	7829	0.28119387975001797	27842
vanH	NA	NA	NA	NA	Enterococcus_B faecium	0	6674	6674	0.23970979096329287	27842
vanH-B	vanH	vanH-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6650	0	6650	0.2388477839235687	27842
vanX-B	vanX	vanX-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6650	0	6650	0.2388477839235687	27842
vanB	vanA-all	vanB	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6650	0	6650	0.2388477839235687	27842
vanY-B	vanY_BG	vanY-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6644	0	6644	0.23863228216363766	27842
vanY_BG	NA	NA	NA	NA	Enterococcus_B faecium	0	6644	6644	0.23863228216363766	27842
vanR-B	vanR_gen	vanR-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6411	0	6411	0.23026363048631565	27842
vanS-B	vanS_gen	vanS-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	6408	3	6411	0.23026363048631565	27842
vanR_gen	NA	NA	NA	NA	Enterococcus_B faecium	0	6411	6411	0.23026363048631565	27842
vanS_gen	NA	NA	NA	NA	Enterococcus_B faecium	0	6408	6408	0.23015587960635012	27842
eat(A)	lsa	eat(A)_T450I	PLEUROMUTILIN	PLEUROMUTILIN	Enterococcus_B faecium	5952	0	5952	0.21377774585159112	27842
parC	NA	parC_S80R	QUINOLONE	QUINOLONE	Enterococcus_B faecium	5917	0	5917	0.2125206522519934	27842
mef_gen	NA	NA	NA	NA	Enterococcus_B faecium	0	5854	5854	0.21025788377271748	27842
mef(H)	mef_gen	mef(H)	MACROLIDE	ERYTHROMYCIN	Enterococcus_B faecium	5847	0	5847	0.21000646505279794	27842
vanW-B	vanW	vanW-B	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus_B faecium	5728	0	5728	0.20573234681416566	27842
vanW	NA	NA	NA	NA	Enterococcus_B faecium	0	5728	5728	0.20573234681416566	27842
tet(M-W-O-S)	NA	NA	NA	NA	Enterococcus faecalis	0	5496	5496	0.6854577201297082	8018
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Enterococcus faecalis	5132	0	5132	0.6400598653030681	8018
ant(9)	NA	NA	NA	NA	Enterococcus_B faecium	0	4014	4014	0.14417067739386538	27842
erm-23S_rRNA	NA	NA	NA	NA	Enterococcus faecalis	0	3623	3623	0.45185831878273885	8018
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Enterococcus faecalis	3576	0	3576	0.44599650785732103	8018
liaR	NA	liaR_W73C	LIPOPEPTIDE	DAPTOMYCIN	Enterococcus_B faecium	3428	0	3428	0.12312333884060053	27842
liaS	NA	liaS_T120A	LIPOPEPTIDE	DAPTOMYCIN	Enterococcus_B faecium	3428	0	3428	0.12312333884060053	27842
ant(9)-Ia	ant(9)	ant(9)-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN	Enterococcus_B faecium	3285	0	3285	0.11798721356224409	27842
erm(A)	erm-23S_rRNA	erm(A)	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	Enterococcus_B faecium	3210	0	3210	0.1152934415631061	27842
catA	NA	NA	NA	NA	Enterococcus_B faecium	0	2963	2963	0.10642195244594498	27842
ant(6)	NA	NA	NA	NA	Enterococcus faecalis	0	2739	2739	0.34160638563232726	8018
erm(T)	erm-23S_rRNA	erm(T)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN	Enterococcus_B faecium	2689	0	2689	0.09658070540909418	27842
lnu_BFG	NA	NA	NA	NA	Enterococcus_B faecium	0	2603	2603	0.0934918468500826	27842
lnu(B)	lnu_BFG	lnu(B)	LINCOSAMIDE	LINCOSAMIDE	Enterococcus_B faecium	2456	0	2456	0.08821205373177214	27842
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Enterococcus faecalis	2319	0	2319	0.28922424544774256	8018
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Enterococcus faecalis	2203	0	2203	0.2747567972062859	8018
aph(3')	NA	NA	NA	NA	Enterococcus faecalis	0	2203	2203	0.2747567972062859	8018
catA7	catA	catA	PHENICOL	CHLORAMPHENICOL	Enterococcus_B faecium	2142	0	2142	0.07693412829538109	27842
IONOPHORE	NA	NA	NA	NA	Enterococcus_B faecium	0	2042	2042	0.07334243229653042	27842
gyrA	NA	gyrA_S83R	QUINOLONE	QUINOLONE	Enterococcus_B faecium	1896	0	1896	0.06809855613820846	27842
lsa(E)	lsa	lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	Enterococcus_B faecium	1863	0	1863	0.06691329645858775	27842
aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Enterococcus faecalis	1809	0	1809	0.22561736093788975	8018
aac(6')-Ie_fam	NA	NA	NA	NA	Enterococcus faecalis	0	1809	1809	0.22561736093788975	8018
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Enterococcus faecalis	1758	0	1758	0.21925667248690447	8018
sat	NA	NA	NA	NA	Enterococcus faecalis	0	1758	1758	0.21925667248690447	8018
tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	Enterococcus faecalis	1717	0	1717	0.21414317784983786	8018
tet_L_K_45	NA	NA	NA	NA	Enterococcus faecalis	0	1717	1717	0.21414317784983786	8018
tet(S)	tet(M-W-O-S)	tet(S)	TETRACYCLINE	TETRACYCLINE	Enterococcus_B faecium	1673	0	1673	0.0600890740607715	27842
parC	NA	parC_S80I	QUINOLONE	QUINOLONE	Enterococcus faecalis	1432	0	1432	0.17859815415315541	8018
catA	NA	NA	NA	NA	Enterococcus faecalis	0	1146	1146	0.14292841107508106	8018
gyrA	NA	gyrA_S83I	QUINOLONE	QUINOLONE	Enterococcus faecalis	1052	0	1052	0.13120478922424544	8018
narA	IONOPHORE	narA	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	Enterococcus_B faecium	1021	0	1021	0.03667121614826521	27842
narB	IONOPHORE	narB	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	Enterococcus_B faecium	1021	0	1021	0.03667121614826521	27842
aacA-ENT1	aac(6')_Entco	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterococcus_B lactis	1001	0	1001	0.9980059820538385	1003
aac(6')_Entco	NA	NA	NA	NA	Enterococcus_B lactis	0	1001	1001	0.9980059820538385	1003
msr(C)	msr	msr(C)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	Enterococcus_B lactis	998	0	998	0.9950149551345963	1003
msr	NA	NA	NA	NA	Enterococcus_B lactis	0	998	998	0.9950149551345963	1003
dfr_DGK	NA	NA	NA	NA	Enterococcus faecalis	0	974	974	0.12147667747567972	8018
aac(6')_Entco	aac(6')	aac(6')-I	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterococcus_B hirae	75	879	954	0.9968652037617555	957
dfrG	dfr_DGK	dfrG	TRIMETHOPRIM	TRIMETHOPRIM	Enterococcus faecalis	935	0	935	0.11661262160139686	8018
IONOPHORE	NA	NA	NA	NA	Enterococcus faecalis	0	833	833	0.10389124469942629	8018
catA8	catA	catA	PHENICOL	CHLORAMPHENICOL	Enterococcus_B faecium	801	0	801	0.028769484950793765	27842
spw	ant(9)	spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterococcus_B faecium	721	0	721	0.02589612815171324	27842
lnu_BFG	NA	NA	NA	NA	Enterococcus faecalis	0	691	691	0.086181092541781	8018
dfrF	dfr_gen	dfrF	TRIMETHOPRIM	TRIMETHOPRIM	Enterococcus faecalis	683	0	683	0.08518333749064605	8018
dfr_gen	NA	NA	NA	NA	Enterococcus faecalis	0	683	683	0.08518333749064605	8018
vanA-all	NA	NA	NA	NA	Enterococcus faecalis	0	668	668	0.08331254676976803	8018
vanX	NA	NA	NA	NA	Enterococcus faecalis	0	668	668	0.08331254676976803	8018
ant(9)	NA	NA	NA	NA	Enterococcus faecalis	0	652	652	0.08131703666749814	8018
catA8	catA	catA	PHENICOL	CHLORAMPHENICOL	Enterococcus faecalis	638	0	638	0.07957096532801197	8018
tet(M-W-O-S)	NA	NA	NA	NA	Enterococcus_B hirae	0	572	572	0.5977011494252874	957
vanR-ABDEGLN	NA	NA	NA	NA	Enterococcus faecalis	0	534	534	0.06660014966325767	8018
vanS_ACDEFG	NA	NA	NA	NA	Enterococcus faecalis	0	534	534	0.06660014966325767	8018
vanH-A	vanH_group_A_Pt	vanH-A	GLYCOPEPTIDE	VANCOMYCIN	Enterococcus faecalis	532	0	532	0.06635071090047394	8018
