node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
MFS_efflux	NA	NA	NA	NA	Escherichia coli	0	380479	380479	1.2076168167939416	315066
blaEC	CMY2-MIR-ACT-EC	blaEC	BETA-LACTAM	BETA-LACTAM	Escherichia coli	303195	10970	314165	0.997140281718751	315066
CMY2-MIR-ACT-EC	NA	NA	NA	NA	Escherichia coli	0	303800	303800	0.9642424127008309	315066
RND-IM	NA	NA	NA	NA	Escherichia coli	0	290978	290978	0.9235461776262751	315066
acrF	RND-IM	acrF	EFFLUX	EFFLUX	Escherichia coli	289992	0	289992	0.9204166746015121	315066
glpT	NA	glpT_E448K	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	273689	0	273689	0.8686719607955159	315066
mdtM	MFS_efflux	mdtM	EFFLUX	EFFLUX	Escherichia coli	237644	0	237644	0.7542673598547606	315066
sul	NA	NA	NA	NA	Escherichia coli	0	172104	172104	0.5462474529146274	315066
pmrB	NA	pmrB_Y358N	COLISTIN	COLISTIN	Escherichia coli	146568	0	146568	0.4651977680866866	315066
emrD	MFS_efflux	emrD	EFFLUX	EFFLUX	Escherichia coli	142595	0	142595	0.45258771178102364	315066
tet_A_B_C_D	NA	NA	NA	NA	Escherichia coli	0	138940	138940	0.4409869678099192	315066
dfrA	NA	NA	NA	NA	Escherichia coli	0	108667	108667	0.3449023379228479	315066
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Escherichia coli	98218	0	98218	0.3117378580995728	315066
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Escherichia coli	93282	0	93282	0.29607129934680354	315066
aph(6)-I	NA	NA	NA	NA	Escherichia coli	0	93282	93282	0.29607129934680354	315066
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Escherichia coli	93221	0	93221	0.2958776891191052	315066
aph(3'')	NA	NA	NA	NA	Escherichia coli	0	93221	93221	0.2958776891191052	315066
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Escherichia coli	7401	80435	87836	0.27878603213294995	315066
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Escherichia coli	82470	0	82470	0.26175467997181545	315066
ant(3'')-Ia	ant(3'')-I	ant(3'')-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	Escherichia coli	62	82406	82468	0.26174833209549747	315066
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Escherichia coli	76354	0	76354	0.24234287419143927	315066
gyrA	NA	gyrA_S83L	QUINOLONE	QUINOLONE	Escherichia coli	75984	0	75984	0.24116851707261336	315066
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Escherichia coli	62524	0	62524	0.19844730945262262	315066
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Escherichia coli	59900	1	59901	0.1901220696615947	315066
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	803	56506	57309	0.18189522195349545	315066
parC	NA	parC_S80I	QUINOLONE	QUINOLONE	Escherichia coli	54087	0	54087	0.17166879320523318	315066
tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	Escherichia coli	53353	0	53353	0.16933912259653533	315066
mph_gen	NA	NA	NA	NA	Escherichia coli	0	50793	50793	0.16121384090952373	315066
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Escherichia coli	49495	0	49495	0.1570940691791561	315066
pmrB	NA	pmrB_E123D	COLISTIN	COLISTIN	Escherichia coli	49254	0	49254	0.1563291500828398	315066
gyrA	NA	gyrA_D87N	QUINOLONE	QUINOLONE	Escherichia coli	47314	0	47314	0.1501717100544013	315066
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	45028	0	45028	0.14291608742295264	315066
uhpT	NA	uhpT_E350Q	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	39940	0	39940	0.12676709007001707	315066
dfrA17	dfrA	dfrA17	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	37561	0	37561	0.11921629118978246	315066
sat	NA	NA	NA	NA	Escherichia coli	0	36920	36920	0.11718179682987057	315066
sat2_fam	sat	sat2	STREPTOTHRICIN	STREPTOTHRICIN	Escherichia coli	36909	0	36909	0.11714688351012169	315066
aadA_4_5	NA	NA	NA	NA	Escherichia coli	0	34904	34904	0.11078313750134892	315066
aadA5	aadA_4_5	aadA5	AMINOGLYCOSIDE	STREPTOMYCIN	Escherichia coli	34825	0	34825	0.1105323963867888	315066
cyaA	NA	cyaA_S352T	FOSMIDOMYCIN	FOSMIDOMYCIN	Escherichia coli	33889	0	33889	0.10756159026997518	315066
blaCTX-M-15	blaCTX-M	blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	29074	0	29074	0.09227907803444357	315066
blaOXA-1_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Escherichia coli	1047	27612	28659	0.09096189369846318	315066
catA	NA	NA	NA	NA	Escherichia coli	0	27937	27937	0.08867031034767318	315066
blaOXA-1	blaOXA-1_fam	blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	27600	0	27600	0.08760069318809392	315066
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Escherichia coli	26435	0	26435	0.08390305523287184	315066
aac(3)-II	NA	NA	NA	NA	Escherichia coli	0	25531	25531	0.08103381513714587	315066
ptsI	NA	ptsI_V25I	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	20045	0	20045	0.0636215903969327	315066
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Escherichia coli	19785	0	19785	0.06279636647559558	315066
qnrS	qnr	qnrS	QUINOLONE	QUINOLONE	Escherichia coli	183	19056	19239	0.061063396240787646	315066
parE	NA	parE_I529L	QUINOLONE	QUINOLONE	Escherichia coli	19108	0	19108	0.0606476103419601	315066
qnrS1	qnrS	qnrS1	QUINOLONE	QUINOLONE	Escherichia coli	17849	0	17849	0.056651622199793056	315066
cmlA_floR	NA	NA	NA	NA	Escherichia coli	0	17780	17780	0.056432620466822826	315066
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Escherichia coli	17760	18	17778	0.056426272590504846	315066
aph(3')-I	NA	NA	NA	NA	Escherichia coli	0	16553	16553	0.05253819834574343	315066
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Escherichia coli	16467	0	16467	0.05226523966407039	315066
dfrA14	dfrA	dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	16208	0	16208	0.05144318968089226	315066
aac(3)-IId	aac(3)-II	aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Escherichia coli	16152	0	16152	0.05126544914398888	315066
dfrA12_A21	NA	NA	NA	NA	Escherichia coli	0	15088	15088	0.047888378942824675	315066
parC	NA	parC_E84V	QUINOLONE	QUINOLONE	Escherichia coli	15072	0	15072	0.04783759593228085	315066
dfrA12	dfrA12_A21	dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	15001	0	15001	0.047612246322992643	315066
marR	NA	marR_S3N	MULTIDRUG	AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE	Escherichia coli	14677	0	14677	0.04658389035948023	315066
aac(6')-Ib-cr	aac(6')-Ib	aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Escherichia coli	245	14278	14523	0.046095103882995946	315066
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Escherichia coli	71	14343	14414	0.04574914462366615	315066
aac(6')-Ib-cr5	aac(6')-Ib-cr	aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Escherichia coli	14272	0	14272	0.045298445405089725	315066
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Escherichia coli	14247	0	14247	0.045219096951115006	315066
parE	NA	parE_S458A	QUINOLONE	QUINOLONE	Escherichia coli	14172	0	14172	0.044981051589190836	315066
erm-23S_rRNA	NA	NA	NA	NA	Escherichia coli	0	13165	13165	0.041784895863089005	315066
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Escherichia coli	12732	0	12732	0.04041058064024681	315066
sul3	sul	sul3	SULFONAMIDE	SULFONAMIDE	Escherichia coli	11362	0	11362	0.036062285362432	315066
blaEC-5	blaEC	blaEC-5	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	10943	0	10943	0.034732405273815645	315066
blaCMY	CMY2-MIR-ACT-EC	blaCMY	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	604	9975	10579	0.033577091783943684	315066
cmlA	cmlA_floR	cmlA	PHENICOL	CHLORAMPHENICOL	Escherichia coli	20	9899	9919	0.031482292599011	315066
aac(3)-IIe	aac(3)-II	aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Escherichia coli	9165	0	9165	0.029089143227133362	315066
cmlA1	cmlA	cmlA1	PHENICOL	CHLORAMPHENICOL	Escherichia coli	8868	0	8868	0.028146483593913658	315066
bla-A	NA	NA	NA	NA	Escherichia coli	0	8291	8291	0.026315121276177054	315066
blaCTX-M-27	blaCTX-M	blaCTX-M-27	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	7942	0	7942	0.025207416858689925	315066
blaCMY-2	blaCMY	blaCMY-2	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	7544	0	7544	0.023944189471412337	315066
sequest	NA	NA	NA	NA	Escherichia coli	0	7345	7345	0.023312575777773546	315066
qnrB	qnr	qnrB	QUINOLONE	QUINOLONE	Escherichia coli	208	7084	7292	0.023144357055347134	315066
gyrA	NA	gyrA_D87G	QUINOLONE/TRICLOSAN	QUINOLONE/TRICLOSAN	Escherichia coli	6514	0	6514	0.02067503316765376	315066
blaCTX-M-14	blaCTX-M	blaCTX-M-14	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	6290	0	6290	0.019964071020040247	315066
blaNDM	bla-B1	blaNDM	BETA-LACTAM	CARBAPENEM	Escherichia coli	51	5458	5509	0.017485225317869908	315066
ble-MBL	sequest	ble	BLEOMYCIN	BLEOMYCIN	Escherichia coli	5487	0	5487	0.017415398678372152	315066
dfr_gen	NA	NA	NA	NA	Escherichia coli	0	5267	5267	0.01671713228339459	315066
mcr-1	pmrC_gen	mcr-1	COLISTIN	COLISTIN	Escherichia coli	112	4947	5059	0.016056953146324895	315066
qnrB19	qnrB	qnrB19	QUINOLONE	QUINOLONE	Escherichia coli	4809	0	4809	0.015263468606577669	315066
mcr-1.1	mcr-1	mcr-1.1	COLISTIN	COLISTIN	Escherichia coli	4784	0	4784	0.015184120152602947	315066
dfrA5	dfrA	dfrA5	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	4739	0	4739	0.015041292935448446	315066
blaCTX-M-55	blaCTX-M	blaCTX-M-55	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	4637	0	4637	0.014717551243231576	315066
blaCTX-M-1	blaCTX-M	blaCTX-M-1	BETA-LACTAM	CEPHALOSPORIN	Escherichia coli	4159	0	4159	0.013200408803234878	315066
parE	NA	parE_L416F	QUINOLONE	QUINOLONE	Escherichia coli	4037	0	4037	0.01281318834783823	315066
tet(M-W-O-S)	NA	NA	NA	NA	Escherichia coli	0	4013	4013	0.012737013832022496	315066
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Escherichia coli	4003	0	4003	0.012705274450432607	315066
blaNDM-5	blaNDM	blaNDM-5	BETA-LACTAM	CARBAPENEM	Escherichia coli	3963	0	3963	0.012578316924073052	315066
aac(3)-VIa	aac(3)	aac(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	Escherichia coli	3954	0	3954	0.01254975148064215	315066
aac(3)	NA	NA	NA	NA	Escherichia coli	0	3954	3954	0.01254975148064215	315066
ftsI	NA	ftsI_N337NYRIN	BETA-LACTAM	AZTREONAM/CEFIDEROCOL	Escherichia coli	3773	0	3773	0.011975268673865159	315066
dfrA8	dfr_gen	dfrA8	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	3674	0	3674	0.011661048796125256	315066
aac(3)_IV_fam	NA	NA	NA	NA	Escherichia coli	0	3412	3412	0.010829476998470162	315066
aac(3)-IVa	aac(3)_IV_fam	aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Escherichia coli	3405	0	3405	0.01080725943135724	315066
lnu_BFG	NA	NA	NA	NA	Escherichia coli	0	3372	3372	0.010702519472110605	315066
blaOXA-48_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Escherichia coli	13	3329	3342	0.010607301327340939	315066
aph(4)-Ia	aph(4)-I	aph(4)-Ia	AMINOGLYCOSIDE	HYGROMYCIN	Escherichia coli	3317	0	3317	0.010527952873366215	315066
aph(4)-I	NA	NA	NA	NA	Escherichia coli	0	3317	3317	0.010527952873366215	315066
aph(3')-IIa	aph(3')-II	aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	Escherichia coli	3274	0	3274	0.010391473532529692	315066
aph(3')-II	NA	NA	NA	NA	Escherichia coli	0	3274	3274	0.010391473532529692	315066
dfrA7	dfrA	dfrA7	TRIMETHOPRIM	TRIMETHOPRIM	Escherichia coli	3111	0	3111	0.0098741216126145	315066
arr	AMR	arr	RIFAMYCIN	RIFAMYCIN	Escherichia coli	737	2281	3018	0.009578945363828532	315066
fos_A3_A4	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	31	2979	3010	0.00955355385855662	315066
parC	NA	parC_S57T	QUINOLONE	QUINOLONE	Escherichia coli	3005	0	3005	0.009537684167761675	315066
parE	NA	parE_I355T	QUINOLONE	QUINOLONE	Escherichia coli	2991	0	2991	0.00949324903353583	315066
gyrA	NA	gyrA_D87Y	QUINOLONE	QUINOLONE	Escherichia coli	2955	0	2955	0.009378987259812229	315066
lnu(F)	lnu_BFG	lnu(F)	LINCOSAMIDE	LINCOSAMIDE	Escherichia coli	2809	0	2809	0.008915592288599849	315066
blaSHV	blaSHV-LEN	blaSHV	BETA-LACTAM	BETA-LACTAM	Escherichia coli	41	2685	2726	0.00865215542140377	315066
fosA3	fos_A3_A4	fosA3	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	2705	0	2705	0.008585502720065002	315066
NA	NA	blaTEMp_C32T	BETA-LACTAM	AMOXICILLIN-CLAVULANIC_ACID/PIPERACILLIN-TAZOBACTAM/TICARCILLIN-CLAVULANIC_ACID	Escherichia coli	2544	0	2544	0.008074498676467787	315066
pmrB	NA	pmrB_E121K	COLISTIN	COLISTIN	Escherichia coli	2527	0	2527	0.008020541727764976	315066
parC	NA	parC_A56T	QUINOLONE	QUINOLONE	Escherichia coli	2405	0	2405	0.0076333212723683295	315066
nfsA	NA	nfsA_G126R	NITROFURAN	NITROFURANTOIN	Escherichia coli	2202	0	2202	0.0069890118260935805	315066
fosA7_fam	fosA_gen	fosA7	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	150	2032	2182	0.006925533062913802	315066
parC	NA	parC_E84G	QUINOLONE	QUINOLONE	Escherichia coli	2151	0	2151	0.006827140979985146	315066
fosA7.5	fosA7_fam	fosA7.5	FOSFOMYCIN	FOSFOMYCIN	Escherichia coli	2031	0	2031	0.006446268400906477	315066
bleO	sequest	bleO	BLEOMYCIN	BLEOMYCIN	Escherichia coli	1858	0	1858	0.005897177099401395	315066
