node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
hmrM	MATE_efflux	hmrM	EFFLUX	EFFLUX	Haemophilus influenzae	6800	0	6800	0.9985315712187959	6810
MATE_efflux	NA	NA	NA	NA	Haemophilus influenzae	0	6800	6800	0.9985315712187959	6810
hmrM	MATE_efflux	hmrM	EFFLUX	EFFLUX	Haemophilus influenzae_E	1810	0	1810	0.9994478188845941	1811
MATE_efflux	NA	NA	NA	NA	Haemophilus influenzae_E	0	1810	1810	0.9994478188845941	1811
hmrM	MATE_efflux	hmrM	EFFLUX	EFFLUX	Haemophilus influenzae_D	1405	0	1405	1	1405
MATE_efflux	NA	NA	NA	NA	Haemophilus influenzae_D	0	1405	1405	1	1405
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae	57	914	971	0.14258443465491924	6810
hmrM	MATE_efflux	hmrM	EFFLUX	EFFLUX	Haemophilus influenzae_G	970	0	970	0.9989701338825953	971
MATE_efflux	NA	NA	NA	NA	Haemophilus influenzae_G	0	970	970	0.9989701338825953	971
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae	902	0	902	0.13245227606461088	6810
tet_A_B_C_D	NA	NA	NA	NA	Haemophilus influenzae	0	495	495	0.07268722466960352	6810
tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	Haemophilus influenzae	467	0	467	0.06857562408223201	6810
catA2	catA	catA2	PHENICOL	CHLORAMPHENICOL	Haemophilus influenzae	417	0	417	0.061233480176211455	6810
catA	NA	NA	NA	NA	Haemophilus influenzae	0	417	417	0.061233480176211455	6810
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Haemophilus influenzae	333	0	333	0.04889867841409692	6810
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Haemophilus influenzae	333	0	333	0.04889867841409692	6810
aph(3'')	NA	NA	NA	NA	Haemophilus influenzae	0	333	333	0.04889867841409692	6810
aph(6)-I	NA	NA	NA	NA	Haemophilus influenzae	0	333	333	0.04889867841409692	6810
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Haemophilus influenzae	323	0	323	0.0474302496328928	6810
sul	NA	NA	NA	NA	Haemophilus influenzae	0	323	323	0.0474302496328928	6810
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Haemophilus influenzae	279	0	279	0.040969162995594714	6810
aph(3')-I	NA	NA	NA	NA	Haemophilus influenzae	0	279	279	0.040969162995594714	6810
dfrA4	dfr_gen	dfrA4	TRIMETHOPRIM	TRIMETHOPRIM	Haemophilus influenzae	223	0	223	0.03274596182085169	6810
dfr_gen	NA	NA	NA	NA	Haemophilus influenzae	0	223	223	0.03274596182085169	6810
tet_A_B_C_D	NA	NA	NA	NA	Haemophilus influenzae_G	0	196	196	0.20185375901132852	971
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae_E	1	181	182	0.10049696300386526	1811
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae_G	3	176	179	0.184346035015448	971
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae_E	177	0	177	0.097736057426836	1811
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Haemophilus influenzae_G	175	0	175	0.18022657054582905	971
tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	Haemophilus influenzae_G	159	0	159	0.16374871266735325	971
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Haemophilus influenzae_G	157	0	157	0.16168898043254376	971
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Haemophilus influenzae_G	157	0	157	0.16168898043254376	971
aph(3'')	NA	NA	NA	NA	Haemophilus influenzae_G	0	157	157	0.16168898043254376	971
aph(6)-I	NA	NA	NA	NA	Haemophilus influenzae_G	0	157	157	0.16168898043254376	971
catA2	catA	catA2	PHENICOL	CHLORAMPHENICOL	Haemophilus influenzae_G	154	0	154	0.15859938208032956	971
catA	NA	NA	NA	NA	Haemophilus influenzae_G	0	154	154	0.15859938208032956	971
