node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
fosA_gen	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	3056	3056	1.007251153592617	3034
acrR	NA	acrR_Y114F	TETRACYCLINE	TIGECYCLINE	Klebsiella quasipneumoniae	3032	0	3032	0.999340804218853	3034
acrR	NA	acrR_V165I	TETRACYCLINE	TIGECYCLINE	Klebsiella quasipneumoniae	3028	0	3028	0.998022412656559	3034
emrD	MFS_efflux	emrD	EFFLUX	EFFLUX	Klebsiella quasipneumoniae	3023	0	3023	0.9963744232036915	3034
MFS_efflux	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	3023	3023	0.9963744232036915	3034
fosA5_fam	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Klebsiella quasipneumoniae	3019	0	3019	0.9950560316413974	3034
oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella quasipneumoniae	2735	1	2736	0.9017798286090969	3034
RND-IM	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	2735	2735	0.9014502307185234	3034
oqxA	RND-peri	oqxA	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella quasipneumoniae	2731	0	2731	0.9001318391562294	3034
RND-peri	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	2731	2731	0.9001318391562294	3034
blaOKP-B	blaOKP	blaOKP-B	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	604	1500	2104	0.6934739617666447	3034
oqxR	NA	oqxR_D95E	TETRACYCLINE	TIGECYCLINE	Klebsiella quasipneumoniae	1862	0	1862	0.6137112722478576	3034
sul	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	1857	1857	0.6120632827949901	3034
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	244	1036	1280	0.4218852999340804	3034
dfrA	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	1210	1210	0.3988134475939354	3034
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	8	1035	1043	0.34377059986816083	3034
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	1028	0	1028	0.33882663150955833	3034
blaOKP	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	1008	1008	0.33223467369808835	3034
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Klebsiella quasipneumoniae	993	0	993	0.32729070533948584	3034
tet_A_B_C_D	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	943	943	0.3108108108108108	3034
blaOKP-A	blaOKP	blaOKP-A	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	404	506	910	0.2999340804218853	3034
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella quasipneumoniae	868	0	868	0.2860909690177983	3034
aph(6)-I	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	868	868	0.2860909690177983	3034
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella quasipneumoniae	864	0	864	0.28477257745550427	3034
aph(3'')	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	864	864	0.28477257745550427	3034
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Klebsiella quasipneumoniae	857	0	857	0.2824653922214898	3034
blaCTX-M-15	blaCTX-M	blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	847	0	847	0.2791694133157548	3034
ant(3'')-Ia	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	834	834	0.27488464073829927	3034
aac(6')-Ib-cr	aac(6')-Ib	aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Klebsiella quasipneumoniae	9	780	789	0.26005273566249176	3034
aac(6')-Ib-cr5	aac(6')-Ib-cr	aac(6')-Ib-cr5	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Klebsiella quasipneumoniae	778	0	778	0.2564271588661833	3034
qnrB	qnr	qnrB	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	16	751	767	0.25280158206987474	3034
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Klebsiella quasipneumoniae	718	0	718	0.23665128543177325	3034
dfrA14	dfrA	dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella quasipneumoniae	631	0	631	0.2079762689518787	3034
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	18	611	629	0.2073170731707317	3034
aac(3)-II	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	626	626	0.2063282794990112	3034
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	598	0	598	0.1970995385629532	3034
blaOXA-1_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	14	575	589	0.1941331575477917	3034
blaOXA-1	blaOXA-1_fam	blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	575	0	575	0.1895187870797627	3034
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Klebsiella quasipneumoniae	556	0	556	0.18325642715886617	3034
mph_gen	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	556	556	0.18325642715886617	3034
qnrS	qnr	qnrS	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	3	548	551	0.1816084377059987	3034
qnrS1	qnrS	qnrS1	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	542	0	542	0.1786420566908372	3034
catA	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	449	449	0.14798945286750165	3034
qnrB1	qnrB	qnrB1	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	439	0	439	0.14469347396176666	3034
blaKPC	bla-A_carba	blaKPC	BETA-LACTAM	CARBAPENEM	Klebsiella quasipneumoniae	2	421	423	0.13941990771259063	3034
arr	AMR	arr	RIFAMYCIN	RIFAMYCIN	Klebsiella quasipneumoniae	3	411	414	0.13645352669742913	3034
aac(3)-IIe	aac(3)-II	aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella quasipneumoniae	394	0	394	0.12986156888595912	3034
blaKPC-2	blaKPC	blaKPC-2	BETA-LACTAM	CARBAPENEM	Klebsiella quasipneumoniae	378	0	378	0.12458800263678313	3034
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella quasipneumoniae	341	0	341	0.1123928806855636	3034
sequest	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	333	333	0.10975609756097561	3034
blaNDM	bla-B1	blaNDM	BETA-LACTAM	CARBAPENEM	Klebsiella quasipneumoniae	7	321	328	0.10810810810810811	3034
ble-MBL	sequest	ble	BLEOMYCIN	BLEOMYCIN	Klebsiella quasipneumoniae	326	0	326	0.1074489123269611	3034
bla-A	bla	bla	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	1	265	266	0.08767303889255108	3034
arr-3	arr	arr-3	RIFAMYCIN	RIFAMYCIN	Klebsiella quasipneumoniae	260	0	260	0.08569545154911008	3034
blaOKP-B-6	blaOKP-B	blaOKP-B-6	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	255	0	255	0.08404746209624259	3034
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella quasipneumoniae	252	0	252	0.08305866842452209	3034
blaNDM-1	blaNDM	blaNDM-1	BETA-LACTAM	CARBAPENEM	Klebsiella quasipneumoniae	236	0	236	0.07778510217534608	3034
aadA16	ant(3'')-Ia	aadA16	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella quasipneumoniae	235	0	235	0.07745550428477257	3034
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	235	0	235	0.07745550428477257	3034
dfrA27	dfrA	dfrA27	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella quasipneumoniae	231	0	231	0.07613711272247857	3034
aac(3)-IId	aac(3)-II	aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella quasipneumoniae	228	0	228	0.07514831905075807	3034
blaSHV	blaSHV-LEN	blaSHV	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	6	210	216	0.07119314436387607	3034
catA2	catA	catA2	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	213	0	213	0.07020435069215557	3034
blaOKP-B-5	blaOKP-B	blaOKP-B-5	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	193	0	193	0.06361239288068557	3034
rmt	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	186	186	0.061305207646671064	3034
blaOKP-B-17	blaOKP-B	blaOKP-B-17	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	185	0	185	0.06097560975609756	3034
blaOKP-B-2	blaOKP-B	blaOKP-B-2	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	173	0	173	0.05702043506921556	3034
aph(3')-I	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	171	171	0.056361239288068556	3034
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Klebsiella quasipneumoniae	169	0	169	0.05570204350692155	3034
dfrA12_A21	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	166	166	0.05471324983520105	3034
cmlA	cmlA_floR	cmlA	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	6	151	157	0.05174686882003955	3034
tet(D)	tet_A_B_C_D	tet(D)	TETRACYCLINE	TETRACYCLINE	Klebsiella quasipneumoniae	156	0	156	0.051417270929466054	3034
msr(E)	msr	msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	Klebsiella quasipneumoniae	155	0	155	0.05108767303889255	3034
msr	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	155	155	0.05108767303889255	3034
mph(E)	mph_3	mph(E)	MACROLIDE	ERYTHROMYCIN	Klebsiella quasipneumoniae	151	0	151	0.04976928147659855	3034
dfrA12	dfrA12_A21	dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella quasipneumoniae	151	0	151	0.04976928147659855	3034
mph_3	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	151	151	0.04976928147659855	3034
arr-2	arr	arr-2	RIFAMYCIN	RIFAMYCIN	Klebsiella quasipneumoniae	148	0	148	0.04878048780487805	3034
armA	rmt	armA	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella quasipneumoniae	145	0	145	0.04779169413315755	3034
blaOXA-10_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	12	130	142	0.04680290046143705	3034
qnrB6	qnrB	qnrB6	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	141	0	141	0.046473302570863545	3034
cmlA5	cmlA	cmlA5	PHENICOL	CHLORAMPHENICOL	Klebsiella quasipneumoniae	133	0	133	0.04383651944627554	3034
blaOKP-A-11	blaOKP-A	blaOKP-A-11	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	123	0	123	0.04054054054054054	3034
blaOXA-10	blaOXA-10_fam	blaOXA-10	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	122	0	122	0.04021094264996704	3034
blaDHA	bla-C	blaDHA	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	20	98	118	0.03889255108767304	3034
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella quasipneumoniae	115	0	115	0.03790375741595254	3034
blaOKP-B-8	blaOKP-B	blaOKP-B-8	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	115	0	115	0.03790375741595254	3034
blaSHV-12	blaSHV	blaSHV-12	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	106	0	106	0.03493737640079104	3034
blaOXA-9_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	46	59	105	0.034607778510217534	3034
blaDHA-1	blaDHA	blaDHA-1	BETA-LACTAM	CEPHALOSPORIN	Klebsiella quasipneumoniae	98	0	98	0.032300593276203035	3034
blaLAP	bla-A	blaLAP	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	10	84	94	0.03098220171390903	3034
qnrB4	qnrB	qnrB4	QUINOLONE	QUINOLONE	Klebsiella quasipneumoniae	92	0	92	0.03032300593276203	3034
blaOKP-B-1	blaOKP-B	blaOKP-B-1	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	91	0	91	0.02999340804218853	3034
blaOKP-B-22	blaOKP-B	blaOKP-B-22	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	85	0	85	0.02801582069874753	3034
blaOKP-B-7	blaOKP-B	blaOKP-B-7	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	85	0	85	0.02801582069874753	3034
aac(6')-Ib	NA	NA	NA	NA	Klebsiella quasipneumoniae	0	85	85	0.02801582069874753	3034
blaLAP-2	blaLAP	blaLAP-2	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	84	0	84	0.027686222808174028	3034
blaOKP-A-17	blaOKP-A	blaOKP-A-17	BETA-LACTAM	BETA-LACTAM	Klebsiella quasipneumoniae	82	0	82	0.02702702702702703	3034
