node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
fosA_gen	NA	NA	NA	NA	Klebsiella variicola	0	2518	2518	1.0387788778877889	2424
MFS_efflux	NA	NA	NA	NA	Klebsiella variicola	0	2421	2421	0.9987623762376238	2424
emrD	MFS_efflux	emrD	EFFLUX	EFFLUX	Klebsiella variicola	2420	0	2420	0.9983498349834984	2424
fosA5_fam	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Klebsiella variicola	2417	0	2417	0.9971122112211221	2424
oqxA	RND-peri	oqxA	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella variicola	2403	0	2403	0.9913366336633663	2424
RND-peri	NA	NA	NA	NA	Klebsiella variicola	0	2403	2403	0.9913366336633663	2424
oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella variicola	1486	916	2402	0.990924092409241	2424
oqxR	NA	oqxR_V113I	TETRACYCLINE	TIGECYCLINE	Klebsiella variicola	2399	0	2399	0.9896864686468647	2424
blaLEN	blaSHV-LEN	blaLEN	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	388	1987	2375	0.9797854785478548	2424
oqxR	NA	oqxR_D95E	TETRACYCLINE	TIGECYCLINE	Klebsiella variicola	2358	0	2358	0.9727722772277227	2424
RND-IM	NA	NA	NA	NA	Klebsiella variicola	0	1486	1486	0.613036303630363	2424
sul	NA	NA	NA	NA	Klebsiella variicola	0	526	526	0.21699669966996699	2424
oqxB9	oqxB	oqxB9	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella variicola	519	0	519	0.2141089108910891	2424
blaLEN-16	blaLEN	blaLEN-16	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	479	0	479	0.1976072607260726	2424
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	34	391	425	0.17533003300330033	2424
blaSHV-LEN	NA	NA	NA	NA	Klebsiella variicola	0	398	398	0.16419141914191418	2424
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	385	0	385	0.15882838283828382	2424
oqxB15	oqxB	oqxB15	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Klebsiella variicola	372	0	372	0.15346534653465346	2424
dfrA	NA	NA	NA	NA	Klebsiella variicola	0	341	341	0.14067656765676567	2424
tet_A_B_C_D	NA	NA	NA	NA	Klebsiella variicola	0	308	308	0.12706270627062707	2424
blaLEN-2	blaLEN	blaLEN-2	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	295	0	295	0.1216996699669967	2424
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	2	290	292	0.12046204620462046	2424
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Klebsiella variicola	277	0	277	0.11427392739273927	2424
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Klebsiella variicola	246	0	246	0.10148514851485149	2424
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella variicola	244	0	244	0.10066006600660066	2424
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Klebsiella variicola	244	0	244	0.10066006600660066	2424
aph(3'')	NA	NA	NA	NA	Klebsiella variicola	0	244	244	0.10066006600660066	2424
aph(6)-I	NA	NA	NA	NA	Klebsiella variicola	0	244	244	0.10066006600660066	2424
qnrB	qnr	qnrB	QUINOLONE	QUINOLONE	Klebsiella variicola	3	238	241	0.09942244224422442	2424
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	1	231	232	0.09570957095709572	2424
blaCTX-M-15	blaCTX-M	blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	230	0	230	0.09488448844884488	2424
aac(6')-Ib-cr	aac(6')-Ib	aac(6')-Ib-cr	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	Klebsiella variicola	1	216	217	0.08952145214521452	2424
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	217	0	217	0.08952145214521452	2424
