node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria monocytogenes_B	29924	0	29924	0.9995323668915759	29938
fosX_gen	NA	NA	NA	NA	Listeria monocytogenes_B	0	29924	29924	0.9995323668915759	29938
vga	NA	NA	NA	NA	Listeria monocytogenes_B	0	29921	29921	0.9994321597969136	29938
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes_B	29910	0	29910	0.9990647337831519	29938
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria monocytogenes	29072	0	29072	0.9996217721693085	29083
fosX_gen	NA	NA	NA	NA	Listeria monocytogenes	0	29072	29072	0.9996217721693085	29083
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes	29066	0	29066	0.9994154660798404	29083
vga	NA	NA	NA	NA	Listeria monocytogenes	0	29066	29066	0.9994154660798404	29083
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria innocua	1547	0	1547	1	1547
fosX_gen	NA	NA	NA	NA	Listeria innocua	0	1547	1547	1	1547
tet(M-W-O-S)	NA	NA	NA	NA	Listeria monocytogenes	0	842	842	0.028951621222019736	29083
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes	820	0	820	0.0281951655606368	29083
emrC_Lis	RND-OM	emrC	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Listeria monocytogenes	805	0	805	0.027679400336966614	29083
RND-OM	NA	NA	NA	NA	Listeria monocytogenes	0	805	805	0.027679400336966614	29083
emrC_Lis	RND-OM	emrC	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	Listeria monocytogenes_B	475	0	475	0.015866123321531166	29938
RND-OM	NA	NA	NA	NA	Listeria monocytogenes_B	0	475	475	0.015866123321531166	29938
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria welshimeri	241	0	241	0.7875816993464052	306
fosX_gen	NA	NA	NA	NA	Listeria welshimeri	0	241	241	0.7875816993464052	306
tet(M-W-O-S)	NA	NA	NA	NA	Listeria innocua	0	213	213	0.13768584356819652	1547
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Listeria innocua	203	0	203	0.13122171945701358	1547
tet(M-W-O-S)	NA	NA	NA	NA	Listeria monocytogenes_B	0	185	185	0.0061794375041752956	29938
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes_B	167	0	167	0.005578194936201483	29938
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes_C	166	0	166	1	166
vga	NA	NA	NA	NA	Listeria monocytogenes_C	0	166	166	1	166
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria monocytogenes_C	164	0	164	0.9879518072289156	166
fosX_gen	NA	NA	NA	NA	Listeria monocytogenes_C	0	164	164	0.9879518072289156	166
catA	NA	NA	NA	NA	Listeria monocytogenes_B	0	112	112	0.0037410648673926114	29938
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes_B	67	0	67	0.00223795844745808	29938
vga(G)	vga	vga	LINCOSAMIDE	LINCOSAMIDE	Listeria welshimeri	67	0	67	0.21895424836601307	306
vga	NA	NA	NA	NA	Listeria welshimeri	0	67	67	0.21895424836601307	306
catA9	catA	catA	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes_B	45	20	65	0.002171153717683212	29938
dfr_DGK	NA	NA	NA	NA	Listeria monocytogenes	0	53	53	0.0018223704569679882	29083
dfrG	dfr_DGK	dfrG	TRIMETHOPRIM	TRIMETHOPRIM	Listeria monocytogenes	46	0	46	0.001581680019255235	29083
bcrA_Lm	AMR	bcrA	BACITRACIN	BACITRACIN	Listeria monocytogenes	43	0	43	0.0014785269745211979	29083
AMR	NA	NA	NA	NA	Listeria monocytogenes	0	43	43	0.0014785269745211979	29083
catA	NA	NA	NA	NA	Listeria monocytogenes	0	43	43	0.0014785269745211979	29083
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Listeria innocua	39	0	39	0.025210084033613446	1547
ant(6)	NA	NA	NA	NA	Listeria innocua	0	39	39	0.025210084033613446	1547
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria marthii	33	0	33	1	33
spw	ant(9)	spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Listeria innocua	33	0	33	0.021331609566903685	1547
ant(9)	NA	NA	NA	NA	Listeria innocua	0	33	33	0.021331609566903685	1547
fosX_gen	NA	NA	NA	NA	Listeria marthii	0	33	33	1	33
erm-23S_rRNA	NA	NA	NA	NA	Listeria monocytogenes	0	32	32	0.0011002991438297286	29083
lnu_BFG	NA	NA	NA	NA	Listeria monocytogenes	0	32	32	0.0011002991438297286	29083
mef(A)	mef_gen	mef(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Listeria innocua	28	0	28	0.01809954751131222	1547
