node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
bla-A	NA	NA	NA	NA	Mycobacterium tuberculosis	0	134221	134221	0.998512137240461	134421
blaC	bla-A	blaC	BETA-LACTAM	BETA-LACTAM	Mycobacterium tuberculosis	134162	0	134162	0.9980732177263969	134421
aac(2')-I	NA	NA	NA	NA	Mycobacterium tuberculosis	0	134028	134028	0.9970763496775058	134421
aac(2')-Ic	aac(2')-I	aac(2')-Ic	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	Mycobacterium tuberculosis	134027	0	134027	0.997068910363708	134421
erm(37)	erm_gen	erm(37)	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	Mycobacterium tuberculosis	132989	0	132989	0.9893469026417003	134421
erm_gen	NA	NA	NA	NA	Mycobacterium tuberculosis	0	132989	132989	0.9893469026417003	134421
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Mycobacterium tuberculosis	468	0	468	0.0034815988573214007	134421
aph(3')-I	NA	NA	NA	NA	Mycobacterium tuberculosis	0	468	468	0.0034815988573214007	134421
aph(7'')-Ia	aph	aph(7'')-Ia	AMINOGLYCOSIDE	HYGROMYCIN	Mycobacterium tuberculosis	159	0	159	0.0011828508938335528	134421
aph	NA	NA	NA	NA	Mycobacterium tuberculosis	0	159	159	0.0011828508938335528	134421
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Mycobacterium tuberculosis	58	91	149	0.0011084577558565997	134421
catA	NA	NA	NA	NA	Mycobacterium tuberculosis	0	63	63	4.6867676925480396e-4	134421
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Mycobacterium tuberculosis	60	0	60	4.4635882786171803e-4	134421
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Mycobacterium tuberculosis	51	0	51	3.7940500368246035e-4	134421
erm-23S_rRNA	NA	NA	NA	NA	Mycobacterium tuberculosis	0	38	38	2.826939243124214e-4	134421
erm(C)	erm-23S_rRNA	erm(C)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	Mycobacterium tuberculosis	31	0	31	2.3061872772855432e-4	134421
blaTEM-116	blaTEM	blaTEM-116	BETA-LACTAM	BETA-LACTAM	Mycobacterium tuberculosis	31	0	31	2.3061872772855432e-4	134421
ble-Sh	ble	ble-Sh	BLEOMYCIN	BLEOMYCIN	Mycobacterium tuberculosis	19	0	19	1.413469621562107e-4	134421
ble	NA	NA	NA	NA	Mycobacterium tuberculosis	0	19	19	1.413469621562107e-4	134421
tet_L_K_45	NA	NA	NA	NA	Mycobacterium tuberculosis	0	19	19	1.413469621562107e-4	134421
tet(K)	tet_L_K_45	tet(K)	TETRACYCLINE	TETRACYCLINE	Mycobacterium tuberculosis	11	0	11	8.18324517746483e-5	134421
tet	NA	NA	NA	NA	Mycobacterium tuberculosis	0	10	10	7.4393137976953e-5	134421
vanR-ABDEGLN	NA	NA	NA	NA	Mycobacterium tuberculosis	0	9	9	6.69538241792577e-5	134421
catA7	catA	catA	PHENICOL	CHLORAMPHENICOL	Mycobacterium tuberculosis	8	0	8	5.9514510381562405e-5	134421
vga(A)	vga	vga(A)	LINCOSAMIDE	LINCOSAMIDE	Mycobacterium tuberculosis	8	0	8	5.9514510381562405e-5	134421
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Mycobacterium tuberculosis	8	0	8	5.9514510381562405e-5	134421
tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	Mycobacterium tuberculosis	8	0	8	5.9514510381562405e-5	134421
ant(3'')-Ia	NA	NA	NA	NA	Mycobacterium tuberculosis	0	8	8	5.9514510381562405e-5	134421
vga	NA	NA	NA	NA	Mycobacterium tuberculosis	0	8	8	5.9514510381562405e-5	134421
aph(3')-IIa	aph(3')-II	aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	Mycobacterium tuberculosis	7	0	7	5.20751965838671e-5	134421
aph(3')-II	NA	NA	NA	NA	Mycobacterium tuberculosis	0	7	7	5.20751965838671e-5	134421
msr	NA	NA	NA	NA	Mycobacterium tuberculosis	0	7	7	5.20751965838671e-5	134421
tet_A_B_C_D	NA	NA	NA	NA	Mycobacterium tuberculosis	0	7	7	5.20751965838671e-5	134421
tet(C)	tet_A_B_C_D	tet(C)	TETRACYCLINE	TETRACYCLINE	Mycobacterium tuberculosis	6	0	6	4.46358827861718e-5	134421
mef(A)	mef_gen	mef(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Mycobacterium tuberculosis	6	0	6	4.46358827861718e-5	134421
vanR-A	vanR-ABDEGLN	vanR-A	GLYCOPEPTIDE	VANCOMYCIN	Mycobacterium tuberculosis	6	0	6	4.46358827861718e-5	134421
mef_gen	NA	NA	NA	NA	Mycobacterium tuberculosis	0	6	6	4.46358827861718e-5	134421
vanX	NA	NA	NA	NA	Mycobacterium tuberculosis	0	6	6	4.46358827861718e-5	134421
vanR-Sc	vanR_gen	vanR	GLYCOPEPTIDE	VANCOMYCIN	Mycobacterium tuberculosis	5	0	5	3.71965689884765e-5	134421
blaI_of_Z	blaI_gen	blaI	BETA-LACTAM	BETA-LACTAM	Mycobacterium tuberculosis	5	0	5	3.71965689884765e-5	134421
ant(4')-Ia	ant(4')-I	aadD1	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	Mycobacterium tuberculosis	5	0	5	3.71965689884765e-5	134421
ant(4')-I	NA	NA	NA	NA	Mycobacterium tuberculosis	0	5	5	3.71965689884765e-5	134421
blaI_gen	NA	NA	NA	NA	Mycobacterium tuberculosis	0	5	5	3.71965689884765e-5	134421
vanR_gen	NA	NA	NA	NA	Mycobacterium tuberculosis	0	5	5	3.71965689884765e-5	134421
pmrA	MFS_efflux	pmrA	QUINOLONE	QUINOLONE	Mycobacterium tuberculosis	4	0	4	2.9757255190781202e-5	134421
