node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Pasteurella multocida	112	0	112	0.13254437869822486	845
sul	NA	NA	NA	NA	Pasteurella multocida	0	112	112	0.13254437869822486	845
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Pasteurella multocida	110	0	110	0.1301775147928994	845
aph(3'')	NA	NA	NA	NA	Pasteurella multocida	0	110	110	0.1301775147928994	845
tet(H)	tet(H-J)	tet(H)	TETRACYCLINE	TETRACYCLINE	Pasteurella multocida	88	0	88	0.10414201183431952	845
tet(H-J)	NA	NA	NA	NA	Pasteurella multocida	0	88	88	0.10414201183431952	845
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Pasteurella multocida	87	0	87	0.10295857988165681	845
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Pasteurella multocida	87	0	87	0.10295857988165681	845
aph(3')-I	NA	NA	NA	NA	Pasteurella multocida	0	87	87	0.10295857988165681	845
aph(6)-I	NA	NA	NA	NA	Pasteurella multocida	0	87	87	0.10295857988165681	845
erm(42)	erm-23S_rRNA	erm(42)	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	Pasteurella multocida	60	0	60	0.07100591715976332	845
erm-23S_rRNA	NA	NA	NA	NA	Pasteurella multocida	0	60	60	0.07100591715976332	845
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Pasteurella multocida	52	0	52	0.06153846153846154	845
cmlA_floR	NA	NA	NA	NA	Pasteurella multocida	0	52	52	0.06153846153846154	845
ant(3'')-Ia	NA	NA	NA	NA	Pasteurella multocida	0	24	24	0.028402366863905324	845
aadA31	ant(3'')-Ia	aadA31	AMINOGLYCOSIDE	STREPTOMYCIN	Pasteurella multocida	21	0	21	0.02485207100591716	845
