node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
catA	NA	NA	NA	NA	Proteus mirabilis	0	1233	1233	1.1088129496402879	1112
tet(J)	tet(H-J)	tet(J)	TETRACYCLINE	TETRACYCLINE	Proteus mirabilis	1098	0	1098	0.987410071942446	1112
tet(H-J)	NA	NA	NA	NA	Proteus mirabilis	0	1098	1098	0.987410071942446	1112
catA4	catA	catA	PHENICOL	CHLORAMPHENICOL	Proteus mirabilis	1049	0	1049	0.9433453237410072	1112
sul	NA	NA	NA	NA	Proteus mirabilis	0	626	626	0.5629496402877698	1112
ant(3'')-Ia	NA	NA	NA	NA	Proteus mirabilis	0	553	553	0.4973021582733813	1112
dfrA	NA	NA	NA	NA	Proteus mirabilis	0	529	529	0.47571942446043164	1112
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Proteus mirabilis	379	0	379	0.3408273381294964	1112
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Proteus mirabilis	362	0	362	0.3255395683453237	1112
sat2_fam	sat	sat2	STREPTOTHRICIN	STREPTOTHRICIN	Proteus mirabilis	353	0	353	0.31744604316546765	1112
sat	NA	NA	NA	NA	Proteus mirabilis	0	353	353	0.31744604316546765	1112
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Proteus mirabilis	306	0	306	0.2751798561151079	1112
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Proteus mirabilis	305	0	305	0.27428057553956836	1112
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Proteus mirabilis	286	0	286	0.25719424460431656	1112
aph(3'')	NA	NA	NA	NA	Proteus mirabilis	0	286	286	0.25719424460431656	1112
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Proteus mirabilis	284	0	284	0.25539568345323743	1112
