node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
RND-peri	NA	NA	NA	NA	Pseudomonas aeruginosa	0	49613	49613	1.9866655988467545	24973
blaOXA-50_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Pseudomonas aeruginosa	1037	23833	24870	0.9958755455892364	24973
mexA	RND-peri	mexA	EFFLUX	EFFLUX	Pseudomonas aeruginosa	24856	0	24856	0.9953149401353462	24973
blaPDC	blaPDC_gen	blaPDC	BETA-LACTAM	CEPHALOSPORIN	Pseudomonas aeruginosa	1113	23738	24851	0.995114723901814	24973
fos_GT	NA	NA	NA	NA	Pseudomonas aeruginosa	0	24828	24828	0.9941937292275658	24973
fosA_PA1129	fos_GT	fosA	FOSFOMYCIN	FOSFOMYCIN	Pseudomonas aeruginosa	24827	0	24827	0.9941536859808593	24973
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Pseudomonas aeruginosa	89	24738	24827	0.9941536859808593	24973
aph(3')-II	NA	NA	NA	NA	Pseudomonas aeruginosa	0	24824	24824	0.99403355624074	24973
aph(3')-IIb	aph(3')-II	aph(3')-IIb	AMINOGLYCOSIDE	KANAMYCIN	Pseudomonas aeruginosa	24745	0	24745	0.990870139750931	24973
mexE	RND-peri	mexE	EFFLUX	EFFLUX	Pseudomonas aeruginosa	24621	0	24621	0.9859047771593321	24973
mexX	mexX_amrA	mexX	EFFLUX	EFFLUX	Pseudomonas aeruginosa	24414	0	24414	0.9776158250910983	24973
mexX_amrA	NA	NA	NA	NA	Pseudomonas aeruginosa	0	24414	24414	0.9776158250910983	24973
catB7	catB	catB7	PHENICOL	CHLORAMPHENICOL	Pseudomonas aeruginosa	24289	0	24289	0.972610419252793	24973
AMR	NA	NA	NA	NA	Pseudomonas aeruginosa	0	15685	15685	0.6280783245905578	24973
crpP	AMR	crpP	FLUOROQUINOLONE	FLUOROQUINOLONE	Pseudomonas aeruginosa	15656	0	15656	0.6269170704360709	24973
oprD	NA	oprD_V359L	BETA-LACTAM	CARBAPENEM	Pseudomonas aeruginosa	9018	0	9018	0.3611099987987026	24973
