node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
RND-peri	NA	NA	NA	NA	Salmonella enterica	0	507165	507165	0.948413373701031	534751
RND-IM	NA	NA	NA	NA	Salmonella enterica	0	506674	506674	0.9474951893498096	534751
mdsA	RND-peri	mdsA	EFFLUX	EFFLUX	Salmonella enterica	506354	0	506354	0.9468967799966713	534751
mdsB	RND-IM	mdsB	EFFLUX	EFFLUX	Salmonella enterica	505790	0	505790	0.9458420835117652	534751
sul	NA	NA	NA	NA	Salmonella enterica	0	110360	110360	0.20637642566353312	534751
tet_A_B_C_D	NA	NA	NA	NA	Salmonella enterica	0	106523	106523	0.1992011235135605	534751
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Salmonella enterica	65269	0	65269	0.12205493771867654	534751
aph(3'')	NA	NA	NA	NA	Salmonella enterica	0	65269	65269	0.12205493771867654	534751
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Salmonella enterica	64994	0	64994	0.12154067968082341	534751
aph(6)-I	NA	NA	NA	NA	Salmonella enterica	0	64994	64994	0.12154067968082341	534751
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Salmonella enterica	61199	0	61199	0.1144439187584502	534751
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Salmonella enterica	55160	0	55160	0.10315081224719543	534751
ant(3'')-Ia	ant(3'')-I	ant(3'')-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	Salmonella enterica	4	52951	52955	0.09902739779822758	534751
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Salmonella enterica	2983	49845	52828	0.09878990408620086	534751
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Salmonella enterica	49838	0	49838	0.09319851669281591	534751
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Salmonella enterica	47473	0	47473	0.08877589756727898	534751
tet(B)	tet_A_B_C_D	tet(B)	TETRACYCLINE	TETRACYCLINE	Salmonella enterica	35823	0	35823	0.06699005705459177	534751
fosA7_fam	fosA_gen	fosA7	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	10049	23158	33207	0.06209806059268706	534751
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Salmonella enterica	29839	84	29923	0.05595688460610639	534751
cmlA_floR	NA	NA	NA	NA	Salmonella enterica	0	29849	29849	0.05581850244319319	534751
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Salmonella enterica	29359	0	29359	0.05490218812120033	534751
dfrA	NA	NA	NA	NA	Salmonella enterica	0	28752	28752	0.05376708037946633	534751
gyrA	NA	gyrA_D87Y	QUINOLONE	QUINOLONE	Salmonella enterica	28507	0	28507	0.0533089232184699	534751
gyrA	NA	gyrA_S83F	QUINOLONE/TRICLOSAN	QUINOLONE/TRICLOSAN	Salmonella enterica	19517	0	19517	0.03649736045374389	534751
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Salmonella enterica	18990	0	18990	0.03551185505029444	534751
aph(3')-I	NA	NA	NA	NA	Salmonella enterica	0	15108	15108	0.028252401585036772	534751
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Salmonella enterica	15067	0	15067	0.028175730386665945	534751
blaCMY	CMY2-MIR-ACT-EC	blaCMY	BETA-LACTAM	CEPHALOSPORIN	Salmonella enterica	402	12710	13112	0.024519823244837317	534751
blaCMY-2	blaCMY	blaCMY-2	BETA-LACTAM	CEPHALOSPORIN	Salmonella enterica	12656	0	12656	0.023667089916615397	534751
catA	NA	NA	NA	NA	Salmonella enterica	0	12246	12246	0.02290037793290709	534751
qnrB	qnr	qnrB	QUINOLONE	QUINOLONE	Salmonella enterica	501	10473	10974	0.02052170075418279	534751
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Salmonella enterica	146	10530	10676	0.01996443204407285	534751
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Salmonella enterica	10627	0	10627	0.019872800611873565	534751
dfrA14	dfrA	dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	Salmonella enterica	10260	0	10260	0.019186499884993203	534751
aac(3)_IV_fam	NA	NA	NA	NA	Salmonella enterica	0	10122	10122	0.018928435851452357	534751
fosA_gen	NA	NA	NA	NA	Salmonella enterica	0	10101	10101	0.018889165237652664	534751
aac(3)-IVa	aac(3)_IV_fam	aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Salmonella enterica	10018	0	10018	0.018733952811682445	534751
aph(4)-Ia	aph(4)-I	aph(4)-Ia	AMINOGLYCOSIDE	HYGROMYCIN	Salmonella enterica	9940	0	9940	0.018588090531855013	534751
aph(4)-I	NA	NA	NA	NA	Salmonella enterica	0	9940	9940	0.018588090531855013	534751
gyrA	NA	gyrA_D87N	QUINOLONE	QUINOLONE	Salmonella enterica	9884	0	9884	0.018483368895055828	534751
qnrB19	qnrB	qnrB19	QUINOLONE	QUINOLONE	Salmonella enterica	9278	0	9278	0.017350131182550382	534751
gyrA	NA	gyrA_S83Y	QUINOLONE	QUINOLONE	Salmonella enterica	8866	0	8866	0.016579679140384964	534751
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Salmonella enterica	8842	0	8842	0.0165347984388996	534751
fosA7	fosA7_fam	fosA7	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	8692	0	8692	0.016254294054616075	534751
blaPSE	blaCARB_gen	blaPSE	BETA-LACTAM	BETA-LACTAM	Salmonella enterica	13	8441	8454	0.015809227098219546	534751
blaCARB-2	blaPSE	blaCARB-2	BETA-LACTAM	BETA-LACTAM	Salmonella enterica	8439	0	8439	0.01578117665979119	534751
fosA7.2	fosA7_fam	fosA7.2	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	7916	0	7916	0.014803151373255965	534751
dfrA7	dfrA	dfrA7	TRIMETHOPRIM	TRIMETHOPRIM	Salmonella enterica	6656	0	6656	0.012446914545274343	534751
dfrA12_A21	NA	NA	NA	NA	Salmonella enterica	0	6315	6315	0.011809234578336459	534751
blaCTX-M-65	blaCTX-M	blaCTX-M-65	BETA-LACTAM	CEPHALOSPORIN	Salmonella enterica	6279	0	6279	0.011741913526108413	534751
dfrA12	dfrA12_A21	dfrA12	TRIMETHOPRIM	TRIMETHOPRIM	Salmonella enterica	6275	0	6275	0.011734433409194186	534751
qnrS	qnr	qnrS	QUINOLONE	QUINOLONE	Salmonella enterica	67	6135	6202	0.011597921275509536	534751
tet(G)	tet_A_B_C_D	tet(G)	TETRACYCLINE	TETRACYCLINE	Salmonella enterica	6046	0	6046	0.011306196715854668	534751
qnrS1	qnrS	qnrS1	QUINOLONE	QUINOLONE	Salmonella enterica	5641	0	5641	0.010548834878289148	534751
cmlA	cmlA_floR	cmlA	PHENICOL	CHLORAMPHENICOL	Salmonella enterica	10	5438	5448	0.010187919237177677	534751
sul3	sul	sul3	SULFONAMIDE	SULFONAMIDE	Salmonella enterica	5362	0	5362	0.010027096723521789	534751
mph_gen	NA	NA	NA	NA	Salmonella enterica	0	4924	4924	0.009208023921413892	534751
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Salmonella enterica	4713	0	4713	0.008813447754188398	534751
aac(3)-II	NA	NA	NA	NA	Salmonella enterica	0	4569	4569	0.008544163545276214	534751
cmlA1	cmlA	cmlA1	PHENICOL	CHLORAMPHENICOL	Salmonella enterica	4430	0	4430	0.008284229482506811	534751
parC	NA	parC_S80I	QUINOLONE	QUINOLONE	Salmonella enterica	3802	0	3802	0.007109851126973115	534751
fosA7.3	fosA7_fam	fosA7.3	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	3735	0	3735	0.006984559168659806	534751
gyrA	NA	gyrA_D87G	QUINOLONE/TRICLOSAN	QUINOLONE/TRICLOSAN	Salmonella enterica	3654	0	3654	0.006833086801146702	534751
aac(3)	NA	NA	NA	NA	Salmonella enterica	0	3455	3455	0.00646095098466389	534751
aac(3)-VIa	aac(3)	aac(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	Salmonella enterica	3450	0	3450	0.006451600838521106	534751
bla-A	NA	NA	NA	NA	Salmonella enterica	0	3285	3285	0.006143046015809227	534751
fos_A3_A4	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	11	3211	3222	0.006025234174410146	534751
fosA3	fos_A3_A4	fosA3	FOSFOMYCIN	FOSFOMYCIN	Salmonella enterica	3121	0	3121	0.005836361222325905	534751
aac(3)-IId	aac(3)-II	aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Salmonella enterica	3078	0	3078	0.005755949965497961	534751
