node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
RND-IM	NA	NA	NA	NA	Serratia marcescens_K	0	1576	1576	1.9873896595208072	793
RND-IM	NA	NA	NA	NA	Serratia nevei	0	1299	1299	1.9953917050691243	651
tet_A_B_C_D	NA	NA	NA	NA	Serratia nevei	0	808	808	1.241167434715822	651
aac(6')_Serra	aac(6')_E	aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia marcescens_K	575	216	791	0.9974779319041615	793
sdeY	RND-IM	sdeY	EFFLUX	EFFLUX	Serratia marcescens_K	790	0	790	0.9962168978562421	793
sdeB	RND-IM	sdeB	EFFLUX	EFFLUX	Serratia marcescens_K	786	0	786	0.9911727616645649	793
blaSRT	bla-C	blaSRT	BETA-LACTAM	CEPHALOSPORIN	Serratia marcescens_K	605	180	785	0.9899117276166457	793
smfY	MFS_efflux	smfY	EFFLUX	EFFLUX	Serratia marcescens_K	782	0	782	0.9861286254728878	793
MFS_efflux	NA	NA	NA	NA	Serratia marcescens_K	0	782	782	0.9861286254728878	793
sdeY	RND-IM	sdeY	EFFLUX	EFFLUX	Serratia nevei	650	0	650	0.9984639016897081	651
aac(6')_Serra	aac(6')_E	aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia nevei	650	0	650	0.9984639016897081	651
aac(6')_E	NA	NA	NA	NA	Serratia nevei	0	650	650	0.9984639016897081	651
bla-C	NA	NA	NA	NA	Serratia nevei	0	650	650	0.9984639016897081	651
blaSRT	bla-C	blaSRT	BETA-LACTAM	CEPHALOSPORIN	Serratia nevei	649	0	649	0.9969278033794163	651
sdeB	RND-IM	sdeB	EFFLUX	EFFLUX	Serratia nevei	648	0	648	0.9953917050691244	651
smfY	MFS_efflux	smfY	EFFLUX	EFFLUX	Serratia nevei	646	0	646	0.9923195084485407	651
MFS_efflux	NA	NA	NA	NA	Serratia nevei	0	646	646	0.9923195084485407	651
tet(41)	tet_A_B_C_D	tet(41)	TETRACYCLINE	TETRACYCLINE	Serratia nevei	636	0	636	0.9769585253456221	651
bla-C	NA	NA	NA	NA	Serratia marcescens_K	0	605	605	0.7629255989911727	793
aac(6')_E	NA	NA	NA	NA	Serratia marcescens_K	0	575	575	0.725094577553594	793
RND-IM	NA	NA	NA	NA	Serratia ureilytica	0	513	513	1.9806949806949807	259
sul	NA	NA	NA	NA	Serratia nevei	0	409	409	0.6282642089093702	651
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Serratia nevei	14	343	357	0.5483870967741935	651
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Serratia nevei	351	0	351	0.5391705069124424	651
blaTEM-1	blaTEM	blaTEM-1	BETA-LACTAM	BETA-LACTAM	Serratia nevei	339	0	339	0.5207373271889401	651
RND-IM	NA	NA	NA	NA	Serratia bockelmannii	0	324	324	2	162
RND-IM	NA	NA	NA	NA	Serratia nematodiphila	0	269	269	1.9925925925925927	135
smfY	MFS_efflux	smfY	EFFLUX	EFFLUX	Serratia ureilytica	259	0	259	1	259
aac(6')_Serra	aac(6')_E	aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia ureilytica	259	0	259	1	259
blaSRT	bla-C	blaSRT	BETA-LACTAM	CEPHALOSPORIN	Serratia ureilytica	123	136	259	1	259
MFS_efflux	NA	NA	NA	NA	Serratia ureilytica	0	259	259	1	259
aac(6')_E	NA	NA	NA	NA	Serratia ureilytica	0	259	259	1	259
sdeY	RND-IM	sdeY	EFFLUX	EFFLUX	Serratia ureilytica	258	0	258	0.9961389961389961	259
sdeB	RND-IM	sdeB	EFFLUX	EFFLUX	Serratia ureilytica	255	0	255	0.9845559845559846	259
tet_A_B_C_D	NA	NA	NA	NA	Serratia ureilytica	0	250	250	0.9652509652509652	259
tet(41)	tet_A_B_C_D	tet(41)	TETRACYCLINE	TETRACYCLINE	Serratia ureilytica	245	0	245	0.9459459459459459	259
aac(6')-Ib-G	aac(6')-Ib	aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	Serratia nevei	18	206	224	0.34408602150537637	651
RND-IM	NA	NA	NA	NA	Serratia marcescens	0	222	222	2	111
aac(6')-Ic	aac(6')_Serra	aac(6')-Ic	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia marcescens_K	216	0	216	0.2723833543505675	793
blaSHV	NA	NA	NA	NA	Serratia nevei	0	207	207	0.31797235023041476	651
catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	Serratia nevei	191	0	191	0.29339477726574503	651
catB	NA	NA	NA	NA	Serratia nevei	0	191	191	0.29339477726574503	651
aac(6')-Ib4	aac(6')-Ib-G	aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	Serratia nevei	186	0	186	0.2857142857142857	651
blaIMP	NA	NA	NA	NA	Serratia nevei	0	183	183	0.28110599078341014	651
gyrA	NA	gyrA_S83I	QUINOLONE	QUINOLONE	Serratia marcescens_K	182	0	182	0.22950819672131148	793
blaSRT-2	blaSRT	blaSRT-2	BETA-LACTAM	CEPHALOSPORIN	Serratia marcescens_K	180	0	180	0.22698612862547288	793
blaIMP-4	blaIMP	blaIMP-4	BETA-LACTAM	CARBAPENEM	Serratia nevei	177	0	177	0.271889400921659	651
RND-IM	NA	NA	NA	NA	Serratia entomophila	0	168	168	2	84
ant(3'')-Ia	NA	NA	NA	NA	Serratia nevei	0	167	167	0.2565284178187404	651
tet_A_B_C_D	NA	NA	NA	NA	Serratia bockelmannii	0	165	165	1.0185185185185186	162
sdeB	RND-IM	sdeB	EFFLUX	EFFLUX	Serratia bockelmannii	162	0	162	1	162
sdeY	RND-IM	sdeY	EFFLUX	EFFLUX	Serratia bockelmannii	162	0	162	1	162
aac(6')_Serra	aac(6')_E	aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia bockelmannii	162	0	162	1	162
blaSRT	bla-C	blaSRT	BETA-LACTAM	CEPHALOSPORIN	Serratia bockelmannii	162	0	162	1	162
aac(6')_E	NA	NA	NA	NA	Serratia bockelmannii	0	162	162	1	162
bla-C	NA	NA	NA	NA	Serratia bockelmannii	0	162	162	1	162
smfY	MFS_efflux	smfY	EFFLUX	EFFLUX	Serratia bockelmannii	161	0	161	0.9938271604938271	162
tet(41)	tet_A_B_C_D	tet(41)	TETRACYCLINE	TETRACYCLINE	Serratia bockelmannii	161	0	161	0.9938271604938271	162
MFS_efflux	NA	NA	NA	NA	Serratia bockelmannii	0	161	161	0.9938271604938271	162
gyrA	NA	gyrA_S83R	QUINOLONE	QUINOLONE	Serratia marcescens_K	157	0	157	0.19798234552332913	793
blaKPC	NA	NA	NA	NA	Serratia nevei	0	144	144	0.22119815668202766	651
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Serratia nevei	137	0	137	0.21044546850998463	651
RND-IM	NA	NA	NA	NA	Serratia_J liquefaciens	0	137	137	1.9295774647887325	71
blaSRT-3	blaSRT	blaSRT-3	BETA-LACTAM	CEPHALOSPORIN	Serratia ureilytica	136	0	136	0.525096525096525	259
sdeY	RND-IM	sdeY	EFFLUX	EFFLUX	Serratia nematodiphila	135	0	135	1	135
smfY	MFS_efflux	smfY	EFFLUX	EFFLUX	Serratia nematodiphila	135	0	135	1	135
aac(6')_Serra	aac(6')_E	aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Serratia nematodiphila	135	0	135	1	135
