node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
blaOXA-55_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella algae	41	4	45	0.9782608695652174	46
qnrA	qnr	qnrA	QUINOLONE	QUINOLONE	Shewanella algae	12	32	44	0.9565217391304348	46
blaOXA	NA	NA	NA	NA	Shewanella algae	0	41	41	0.8913043478260869	46
blaOXA-54	blaOXA-48_fam	blaOXA-54	BETA-LACTAM	CARBAPENEM	Shewanella oneidensis	35	0	35	0.9722222222222222	36
blaOXA-48_fam	NA	NA	NA	NA	Shewanella oneidensis	0	35	35	0.9722222222222222	36
catB	cat	catB	PHENICOL	CHLORAMPHENICOL	Shewanella oneidensis	34	0	34	0.9444444444444444	36
cat	NA	NA	NA	NA	Shewanella oneidensis	0	34	34	0.9444444444444444	36
qnrA3	qnrA	qnrA3	QUINOLONE	QUINOLONE	Shewanella algae	28	0	28	0.6086956521739131	46
aac(3)-Ia	aac(3)-I	aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Shewanella oneidensis	26	0	26	0.7222222222222222	36
aac(3)-I	NA	NA	NA	NA	Shewanella oneidensis	0	26	26	0.7222222222222222	36
blaOXA-48_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella xiamenensis	2	15	17	1	17
blaOXA-548_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella baltica	15	0	15	1	15
blaOXA	NA	NA	NA	NA	Shewanella baltica	0	15	15	1	15
qnr	NA	NA	NA	NA	Shewanella algae	0	12	12	0.2608695652173913	46
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Shewanella oneidensis	8	0	8	0.2222222222222222	36
aph(3')-I	NA	NA	NA	NA	Shewanella oneidensis	0	8	8	0.2222222222222222	36
dfrA	NA	NA	NA	NA	Shewanella seohaensis	0	8	8	2	4
ant(3'')-Ia	NA	NA	NA	NA	Shewanella seohaensis	0	7	7	1.75	4
blaOXA	NA	NA	NA	NA	Shewanella sp000203935	0	7	7	1.4	5
ant(3'')-Ia	NA	NA	NA	NA	Shewanella xiamenensis	0	6	6	0.35294117647058826	17
blaOXA	NA	NA	NA	NA	Shewanella seohaensis	0	6	6	1.5	4
blaOXA-48_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella sp000203935	5	0	5	1	5
blaOXA-252	blaOXA-48_fam	blaOXA-252	BETA-LACTAM	CARBAPENEM	Shewanella xiamenensis	5	0	5	0.29411764705882354	17
sul	NA	NA	NA	NA	Shewanella xiamenensis	0	5	5	0.29411764705882354	17
mcr-4	pmrC_gen	mcr-4	COLISTIN	COLISTIN	Shewanella oncorhynchi	3	1	4	0.1	40
blaOXA	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella putrefaciens	4	0	4	1	4
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Shewanella xiamenensis	4	0	4	0.23529411764705882	17
blaOXA-48_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	Shewanella seohaensis	3	1	4	1	4
blaOXA-48	blaOXA-48_fam	blaOXA-48	BETA-LACTAM	CARBAPENEM	Shewanella xiamenensis	4	0	4	0.23529411764705882	17
blaOXA-964	blaOXA-55_fam	blaOXA-964	BETA-LACTAM	BETA-LACTAM	Shewanella algae	4	0	4	0.08695652173913043	46
ant(3'')-Ia	NA	NA	NA	NA	Shewanella sp000203935	0	4	4	0.8	5
bla-D	NA	NA	NA	NA	Shewanella putrefaciens	0	4	4	1	4
