node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
tet(38)	tet_MFS_efflux	tet(38)	TETRACYCLINE	TETRACYCLINE	Staphylococcus aureus	104087	0	104087	0.9977377951170883	104323
tet_MFS_efflux	NA	NA	NA	NA	Staphylococcus aureus	0	104087	104087	0.9977377951170883	104323
mepA	MATE_efflux	mepA	TETRACYCLINE	TIGECYCLINE	Staphylococcus aureus	104050	0	104050	0.9973831274023944	104323
MATE_efflux	NA	NA	NA	NA	Staphylococcus aureus	0	104050	104050	0.9973831274023944	104323
blaZ	blaZ_gen	blaZ	BETA-LACTAM	BETA-LACTAM	Staphylococcus aureus	70225	15445	85670	0.8211995437247779	104323
blaI_of_Z	blaI_gen	blaI	BETA-LACTAM	BETA-LACTAM	Staphylococcus aureus	85527	0	85527	0.8198288009355559	104323
blaI_gen	NA	NA	NA	NA	Staphylococcus aureus	0	85527	85527	0.8198288009355559	104323
blaR1_gen	NA	NA	NA	NA	Staphylococcus aureus	0	73595	73595	0.7054532557537647	104323
blaZ_gen	NA	NA	NA	NA	Staphylococcus aureus	0	71973	71973	0.689905389990702	104323
blaR1	blaR1_gen	blaR1	BETA-LACTAM	BETA-LACTAM	Staphylococcus aureus	24207	37587	61794	0.5923334259942677	104323
mec_gen	NA	NA	NA	NA	Staphylococcus aureus	0	61089	61089	0.5855755681872645	104323
mecA	mec_gen	mecA	BETA-LACTAM	METHICILLIN	Staphylococcus aureus	59333	202	59535	0.5706795241701255	104323
fosB_gen	NA	NA	NA	NA	Staphylococcus aureus	0	59434	59434	0.5697113771651505	104323
fosB-Saur	fosB_gen	fosB	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	58929	134	59063	0.566155114404302	104323
mecR1	blaR1_gen	mecR1	BETA-LACTAM	METHICILLIN	Staphylococcus aureus	49388	0	49388	0.4734142998188319	104323
blaR1-2	blaR1	blaR1	BETA-LACTAM	BETA-LACTAM	Staphylococcus aureus	37587	0	37587	0.36029447005933496	104323
erm-23S_rRNA	NA	NA	NA	NA	Staphylococcus aureus	0	36648	36648	0.35129357859724125	104323
gyrA	NA	gyrA_S84L	QUINOLONE	QUINOLONE	Staphylococcus aureus	35782	0	35782	0.3429924369506245	104323
glpT	NA	glpT_A100V	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	33094	0	33094	0.31722630675881636	104323
murA	NA	murA_E291D	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	32083	0	32083	0.3075352510951564	104323
parC	NA	parC_S80F	QUINOLONE	QUINOLONE	Staphylococcus aureus	25907	0	25907	0.2483344995830258	104323
ant(9)	NA	NA	NA	NA	Staphylococcus aureus	0	19258	19258	0.1845997526911611	104323
ant(9)-Ia	ant(9)	ant(9)-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN	Staphylococcus aureus	18523	0	18523	0.17755432646683858	104323
ant(6)	NA	NA	NA	NA	Staphylococcus aureus	0	18339	18339	0.17579057350728028	104323
erm(A)	erm-23S_rRNA	erm(A)	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	Staphylococcus aureus	17152	0	17152	0.16441244979534714	104323
murA	NA	murA_G257D	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	17127	0	17127	0.16417280944758106	104323
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Staphylococcus aureus	16704	0	16704	0.16011809476337913	104323
aph(3')	NA	NA	NA	NA	Staphylococcus aureus	0	16704	16704	0.16011809476337913	104323
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Staphylococcus aureus	16655	0	16655	0.15964839968175762	104323
murA	NA	murA_D278E	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	16250	0	16250	0.15576622604794724	104323
erm(C)	erm-23S_rRNA	erm(C)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	Staphylococcus aureus	16215	0	16215	0.15543072956107473	104323
murA	NA	murA_T396N	FOSFOMYCIN	FOSFOMYCIN	Staphylococcus aureus	15833	0	15833	0.15176902504720916	104323
tet_L_K_45	NA	NA	NA	NA	Staphylococcus aureus	0	15799	15799	0.1514431141742473	104323
dfr_gen	NA	NA	NA	NA	Staphylococcus aureus	0	15629	15629	0.149813559809438	104323
blaPC1	blaZ	blaPC1	BETA-LACTAM	BETA-LACTAM	Staphylococcus aureus	15445	0	15445	0.1480498068498797	104323
sat4	sat	sat4	STREPTOTHRICIN	STREPTOTHRICIN	Staphylococcus aureus	14914	0	14914	0.14295984586332833	104323
sat	NA	NA	NA	NA	Staphylococcus aureus	0	14914	14914	0.14295984586332833	104323
tet(K)	tet_L_K_45	tet(K)	TETRACYCLINE	TETRACYCLINE	Staphylococcus aureus	14476	0	14476	0.13876134697046671	104323
aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Staphylococcus aureus	13721	0	13721	0.13152420846793134	104323
aac(6')-Ie_fam	NA	NA	NA	NA	Staphylococcus aureus	0	13721	13721	0.13152420846793134	104323
