node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
MFS_efflux	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	1480	1480	1.9707057256990679	751
RND-OM	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	1477	1477	1.966711051930759	751
aph(6)-I	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	742	742	0.9880159786950732	751
aph(3')-IIc	aph(3')-II	aph(3')-IIc	AMINOGLYCOSIDE	KANAMYCIN	Stenotrophomonas maltophilia	740	0	740	0.9853528628495339	751
emrA-sm	MFS_efflux	emrA	EFFLUX	EFFLUX	Stenotrophomonas maltophilia	740	0	740	0.9853528628495339	751
emrB-sm	MFS_efflux	emrB	EFFLUX	EFFLUX	Stenotrophomonas maltophilia	740	0	740	0.9853528628495339	751
smeF	RND-OM	smeF	QUINOLONE	QUINOLONE	Stenotrophomonas maltophilia	740	0	740	0.9853528628495339	751
aph(3')-II	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	740	740	0.9853528628495339	751
emrC	RND-OM	emrC	EFFLUX	EFFLUX	Stenotrophomonas maltophilia	737	0	737	0.9813581890812251	751
blaL1	bla-B3	blaL1	BETA-LACTAM	CARBAPENEM	Stenotrophomonas maltophilia	734	0	734	0.9773635153129161	751
bla-B3	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	734	734	0.9773635153129161	751
aph(6)-Smalt	aph(6)-I	aph(6)	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Stenotrophomonas maltophilia	728	0	728	0.9693741677762983	751
aac(6')-Iz	aac(6')_Steno	aac(6')-Iz	AMINOGLYCOSIDE	TOBRAMYCIN	Stenotrophomonas maltophilia	464	0	464	0.6178428761651131	751
MFS_efflux	NA	NA	NA	NA	Stenotrophomonas maltophilia_F	0	464	464	1.901639344262295	244
RND-OM	NA	NA	NA	NA	Stenotrophomonas maltophilia_F	0	464	464	1.901639344262295	244
aac(6')_Steno	NA	NA	NA	NA	Stenotrophomonas maltophilia	0	464	464	0.6178428761651131	751
MFS_efflux	NA	NA	NA	NA	Stenotrophomonas maltophilia_A	0	252	252	1.96875	128
RND-OM	NA	NA	NA	NA	Stenotrophomonas maltophilia_A	0	252	252	1.96875	128
MFS_efflux	NA	NA	NA	NA	Stenotrophomonas sepilia	0	236	236	2	118
RND-OM	NA	NA	NA	NA	Stenotrophomonas sepilia	0	236	236	2	118
emrA-sm	MFS_efflux	emrA	EFFLUX	EFFLUX	Stenotrophomonas maltophilia_F	232	0	232	0.9508196721311475	244
emrB-sm	MFS_efflux	emrB	EFFLUX	EFFLUX	Stenotrophomonas maltophilia_F	232	0	232	0.9508196721311475	244
emrC	RND-OM	emrC	EFFLUX	EFFLUX	Stenotrophomonas maltophilia_F	232	0	232	0.9508196721311475	244
smeF	RND-OM	smeF	QUINOLONE	QUINOLONE	Stenotrophomonas maltophilia_F	232	0	232	0.9508196721311475	244
blaL1	bla-B3	blaL1	BETA-LACTAM	CARBAPENEM	Stenotrophomonas maltophilia_F	232	0	232	0.9508196721311475	244
bla-B3	NA	NA	NA	NA	Stenotrophomonas maltophilia_F	0	232	232	0.9508196721311475	244
aph(3')-IIc	aph(3')-II	aph(3')-IIc	AMINOGLYCOSIDE	KANAMYCIN	Stenotrophomonas maltophilia_F	230	0	230	0.9426229508196722	244
aph(3')-II	NA	NA	NA	NA	Stenotrophomonas maltophilia_F	0	230	230	0.9426229508196722	244
aph(6)-Smalt	aph(6)-I	aph(6)	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Stenotrophomonas maltophilia_F	222	0	222	0.9098360655737705	244
