node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
pmrA	MFS_efflux	pmrA	QUINOLONE	QUINOLONE	Streptococcus pneumoniae	96030	0	96030	0.9989805259653795	96128
MFS_efflux	NA	NA	NA	NA	Streptococcus pneumoniae	0	96030	96030	0.9989805259653795	96128
pbp	NA	NA	NA	NA	Streptococcus pneumoniae	0	86994	86994	0.9049808588548602	96128
pbp2b	pbp	pbp2b	BETA-LACTAM	BETA-LACTAM	Streptococcus pneumoniae	33595	0	33595	0.34948194074567246	96128
pbp2x	pbp	pbp2x	BETA-LACTAM	BETA-LACTAM	Streptococcus pneumoniae	32343	0	32343	0.3364576398135819	96128
tet(M-W-O-S)	NA	NA	NA	NA	Streptococcus pneumoniae	0	25102	25102	0.2611309920106525	96128
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Streptococcus pneumoniae	24688	0	24688	0.2568242343541944	96128
pbp1a	pbp	pbp1a	BETA-LACTAM	BETA-LACTAM	Streptococcus pneumoniae	21056	0	21056	0.21904127829560585	96128
tet(M-W-O-S)	NA	NA	NA	NA	Streptococcus agalactiae	0	19616	19616	0.8548394125593759	22947
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Streptococcus agalactiae	18030	0	18030	0.7857236240031377	22947
erm-23S_rRNA	NA	NA	NA	NA	Streptococcus pneumoniae	0	12495	12495	0.1299829394141145	96128
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Streptococcus pneumoniae	12485	0	12485	0.12987891145139813	96128
mef(A)	mef_gen	mef(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Streptococcus pneumoniae	12410	0	12410	0.1290987017310253	96128
mef_gen	NA	NA	NA	NA	Streptococcus pneumoniae	0	12410	12410	0.1290987017310253	96128
msr	NA	NA	NA	NA	Streptococcus pneumoniae	0	12408	12408	0.12907789613848203	96128
msr(D)	msr	msr(D)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Streptococcus pneumoniae	12406	0	12406	0.12905709054593875	96128
tet(M-W-O-S)	NA	NA	NA	NA	Streptococcus pyogenes	0	6008	6008	0.18897835933568194	31792
tet(M)	tet(M-W-O-S)	tet(M)	TETRACYCLINE	TETRACYCLINE	Streptococcus pyogenes	5551	0	5551	0.17460367388022144	31792
erm-23S_rRNA	NA	NA	NA	NA	Streptococcus agalactiae	0	5296	5296	0.2307926962130126	22947
catA	NA	NA	NA	NA	Streptococcus pneumoniae	0	4790	4790	0.04982939414114514	96128
catA9	catA	catA	PHENICOL	CHLORAMPHENICOL	Streptococcus pneumoniae	4633	55	4688	0.04876830892143808	96128
erm-23S_rRNA	NA	NA	NA	NA	Streptococcus pyogenes	0	4117	4117	0.12949798691494716	31792
