node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
AMR	NA	NA	NA	NA	Vibrio cholerae	0	31698	31698	2.986433013001696	10614
tet	NA	NA	NA	NA	Vibrio parahaemolyticus	0	14293	14293	1.999020979020979	7150
almE	AMR	almE	COLISTIN	COLISTIN	Vibrio cholerae	10566	0	10566	0.9954776710005653	10614
almF	AMR	almF	COLISTIN	COLISTIN	Vibrio cholerae	10562	0	10562	0.9951008102506124	10614
almG	AMR	almG	COLISTIN	COLISTIN	Vibrio cholerae	10562	0	10562	0.9951008102506124	10614
varG	bla-B	varG	BETA-LACTAM	CARBAPENEM	Vibrio cholerae	8992	0	8992	0.8471829658941021	10614
bla-B	NA	NA	NA	NA	Vibrio cholerae	0	8992	8992	0.8471829658941021	10614
catB	NA	NA	NA	NA	Vibrio cholerae	0	8282	8282	0.7802901827774638	10614
catB9	catB	catB9	PHENICOL	CHLORAMPHENICOL	Vibrio cholerae	8255	0	8255	0.7777463727152817	10614
tet(34)	tet	tet(34)	TETRACYCLINE	TETRACYCLINE	Vibrio parahaemolyticus	7148	0	7148	0.9997202797202798	7150
blaCARB	blaCARB_gen	blaCARB	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	560	6587	7147	0.9995804195804195	7150
tet(35)	tet	tet(35)	TETRACYCLINE	TETRACYCLINE	Vibrio parahaemolyticus	7145	0	7145	0.9993006993006993	7150
cat	NA	NA	NA	NA	Vibrio parahaemolyticus	0	7145	7145	0.9993006993006993	7150
catC	cat	catC	PHENICOL	CHLORAMPHENICOL	Vibrio parahaemolyticus	7144	0	7144	0.9991608391608392	7150
sul	NA	NA	NA	NA	Vibrio cholerae	0	6319	6319	0.5953457697380817	10614
dfrA	NA	NA	NA	NA	Vibrio cholerae	0	6108	6108	0.5754663651780667	10614
gyrA	NA	gyrA_S83I	QUINOLONE	QUINOLONE	Vibrio cholerae	5881	0	5881	0.55407951761824	10614
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Vibrio cholerae	5536	0	5536	0.5215752779348031	10614
dfrA1	dfrA	dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	Vibrio cholerae	5490	0	5490	0.5172413793103449	10614
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Vibrio cholerae	5443	0	5443	0.5128132654983983	10614
aph(6)-I	NA	NA	NA	NA	Vibrio cholerae	0	5443	5443	0.5128132654983983	10614
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Vibrio cholerae	5442	0	5442	0.5127190503109101	10614
aph(3'')	NA	NA	NA	NA	Vibrio cholerae	0	5442	5442	0.5127190503109101	10614
parC	NA	parC_S85L	QUINOLONE	QUINOLONE	Vibrio cholerae	4930	0	4930	0.4644808743169399	10614
floR	cmlA_floR	floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Vibrio cholerae	3855	32	3887	0.3662144337667232	10614
cmlA_floR	NA	NA	NA	NA	Vibrio cholerae	0	3856	3856	0.36329376295458826	10614
blaCARB-18	blaCARB	blaCARB-18	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	2339	0	2339	0.32713286713286716	7150
blaCARB-22	blaCARB	blaCARB-22	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	2171	0	2171	0.30363636363636365	7150
tet_A_B_C_D	NA	NA	NA	NA	Vibrio cholerae	0	2002	2002	0.18861880535142264	10614
tet(59)	tet_A_B_C_D	tet(59)	TETRACYCLINE	TETRACYCLINE	Vibrio cholerae	1487	0	1487	0.14009798379498775	10614
qnrVC	qnr	qnrVC	QUINOLONE	QUINOLONE	Vibrio cholerae	291	568	859	0.08093084605238364	10614
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Vibrio cholerae	783	0	783	0.07377049180327869	10614
tet	NA	NA	NA	NA	Vibrio alginolyticus	0	763	763	1.9921671018276763	383
tet(34)	tet	tet(34)	TETRACYCLINE	TETRACYCLINE	Vibrio vulnificus	749	0	749	0.981651376146789	763
tet	NA	NA	NA	NA	Vibrio vulnificus	0	749	749	0.981651376146789	763
blaCARB-20	blaCARB	blaCARB-20	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	666	0	666	0.09314685314685314	7150
ant(3'')-Ia	NA	NA	NA	NA	Vibrio cholerae	0	650	650	0.061239871867345017	10614
blaCARB_gen	NA	NA	NA	NA	Vibrio parahaemolyticus	0	560	560	0.07832167832167833	7150
blaCARB-30	blaCARB	blaCARB-30	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	550	0	550	0.07692307692307693	7150
blaPSE	blaCARB_gen	blaPSE	BETA-LACTAM	BETA-LACTAM	Vibrio cholerae	147	340	487	0.04588279630676465	10614
blaCARB-21	blaCARB	blaCARB-21	BETA-LACTAM	BETA-LACTAM	Vibrio parahaemolyticus	466	0	466	0.06517482517482517	7150
dfrA31	dfrA	dfrA31	TRIMETHOPRIM	TRIMETHOPRIM	Vibrio cholerae	398	0	398	0.0374976446203128	10614
mph_gen	NA	NA	NA	NA	Vibrio cholerae	0	394	394	0.0371207838703599	10614
mph(A)	mph_gen	mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	Vibrio cholerae	393	0	393	0.03702656868287168	10614
catC	cat	catC	PHENICOL	CHLORAMPHENICOL	Vibrio alginolyticus	382	0	382	0.9973890339425587	383
blaCARB	blaCARB_gen	blaCARB	BETA-LACTAM	BETA-LACTAM	Vibrio alginolyticus	62	320	382	0.9973890339425587	383
tet(34)	tet	tet(34)	TETRACYCLINE	TETRACYCLINE	Vibrio alginolyticus	382	0	382	0.9973890339425587	383
cat	NA	NA	NA	NA	Vibrio alginolyticus	0	382	382	0.9973890339425587	383
tet(35)	tet	tet(35)	TETRACYCLINE	TETRACYCLINE	Vibrio alginolyticus	381	0	381	0.9947780678851175	383
aph(3')-IIa	aph(3')-II	aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	Vibrio cholerae	372	0	372	0.035048049745618995	10614
aph(3')-II	NA	NA	NA	NA	Vibrio cholerae	0	372	372	0.035048049745618995	10614
dfr_gen	NA	NA	NA	NA	Vibrio cholerae	0	345	345	0.03250423968343697	10614
aadA2	ant(3'')-Ia	aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	Vibrio cholerae	330	0	330	0.031091011871113624	10614
dfrA18	dfr_gen	dfrA18	TRIMETHOPRIM	TRIMETHOPRIM	Vibrio cholerae	306	0	306	0.02882984737139627	10614
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Vibrio cholerae	300	0	300	0.02826455624646693	10614
qnr	NA	NA	NA	NA	Vibrio cholerae	0	291	291	0.027416619559072923	10614
blaCARB-42	blaCARB	blaCARB-42	BETA-LACTAM	BETA-LACTAM	Vibrio alginolyticus	286	0	286	0.7467362924281984	383
mph_3	NA	NA	NA	NA	Vibrio cholerae	0	283	283	0.026662898059167137	10614
msr(E)	msr	msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	Vibrio cholerae	282	0	282	0.026568682871678916	10614
mph(E)	mph_3	mph(E)	MACROLIDE	ERYTHROMYCIN	Vibrio cholerae	282	0	282	0.026568682871678916	10614
msr	NA	NA	NA	NA	Vibrio cholerae	0	282	282	0.026568682871678916	10614
qnrVC1	qnrVC	qnrVC1	QUINOLONE	QUINOLONE	Vibrio cholerae	275	0	275	0.02590917655926135	10614
