node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
bla-A	NA	NA	NA	NA	Yersinia enterocolitica	0	1866	1866	1.0005361930294907	1865
blaA_Yent	bla-A	blaA	BETA-LACTAM	BETA-LACTAM	Yersinia enterocolitica	1863	0	1863	0.9989276139410188	1865
vat(F)	vat	vat(F)	STREPTOGRAMIN	STREPTOGRAMIN	Yersinia enterocolitica	1828	0	1828	0.9801608579088472	1865
vat	NA	NA	NA	NA	Yersinia enterocolitica	0	1828	1828	0.9801608579088472	1865
sul	NA	NA	NA	NA	Yersinia enterocolitica	0	135	135	0.07238605898123325	1865
ant(3'')-Ia	NA	NA	NA	NA	Yersinia enterocolitica	0	102	102	0.054691689008042894	1865
blaYRC	CMY2-MIR-ACT-EC	blaYRC	BETA-LACTAM	CEPHALOSPORIN	Yersinia ruckeri	90	0	90	1	90
CMY2-MIR-ACT-EC	NA	NA	NA	NA	Yersinia ruckeri	0	90	90	1	90
sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	Yersinia enterocolitica	85	0	85	0.045576407506702415	1865
tet_A_B_C_D	NA	NA	NA	NA	Yersinia enterocolitica	0	81	81	0.043431635388739946	1865
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Yersinia enterocolitica	71	0	71	0.03806970509383378	1865
catA	NA	NA	NA	NA	Yersinia enterocolitica	0	71	71	0.03806970509383378	1865
aadA12	ant(3'')-Ia	aadA12	AMINOGLYCOSIDE	STREPTOMYCIN	Yersinia enterocolitica	68	0	68	0.03646112600536193	1865
sul2	sul	sul2	SULFONAMIDE	SULFONAMIDE	Yersinia enterocolitica	46	0	46	0.024664879356568366	1865
tet(A)	tet_A_B_C_D	tet(A)	TETRACYCLINE	TETRACYCLINE	Yersinia enterocolitica	46	0	46	0.024664879356568366	1865
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Yersinia pestis	19	15	34	0.017180394138453764	1979
blaA_Yent	bla-A	blaA	BETA-LACTAM	BETA-LACTAM	Yersinia proxima	33	0	33	1	33
bla-A	NA	NA	NA	NA	Yersinia proxima	0	33	33	1	33
aph(6)-Id	aph(6)-I	aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	Yersinia enterocolitica	32	0	32	0.017158176943699734	1865
aph(3'')-Ib	aph(3'')	aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	Yersinia enterocolitica	32	0	32	0.017158176943699734	1865
aph(3'')	NA	NA	NA	NA	Yersinia enterocolitica	0	32	32	0.017158176943699734	1865
aph(6)-I	NA	NA	NA	NA	Yersinia enterocolitica	0	32	32	0.017158176943699734	1865
aph(3')-Ia	aph(3')-I	aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	Yersinia pestis	25	0	25	0.012632642748863061	1979
aph(3')-I	NA	NA	NA	NA	Yersinia pestis	0	25	25	0.012632642748863061	1979
aadA1	ant(3'')-Ia	aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	Yersinia enterocolitica	24	0	24	0.012868632707774798	1865
