Achromobacter 1606 440
Acinetobacter baumannii 244302 14460
Aeromonas 9954 1837
Bordetella 715 519
Brucella 12515 2514
Burkholderia cepacia 1061 238
Burkholderia mallei 20340 5119
Burkholderia pseudomallei 0 0
Campylobacter 314666 107848
Chryseobacterium 107 74
Clostridioides difficile 373507 26347
Corynebacterium diphtheriae 2373 822
Ecoli 9179705 314978
Edwardsiella 97 26
Enterobacter 334367 9545
Enterococcus 551141 38920
Haemophilus influenzae 16867 10990
Klebsiella_pneumoniae 2033309 57070
Klebsiella_quasipneumoniae 87992 3034
Klebsiella_variicola 48994 2423
Legionella 1986 1803
Listeria 236353 61136
Mycobacterium tuberculosis 402953 134246
Mycoplasma 280 173
Neisseria gonorrhoeae 667163 43643
Neisseria meningitidis 198052 34561
Pasteurella 751 122
Proteus mirabilis 11032 1125
Pseudomonas_aeruginosa 389574 25057
Salmonella 6133567 534667
Serratia 44719 2534
Shewanella 723 164
Staphylococcus 3116441 119669
Stenotrophomonas 23599 1998
Streptococcus 328469 129068
Treponema 9 8
Ureaplasma 0 0
Vibrio 146485 19721
Yersinia 65021 4370
