ERS	Isolate	ERR	BioSample	BioProject	Sequecning Status	Year	CTZ	CTX	AMP	AMX	AMC	TZP	CXM	CET	GEN	TBM	TMP	CIP
ERS356740	11658_4#1	ERR434643	SAMEA2204229	PRJEB4681	Previously sequenced	2006	S	S	S		S	S	R	I	S	S	S	S
ERS356741	11657_5#1	ERR434259	SAMEA2204230	PRJEB4681	Previously sequenced	2006	S	S	R		R	S	S	I	S	S	R	R
ERS356742	11658_4#2	ERR434644	SAMEA2204231	PRJEB4681	Previously sequenced	2006	S	S	S		S	S	S	S	S	S	S	S
ERS356743	11658_5#1	ERR434739	SAMEA2204232	PRJEB4681	Previously sequenced	2006	S	S	R		S	S	S	I	S	S	R	R
ERS356744	11658_5#2	ERR434740	SAMEA2204233	PRJEB4681	Previously sequenced	2007	I	R	R		R	S	R	R	S	R	R	R
ERS356745	11658_6#1	ERR434835	SAMEA2204234	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356746	11658_5#3	ERR434741	SAMEA2204235	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	S	S	R	R
ERS356747	11658_4#3	ERR434645	SAMEA2204236	PRJEB4681	Previously sequenced	2007	S	S	R		R	R	S	I	S	S	R	S
ERS356748	11658_5#4	ERR434742	SAMEA2204237	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	R	S
ERS356749	11657_5#2	ERR434260	SAMEA2204238	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	S	S	S	R	S
ERS356750	11658_6#2	ERR434836	SAMEA2204239	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356751	11658_6#3	ERR434837	SAMEA2204240	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	S	S	S	S	S
ERS356752	11658_5#5	ERR434743	SAMEA2204241	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	S	R	R
ERS356753	11791_7#1	ERR439666	SAMEA2204242	PRJEB4681	Previously sequenced	2007	S	S	R		R	R	S	I	S	S	S	S
ERS356754	11791_7#2	ERR439667	SAMEA2204243	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	S	I	S	R	R	R
ERS356755	11657_5#3	ERR434261	SAMEA2204244	PRJEB4681	Previously sequenced	2007	S	S	R		R	S	R	I	S	S	R	S
ERS356756	11658_6#4	ERR434838	SAMEA2204245	PRJEB4681	Previously sequenced	2007	S	S	S		S	S	S	I	S	S	S	S
ERS356757	11791_6#1	ERR439629	SAMEA2204246	PRJEB4681	Previously sequenced	2007	S	S	R		S	S	S	I	R	I	S	S
