Species	freq	node_id	parent_node_id	Gene symbol	Class	Subclass	n.node	n.node_child	sum	denominator
Achromobacter xylosoxidans	0.9894736842105264	blaOXA-114_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	52	230	282	285
Achromobacter ruhlandii	0.981132075471698	blaAXC	bla-A	blaAXC	BETA-LACTAM	CARBAPENEM	49	3	52	53
Achromobacter ruhlandii	0.9245283018867924	bla-A	NA	NA	NA	NA	0	49	49	53
Achromobacter ruhlandii	0.8867924528301887	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	47	0	47	53
Achromobacter ruhlandii	0.8867924528301887	bla-D	NA	NA	NA	NA	0	47	47	53
Achromobacter insuavis_A	1	blaOXA-PR	bla-D	blaOXA	BETA-LACTAM	BETA-LACTAM	20	1	21	21
Achromobacter insuavis_A	0.9523809523809524	bla-D	NA	NA	NA	NA	0	20	20	21
Achromobacter dolens	1	blaOXA-364_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	6	7	13	13
Achromobacter insuavis	1	blaOXA-364_fam	blaOXA-PR	blaOXA	BETA-LACTAM	BETA-LACTAM	2	11	13	13
Achromobacter mucicolens	1	blaAMZ	bla-C	blaAMZ	BETA-LACTAM	CEPHALOSPORIN	13	0	13	13
Achromobacter mucicolens	1	bla-C	NA	NA	NA	NA	0	13	13	13
Achromobacter insuavis	0.8461538461538461	blaOXA-455	blaOXA-364_fam	blaOXA-455	BETA-LACTAM	BETA-LACTAM	11	0	11	13
Achromobacter xylosoxidans;Agrobacterium tumefaciens	1	blaOXA-114l	blaOXA-114_fam	blaOXA-114l	BETA-LACTAM	BETA-LACTAM	1	0	1	1
Achromobacter xylosoxidans;Agrobacterium tumefaciens	1	blaOXA-114_fam	NA	NA	NA	NA	0	1	1	1
Acinetobacter baumannii	1.936537403740374	MFS_efflux	NA	NA	NA	NA	0	28165	28165	14544
Acinetobacter baumannii	0.9994499449944996	blaADC	bla-C	blaADC	BETA-LACTAM	CEPHALOSPORIN	1731	12805	14536	14544
Acinetobacter baumannii	0.99264301430143	blaOXA-51_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	547	13890	14437	14544
Acinetobacter baumannii	0.9916116611661168	amvA	MFS_efflux	amvA	EFFLUX	EFFLUX	14422	0	14422	14544
Acinetobacter baumannii	0.983429592959296	ant(3'')-IIa	ant(3'')-II	ant(3'')-IIa	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	14303	0	14303	14544
Acinetobacter baumannii	0.983429592959296	ant(3'')-II	NA	NA	NA	NA	0	14303	14303	14544
Acinetobacter baumannii	0.9417629262926293	abaF	MFS_efflux	abaF	FOSFOMYCIN	FOSFOMYCIN	13697	0	13697	14544
Acinetobacter baumannii	0.9097222222222222	sul	NA	NA	NA	NA	0	13231	13231	14544
Acinetobacter baumannii	0.8371149614961496	gyrA	NA	gyrA_S81L	QUINOLONE	QUINOLONE	12175	0	12175	14544
Acinetobacter baumannii_B	1	blaOXA-229_fam	blaOXA	blaOXA	BETA-LACTAM	BETA-LACTAM	4	0	4	4
Acinetobacter baumannii_B	1	blaOXA	NA	NA	NA	NA	0	4	4	4
Acinetobacter baumannii;Acinetobacter pittii	2	MFS_efflux	NA	NA	NA	NA	0	2	2	1
Acinetobacter baumannii;Acinetobacter pittii	1	abaF	MFS_efflux	abaF	FOSFOMYCIN	FOSFOMYCIN	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	amvA	MFS_efflux	amvA	EFFLUX	EFFLUX	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	ant(3'')-IIa	ant(3'')-II	ant(3'')-IIa	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	catB3	catB	catB3	PHENICOL	CHLORAMPHENICOL	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	msr(E)	msr	msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	ant(2'')-Ia	ant(2'')	ant(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	dfrA19	dfr_gen	dfrA19	TRIMETHOPRIM	TRIMETHOPRIM	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	sul1	sul	sul1	SULFONAMIDE	SULFONAMIDE	1	0	1	1
Acinetobacter baumannii;Acinetobacter pittii	1	mph(E)	mph_3	mph(E)	MACROLIDE	ERYTHROMYCIN	1	0	1	1
