Hierarchy node	Class	Subclass	Species	complex	Element type	n	nspp	freq
LHR_hdeD	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	12	53	0.22641509433962265
LHR_hdeD	NA	NA	Enterobacter asburiae_B	NA	STRESS	102	228	0.4473684210526316
LHR_hdeD	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
LHR_hdeD	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	10	457	0.02188183807439825
LHR_hdeD	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_hdeD	NA	NA	Enterobacter cloacae_M	NA	STRESS	238	407	0.5847665847665847
LHR_hdeD	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_hdeD	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_hdeD	NA	NA	Enterobacter hormaechei_A	NA	STRESS	611	6055	0.10090834021469859
LHR_hdeD	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	269	759	0.3544137022397892
LHR_hdeD	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	37	223	0.16591928251121077
LHR_hdeD	NA	NA	Enterobacter roggenkampii	NA	STRESS	225	509	0.44204322200392926
LHR_hdeD	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_hdeD	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_hdeD	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_hsp20A	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	12	53	0.22641509433962265
LHR_hsp20A	NA	NA	Enterobacter asburiae_B	NA	STRESS	114	228	0.5
LHR_hsp20A	NA	NA	Enterobacter asburiae_D	NA	STRESS	4	15	0.26666666666666666
LHR_hsp20A	NA	NA	Enterobacter bugandensis	NA	STRESS	1	230	0.004347826086956522
LHR_hsp20A	NA	NA	Enterobacter chengduensis	NA	STRESS	14	76	0.18421052631578946
LHR_hsp20A	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	48	457	0.1050328227571116
LHR_hsp20A	NA	NA	Enterobacter cloacae_I	NA	STRESS	20	39	0.5128205128205128
LHR_hsp20A	NA	NA	Enterobacter cloacae_M	NA	STRESS	253	407	0.6216216216216216
LHR_hsp20A	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_hsp20A	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_hsp20A	NA	NA	Enterobacter hormaechei_A	NA	STRESS	627	6055	0.10355078447563996
LHR_hsp20A	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	368	759	0.48484848484848486
LHR_hsp20A	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	38	223	0.17040358744394618
LHR_hsp20A	NA	NA	Enterobacter roggenkampii	NA	STRESS	280	509	0.550098231827112
LHR_hsp20A	NA	NA	Enterobacter sichuanensis	NA	STRESS	16	61	0.26229508196721313
LHR_hsp20A	NA	NA	Enterobacter vonholyi	NA	STRESS	5	18	0.2777777777777778
LHR_hsp20A	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_hsp20B	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	14	53	0.2641509433962264
LHR_hsp20B	NA	NA	Enterobacter asburiae_B	NA	STRESS	102	228	0.4473684210526316
LHR_hsp20B	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
LHR_hsp20B	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	8	457	0.0175054704595186
LHR_hsp20B	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_hsp20B	NA	NA	Enterobacter cloacae_M	NA	STRESS	238	407	0.5847665847665847
LHR_hsp20B	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_hsp20B	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_hsp20B	NA	NA	Enterobacter hormaechei_A	NA	STRESS	613	6055	0.10123864574731627
LHR_hsp20B	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	267	759	0.35177865612648224
LHR_hsp20B	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	37	223	0.16591928251121077
LHR_hsp20B	NA	NA	Enterobacter roggenkampii	NA	STRESS	225	509	0.44204322200392926
LHR_hsp20B	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_hsp20B	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_hsp20B	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_kefB	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	12	53	0.22641509433962265
LHR_kefB	NA	NA	Enterobacter asburiae_B	NA	STRESS	100	228	0.43859649122807015
LHR_kefB	NA	NA	Enterobacter chengduensis	NA	STRESS	4	76	0.05263157894736842
LHR_kefB	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	9	457	0.019693654266958426
LHR_kefB	NA	NA	Enterobacter cloacae_I	NA	STRESS	18	39	0.46153846153846156
LHR_kefB	NA	NA	Enterobacter cloacae_M	NA	STRESS	235	407	0.5773955773955773
LHR_kefB	NA	NA	Enterobacter dykesii	NA	STRESS	1	7	0.14285714285714285
LHR_kefB	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	24	127	0.1889763779527559
LHR_kefB	NA	NA	Enterobacter hormaechei_A	NA	STRESS	613	6055	0.10123864574731627
LHR_kefB	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	261	759	0.3438735177865613
LHR_kefB	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	38	223	0.17040358744394618
LHR_kefB	NA	NA	Enterobacter roggenkampii	NA	STRESS	223	509	0.4381139489194499
LHR_kefB	NA	NA	Enterobacter sichuanensis	NA	STRESS	14	61	0.22950819672131148
LHR_kefB	NA	NA	Enterobacter vonholyi	NA	STRESS	1	18	0.05555555555555555
LHR_kefB	NA	NA	Enterobacter_D kobei_A	NA	STRESS	4	4	1
LHR_psiE	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	12	53	0.22641509433962265
LHR_psiE	NA	NA	Enterobacter asburiae_B	NA	STRESS	99	228	0.4342105263157895
LHR_psiE	NA	NA	Enterobacter chengduensis	NA	STRESS	5	76	0.06578947368421052
