parent_node_id	Class	Subclass	Species	complex	Element type	n	nspp	freq
AMR	RIFAMYCIN	RIFAMYCIN	Enterobacter asburiae_B	NA	AMR	1	228	0.0043859649122807015
AMR	RIFAMYCIN	RIFAMYCIN	Enterobacter cloacae_M	NA	AMR	1	407	0.002457002457002457
AMR	RIFAMYCIN	RIFAMYCIN	Enterobacter hormaechei_A	NA	AMR	10	6055	0.0016515276630883566
AMR	RIFAMYCIN	RIFAMYCIN	Enterobacter sichuanensis	NA	AMR	4	61	0.06557377049180328
CDF_efflux	NA	NA	Enterobacter asburiae	Enterobacter cloacae complex	STRESS	53	53	1
CDF_efflux	NA	NA	Enterobacter asburiae_B	NA	STRESS	228	228	1
CDF_efflux	NA	NA	Enterobacter asburiae_D	NA	STRESS	15	15	1
CDF_efflux	NA	NA	Enterobacter asburiae_E	NA	STRESS	4	4	1
CDF_efflux	NA	NA	Enterobacter bugandensis	NA	STRESS	230	230	1
CDF_efflux	NA	NA	Enterobacter cancerogenus	NA	STRESS	17	17	1
CDF_efflux	NA	NA	Enterobacter chengduensis	NA	STRESS	76	76	1
CDF_efflux	NA	NA	Enterobacter chuandaensis	NA	STRESS	6	6	1
CDF_efflux	NA	NA	Enterobacter cloacae	Enterobacter cloacae complex	STRESS	455	457	0.9956236323851203
CDF_efflux	NA	NA	Enterobacter cloacae_I	NA	STRESS	39	39	1
CDF_efflux	NA	NA	Enterobacter cloacae_L	NA	STRESS	18	18	1
CDF_efflux	NA	NA	Enterobacter cloacae_M	NA	STRESS	407	407	1
CDF_efflux	NA	NA	Enterobacter cloacae_N	NA	STRESS	6	6	1
CDF_efflux	NA	NA	Enterobacter cloacae_O	NA	STRESS	4	4	1
CDF_efflux	NA	NA	Enterobacter cloacae_P	NA	STRESS	9	9	1
CDF_efflux	NA	NA	Enterobacter cloacae_Q	NA	STRESS	1	1	1
CDF_efflux	NA	NA	Enterobacter dykesii	NA	STRESS	7	7	1
CDF_efflux	NA	NA	Enterobacter hormaechei	Enterobacter cloacae complex	STRESS	127	127	1
CDF_efflux	NA	NA	Enterobacter hormaechei_A	NA	STRESS	6055	6055	1
CDF_efflux	NA	NA	Enterobacter huaxiensis	NA	STRESS	2	2	1
CDF_efflux	NA	NA	Enterobacter kobei	Enterobacter cloacae complex	STRESS	759	759	1
CDF_efflux	NA	NA	Enterobacter ludwigii	Enterobacter cloacae complex	STRESS	223	223	1
CDF_efflux	NA	NA	Enterobacter mori	NA	STRESS	44	44	1
CDF_efflux	NA	NA	Enterobacter nimipressuralis_A	NA	STRESS	1	1	1
CDF_efflux	NA	NA	Enterobacter oligotrophicus	NA	STRESS	3	3	1
