Gene symbol	Class	Subclass	Species	Element type	n	nspp	freq
aac(3)-IIIc	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	1	407	0.002457002457002457
aac(3)-IIb	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae	AMR	6	53	0.11320754716981132
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_D	AMR	1	15	0.06666666666666667
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	AMR	8	230	0.034782608695652174
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	4	76	0.05263157894736842
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chuandaensis	AMR	1	6	0.16666666666666666
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	23	457	0.05032822757111598
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	53	407	0.13022113022113022
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	15	127	0.11811023622047244
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	842	6055	0.13905862923203963
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	21	759	0.02766798418972332
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	AMR	2	223	0.008968609865470852
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	AMR	13	509	0.025540275049115914
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sichuanensis	AMR	7	61	0.11475409836065574
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sp013927005	AMR	1	11	0.09090909090909091
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	21	228	0.09210526315789473
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_E	AMR	3	4	0.75
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	AMR	20	230	0.08695652173913043
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	34	76	0.4473684210526316
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chuandaensis	AMR	1	6	0.16666666666666666
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	81	457	0.1772428884026258
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	AMR	12	39	0.3076923076923077
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	100	407	0.2457002457002457
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_Q	AMR	1	1	1
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	19	127	0.14960629921259844
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	1080	6055	0.17836498761354252
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	151	759	0.19894598155467721
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	AMR	1	223	0.004484304932735426
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter mori	AMR	3	44	0.06818181818181818
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter quasihormaechei	AMR	5	23	0.21739130434782608
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	AMR	22	509	0.043222003929273084
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sichuanensis	AMR	4	61	0.06557377049180328
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter soli	AMR	2	23	0.08695652173913043
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter sp013927005	AMR	2	11	0.18181818181818182
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter_A timonensis	AMR	2	3	0.6666666666666666
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	6	228	0.02631578947368421
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter bugandensis	AMR	1	230	0.004347826086956522
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	2	76	0.02631578947368421
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	8	457	0.0175054704595186
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_L	AMR	1	18	0.05555555555555555
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	59	407	0.14496314496314497
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	15	127	0.11811023622047244
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	361	6055	0.05962014863748968
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	73	759	0.09617918313570488
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter ludwigii	AMR	2	223	0.008968609865470852
aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter roggenkampii	AMR	6	509	0.011787819253438114
aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Enterobacter hormaechei_A	AMR	15	6055	0.002477291494632535
aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	Enterobacter kobei	AMR	1	759	0.0013175230566534915
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter chengduensis	AMR	1	76	0.013157894736842105
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_M	AMR	3	407	0.007371007371007371
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei	AMR	5	127	0.03937007874015748
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	10	6055	0.0016515276630883566
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	2	759	0.002635046113306983
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter asburiae_B	AMR	6	228	0.02631578947368421
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae	AMR	4	457	0.0087527352297593
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter cloacae_I	AMR	1	39	0.02564102564102564
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	50	6055	0.008257638315441783
aac(3)-Ib	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter kobei	AMR	1	759	0.0013175230566534915
aac(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	Enterobacter hormaechei_A	AMR	11	6055	0.0018166804293971925
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae_I	AMR	1	39	0.02564102564102564
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae_M	AMR	1	407	0.002457002457002457
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	AMR	6	6055	9.90916597853014e-4
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter kobei	AMR	2	759	0.002635046113306983
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter ludwigii	AMR	3	223	0.013452914798206279
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter soli	AMR	1	23	0.043478260869565216
aac(6')-29	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	AMR	1	6055	1.6515276630883568e-4
aac(6')-30	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	AMR	1	6055	1.6515276630883568e-4
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter asburiae_B	AMR	1	228	0.0043859649122807015
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter chengduensis	AMR	1	76	0.013157894736842105
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae	AMR	2	457	0.00437636761487965
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae_M	AMR	1	407	0.002457002457002457
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter kobei	AMR	1	759	0.0013175230566534915
aac(6')-31	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter roggenkampii	AMR	2	509	0.003929273084479371
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter cloacae	AMR	1	457	0.002188183807439825
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter hormaechei_A	AMR	2	6055	3.3030553261767135e-4
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Enterobacter kobei	AMR	3	759	0.003952569169960474
