Sample	BioSample	BioProject	MLST2	Amikacin call	Amikacin MIC	Gentamicin call	Gentamicin MIC	Tobramycin call	Tobramycin MIC	Ampicillin call	Ampicillin MIC	Amoxicillin-clavulanate call	Amoxicillin-clavulanate MIC	Piperacillin-tazobactam call	Piperacillin-tazobactam MIC	Cafazolin call	Cafazolin MIC	Cefepime call	Cefepime MIC	Ceftazidime call	Ceftazidime MIC	Ceftriaxone call	Ceftriaxone MIC	Ertapenem call	Ertapenem MIC	Imipenem call	Imipenem MIC	Meropenem call	Meropenem MIC	Aztreonam call	Aztreonam MIC	Ciprofloxacin call	Ciprofloxacin MIC	Levofloxacin call	Levofloxacin MIC	Trimethoprim-sulfamethoxazole call	Trimethoprim-sulfamethoxazole MIC	Tetracycline call	Tetracycline MIC
766525	SAMN26308848	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	R	>64/4	R	>16	R	>16	R	>16	R	>32	I	1	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747823	SAMN26308815	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	I	32/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
766509	SAMN26308844	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	R	>16/8	R	>64/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
792831	SAMN26305135	PRJNA809394	410	S	²8	R	>8	R	>8	R	>16	I	16/8	I	64/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
705029	SAMN26309368	PRJNA809394	617	S	²8	R	>8	I	8	R	>16	R	>16/8	R	>64/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
705061	SAMN26309369	PRJNA809394	617	S	²8	R	>8	I	8	R	>16	I	16/8	I	64/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
780251	SAMN26304544	PRJNA809394	44	S	²8	S	²2	R	>8	R	>16	I	16/8	S	8/4	R	>16	I	8	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
792873	SAMN26304355	PRJNA809394	44	S	²8	S	²2	R	>8	R	>16	I	16/8	S	16/4	R	>16	R	16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
705125	SAMN26304575	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	16/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747831	SAMN26308816	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	16/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747857	SAMN26308822	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
747873	SAMN26308821	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	I	16/8	S	²2/4	R	>16	R	16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
780201	SAMN26304556	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
792857	SAMN26308777	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	R	>16/8	I	32/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	0.5	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	S	²2
836906	SAMN26308781	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	R	>16/8	I	64/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	0.5	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	S	²2
836956	SAMN26304557	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	16/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
837048	SAMN26304621	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	16/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
756313	SAMN26305205	PRJNA809394	648	S	²8	S	²2	S	²2	R	>16	R	>16/8	I	64/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
704911	SAMN26309418	PRJNA809394	1193	S	²8	R	>8	S	4	R	>16	S	8/4	I	32/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
704929	SAMN26309218	PRJNA809394	1193	S	²8	R	>8	I	8	R	>16	I	16/8	S	8/4	R	>16	I	4	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
698054	SAMN26309315	PRJNA809394	6332	S	²8	S	²2	I	8	R	>16	I	16/8	S	8/4	R	>16	I	8	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	R	>2/38	R	>8
807698	SAMN26305210	PRJNA809394	Novel	S	²8	R	>8	I	8	R	>16	I	16/8	S	²2/4	R	>16	R	>16	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
807794	SAMN26305211	PRJNA809394	Novel	S	²8	R	>8	I	8	R	>16	I	16/8	S	16/4	R	>16	R	>16	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	R	>2/38	R	>8
705037	SAMN26309348	PRJNA809394	38	S	²8	R	>8	I	8	R	>16	I	16/8	S	8/4	R	>16	R	16	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	S	²2
836948	SAMN32680975	PRJNA809394	38	S	²8	R	>8	I	8	R	>16	R	>16/8	S	8/4	R	>16	S	²1	R	16	R	16	S	²0.25	S	²0.25	S	²0.25	I	8	S	1	S	²1	R	>2/38	R	>8
836682	SAMN26309419	PRJNA809394	68	S	²8	S	²2	S	²2	R	>16	R	>16/8	R	>64/4	R	>16	I	8	R	>16	R	>32	R	>1	S	1	S	²0.25	R	>16	S	²0.5	S	²1	S	²0.5/9.5	R	>8
704881	SAMN26308454	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	R	>16/8	I	32/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	S	²2
705095	SAMN26304537	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	S	²2
705133	SAMN26308801	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	I	8	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	S	²0.5/9.5	R	>8
730365	SAMN26304497	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	R	>8
747777	SAMN26304538	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	S	²2
756339	SAMN26308828	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	8/4	R	>16	S	2	S	²2	R	32	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
766411	SAMN26308839	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	R	>8
766437	SAMN26308843	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	S	²0.5/9.5	R	>8
771817	SAMN26305028	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	S	²2
780349	SAMN26308845	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	S	8/4	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
824174	SAMN26308846	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	S	8/4	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
824414	SAMN26308747	PRJNA809394	131	S	²8	R	>8	I	8	R	>16	S	8/4	S	²2/4	R	>16	R	>16	R	>16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
824430	SAMN26304908	PRJNA809394	131	S	²8	S	²2	R	>8	R	>16	I	16/8	S	16/4	R	>16	S	2	S	²2	R	>32	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
836800	SAMN26304562	PRJNA809394	131	S	²8	R	>8	R	>8	R	>16	I	16/8	S	8/4	R	>16	R	>16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	S	²0.5/9.5	R	>8
705053	SAMN26309316	PRJNA809394	224	S	²8	R	>8	I	8	R	>16	I	16/8	I	64/4	R	>16	S	²1	S	²2	S	²1	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
697874	SAMN26309208	PRJNA809394	1193	S	²8	R	>8	I	8	R	>16	S	8/4	S	8/4	R	>16	I	4	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	R	16	R	>2	R	>4	R	>2/38	R	>8
699058	SAMN26309214	PRJNA809394	1193	S	²8	R	>8	I	8	R	>16	I	16/8	S	8/4	R	>16	I	4	S	4	R	>32	S	²0.25	S	²0.25	S	²0.25	S	²2	R	>2	R	>4	R	>2/38	R	>8
730453	SAMN26309222	PRJNA809394	1193	S	²8	R	>8	I	8	R	>16	S	8/4	S	16/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	I	8	R	>2	R	>4	R	>2/38	R	>8
807500	SAMN26309250	PRJNA809394	1193	S	²8	R	>8	I	8	R	>16	S	8/4	S	²2/4	R	>16	R	>16	I	8	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
756401	SAMN26308414	PRJNA809394	7401	S	²8	S	²2	R	>8	R	>16	S	8/4	S	²2/4	R	>16	R	16	R	16	R	>32	S	²0.25	S	²0.25	S	²0.25	R	>16	R	>2	R	>4	R	>2/38	R	>8
