Gene symbol	Class	Subclass	Element type	Hierarchy node	n	freq
mexA	EFFLUX	EFFLUX	AMR	mexA	24843	0.9995574153053834
fosA	FOSFOMYCIN	FOSFOMYCIN	AMR	fosA_PA1129	24690	0.9934014645529895
aph(3')-IIb	AMINOGLYCOSIDE	KANAMYCIN	AMR	aph(3')-IIb	24647	0.9916713607467611
mexE	EFFLUX	EFFLUX	AMR	mexE	24638	0.9913092459966203
mexX	EFFLUX	EFFLUX	AMR	mexX	24470	0.9845497706606583
catB7	PHENICOL	CHLORAMPHENICOL	AMR	catB7	24153	0.9717952844612537
crpP	FLUOROQUINOLONE	FLUOROQUINOLONE	AMR	crpP	15686	0.6311257745232156
oprD_V359L	BETA-LACTAM	CARBAPENEM	AMR	oprD	8962	0.36058582119578336
merR	MERCURY	MERCURY	STRESS	merR_Ps	8863	0.3566025589442343
merT	MERCURY	MERCURY	STRESS	merT	8841	0.3557173895550012
merP	MERCURY	MERCURY	STRESS	MerP_Gneg	8815	0.3546712802768166
merD	MERCURY	MERCURY	STRESS	merD	8262	0.332421340629275
merE	MERCURY	MERCURY	STRESS	merE	8125	0.3269091494326869
gyrA_T83I	QUINOLONE	QUINOLONE	AMR	gyrA	7245	0.29150237386336203
merA	MERCURY	MERCURY	STRESS	merA	7182	0.28896757061237627
pmrB_V15I	COLISTIN	COLISTIN	AMR	pmrB	5983	0.24072583889917115
sul1	SULFONAMIDE	SULFONAMIDE	AMR	sul1	5346	0.2150961615836485
blaOXA-488	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-488	5182	0.20849762613663797
blaOXA-50	BETA-LACTAM	BETA-LACTAM	AMR	blaOXA-50	5095	0.20499718355194335
qacEdelta1	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacEdelta1	4920	0.19795606341031624
parC_S87L	QUINOLONE	QUINOLONE	AMR	parC	4615	0.18568439687776617
blaPDC-1	BETA-LACTAM	CEPHALOSPORIN	AMR	blaPDC-1	3785	0.15228936992033476
clpK	NA	NA	STRESS	clpK	3761	0.1513237305866259
