Gene symbol	Class	Subclass	Element type	n	freq
mdsA	EFFLUX	EFFLUX	AMR	505293	0.9612964840755122
mdsB	EFFLUX	EFFLUX	AMR	505106	0.9609407252533593
aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	65043	0.12374128914060464
aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	64762	0.12320669968057804
tet(A)	TETRACYCLINE	TETRACYCLINE	AMR	61056	0.11615620665972905
sul2	SULFONAMIDE	SULFONAMIDE	AMR	54966	0.1045702642698288
sul1	SULFONAMIDE	SULFONAMIDE	AMR	49628	0.09441496698291788
blaTEM-1	BETA-LACTAM	BETA-LACTAM	AMR	47260	0.08990995687137701
tet(B)	TETRACYCLINE	TETRACYCLINE	AMR	35740	0.06799369146388097
floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	29741	0.056580872351071176
aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	29214	0.05557827930682201
gyrA_D87Y	QUINOLONE	QUINOLONE	AMR	28485	0.0541913906365039
gyrA_S83F	QUINOLONE/TRICLOSAN	QUINOLONE/TRICLOSAN	AMR	19495	0.037088332822841616
aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	18912	0.035979202377306015
fosA7	FOSFOMYCIN	FOSFOMYCIN	AMR	18665	0.03550929633948904
aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	AMR	15010	0.028555828451954486
blaCMY-2	BETA-LACTAM	CEPHALOSPORIN	AMR	12639	0.02404511097963043
catA1	PHENICOL	CHLORAMPHENICOL	AMR	10525	0.020023324081067353
dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	AMR	10212	0.019427856106019933
aac(3)-IVa	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	AMR	9993	0.01901121876884618
aph(4)-Ia	AMINOGLYCOSIDE	HYGROMYCIN	AMR	9914	0.018860924934888525
gyrA_D87N	QUINOLONE	QUINOLONE	AMR	9865	0.018767704708762892
