Gene symbol	Class	Subclass	Element type	Hierarchy node	n	freq
aur	NA	NA	VIRULENCE	aur	103628	0.999739520524818
tet(38)	TETRACYCLINE	TETRACYCLINE	AMR	tet(38)	103607	0.9995369253774541
mepA	TETRACYCLINE	TIGECYCLINE	AMR	mepA	103544	0.9989291399353625
hlgA	NA	NA	VIRULENCE	hlgA	103476	0.9982731175534224
icaC	NA	NA	VIRULENCE	icaC	103159	0.9952148955670252
hlgB	NA	NA	VIRULENCE	hlgB	103144	0.9950701847474797
hlgC	NA	NA	VIRULENCE	hlgC	102677	0.9905648545656264
hld	NA	NA	VIRULENCE	hld	101284	0.9771260431238242
lmrS	MACROLIDE/PHENICOL	CHLORAMPHENICOL/ERYTHROMYCIN	STRESS	lmrS	97688	0.9424340359847572
blaI	BETA-LACTAM	BETA-LACTAM	AMR	blaI_of_Z	85060	0.8206068207032946
scn	NA	NA	VIRULENCE	scn	83219	0.8028459794510636
sak	NA	NA	VIRULENCE	sak	77367	0.746389465052337
blaZ	BETA-LACTAM	BETA-LACTAM	AMR	blaZ	69818	0.6735613332690175
lukE	NA	NA	VIRULENCE	lukE	64216	0.6195166658627177
splA	NA	NA	VIRULENCE	splA	60090	0.5797115430997057
splB	NA	NA	VIRULENCE	splB	59896	0.5778399498335826
mecA	BETA-LACTAM	METHICILLIN	AMR	mecA	59070	0.5698712073706044
fosB	FOSFOMYCIN	FOSFOMYCIN	AMR	fosB-Saur	58564	0.5649896290579326
selX	NA	NA	VIRULENCE	selX	56881	0.5487530751049153
cadD	CADMIUM	CADMIUM	STRESS	cadD	53480	0.5159423086199412
lukD	NA	NA	VIRULENCE	lukD	52055	0.5021947807631084
sel26	NA	NA	VIRULENCE	sel26	50833	0.4904056726641262
mecR1	BETA-LACTAM	METHICILLIN	AMR	mecR1	49189	0.47454536684192755
sei	NA	NA	VIRULENCE	sei	48027	0.46333510202112776
sem	NA	NA	VIRULENCE	sem	47305	0.45636968790699917
seu	NA	NA	VIRULENCE	seu	46639	0.4499445275191742
splE	NA	NA	VIRULENCE	splE	44532	0.4296174810670011
sen	NA	NA	VIRULENCE	sen	39907	0.3849983117071053
seo	NA	NA	VIRULENCE	seo	38793	0.3742511215088515
blaR1	BETA-LACTAM	BETA-LACTAM	AMR	blaR1-2	37380	0.3606193623076552
gyrA_S84L	QUINOLONE	QUINOLONE	AMR	gyrA	35663	0.34405479716366794
glpT_A100V	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	32920	0.3175920119627611
murA_E291D	FOSFOMYCIN	FOSFOMYCIN	AMR	murA	31920	0.3079446239930539
parC_S80F	QUINOLONE	QUINOLONE	AMR	parC	25865	0.24952968983647678
blaR1	BETA-LACTAM	BETA-LACTAM	AMR	blaR1	24047	0.2319907385075491
lukF-PV	NA	NA	VIRULENCE	lukF-PV	19093	0.1841975785056196
lukS-PV	NA	NA	VIRULENCE	lukS-PV	19082	0.18409145723795284
ant(9)-Ia	AMINOGLYCOSIDE	SPECTINOMYCIN	AMR	ant(9)-Ia	18401	0.1775215860305822
arsC	ARSENIC	ARSENATE	STRESS	arsC_thio	18017	0.17381698905021464
seq	NA	NA	VIRULENCE	seq	17959	0.17325744054797163
sek	NA	NA	VIRULENCE	sek	17949	0.17316096666827457
arsB	ARSENIC	ARSENITE	STRESS	arsB_pI258	17884	0.1725338864502436
murA_G257D	FOSFOMYCIN	FOSFOMYCIN	AMR	murA	17053	0.16451690704741692
erm(A)	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	AMR	erm(A)	17033	0.16432395928802276
aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	aph(3')-IIIa	16581	0.15996333992571513
ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	ant(6)-Ia	16559	0.15975109739038154
murA_D278E	FOSFOMYCIN	FOSFOMYCIN	AMR	murA	16167	0.15596932130625632
erm(C)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	AMR	erm(C)	16081	0.15513964594086152
arsR	ARSENIC	ARSENIC	STRESS	arsR_pI258	15908	0.15347064782210218
murA_T396N	FOSFOMYCIN	FOSFOMYCIN	AMR	murA	15754	0.15198495007476726
cna	NA	NA	VIRULENCE	cna	15587	0.15037383628382617
sea	NA	NA	VIRULENCE	sea	15499	0.1495248661424919
blaPC1	BETA-LACTAM	BETA-LACTAM	AMR	blaPC1	15381	0.14838647436206648
sat4	STREPTOTHRICIN	STREPTOTHRICIN	AMR	sat4	14821	0.14298393709903043
tet(K)	TETRACYCLINE	TETRACYCLINE	AMR	tet(K)	14435	0.13926004534272346
aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	aac(6')-Ie	13636	0.1315517823549274
sel	NA	NA	VIRULENCE	sel	13034	0.12574405479716366
mco	COPPER	COPPER	STRESS	mco	12985	0.125271332786648
parC_S80Y	QUINOLONE	QUINOLONE	AMR	parC	12910	0.12454777868891997
aadD1	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	AMR	ant(4')-Ia	12645	0.12199122087694757
msr(A)	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/STREPTOGRAMIN B	AMR	msr(A)	12293	0.11859534031161063
mph(C)	MACROLIDE	ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	mph(C)	12036	0.11611596160339588
dfrB_A135T	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrB	11571	0.11162992619748204
mecI	BETA-LACTAM	METHICILLIN	AMR	mecI_of_mecA	11558	0.11150451015387584
tet(M)	TETRACYCLINE	TETRACYCLINE	AMR	tet(M)	11345	0.1094496165163282
tst	NA	NA	VIRULENCE	tst	9833	0.09486276590613092
bleO	BLEOMYCIN	BLEOMYCIN	AMR	bleO	9576	0.09238338719791617
dfrG	TRIMETHOPRIM	TRIMETHOPRIM	AMR	dfrG	9110	0.08788770440403261
sej	NA	NA	VIRULENCE	sej	8496	0.08196420819063238
ser	NA	NA	VIRULENCE	ser	8495	0.08195456080266268
glpT_V213I	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	8170	0.07881915971250784
glpT_F3I	FOSFOMYCIN	FOSFOMYCIN	AMR	glpT	8141	0.07853938546138634
sep	NA	NA	VIRULENCE	sep	8125	0.07838502725387102
sed	NA	NA	VIRULENCE	sed	6990	0.06743524190825334
sey	NA	NA	VIRULENCE	sey	6566	0.06334474940909748
seb	NA	NA	VIRULENCE	seb	6346	0.061222324055761904
sec1	NA	NA	VIRULENCE	sec1	6032	0.058193044233273844
qacR	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacR	5849	0.056427572234817425
seh	NA	NA	VIRULENCE	seh	5793	0.05588731850851382
qacA	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	qacA	5451	0.05258791182287396
