Gene symbol	Class	Subclass	Element type	n	freq
aur	NA	NA	VIRULENCE	103628	0.999739520524818
tet(38)	TETRACYCLINE	TETRACYCLINE	AMR	103607	0.9995369253774541
mepA	TETRACYCLINE	TIGECYCLINE	AMR	103544	0.9989291399353625
hlgA	NA	NA	VIRULENCE	103476	0.9982731175534224
icaC	NA	NA	VIRULENCE	103159	0.9952148955670252
hlgB	NA	NA	VIRULENCE	103144	0.9950701847474797
hlgC	NA	NA	VIRULENCE	102677	0.9905648545656264
hld	NA	NA	VIRULENCE	101284	0.9771260431238242
lmrS	MACROLIDE/PHENICOL	CHLORAMPHENICOL/ERYTHROMYCIN	STRESS	97688	0.9424340359847572
blaI	BETA-LACTAM	BETA-LACTAM	AMR	85060	0.8206068207032946
scn	NA	NA	VIRULENCE	83219	0.8028459794510636
sak	NA	NA	VIRULENCE	77367	0.746389465052337
blaZ	BETA-LACTAM	BETA-LACTAM	AMR	71545	0.6902223722927018
lukE	NA	NA	VIRULENCE	64216	0.6195166658627177
blaR1	BETA-LACTAM	BETA-LACTAM	AMR	61287	0.5912594664994453
splA	NA	NA	VIRULENCE	60090	0.5797115430997057
splB	NA	NA	VIRULENCE	59896	0.5778399498335826
mecA	BETA-LACTAM	METHICILLIN	AMR	59070	0.5698712073706044
fosB	FOSFOMYCIN	FOSFOMYCIN	AMR	58567	0.5650185712218417
selX	NA	NA	VIRULENCE	56881	0.5487530751049153
cadD	CADMIUM	CADMIUM	STRESS	53480	0.5159423086199412
lukD	NA	NA	VIRULENCE	52055	0.5021947807631084
sel26	NA	NA	VIRULENCE	50833	0.4904056726641262
mecR1	BETA-LACTAM	METHICILLIN	AMR	49189	0.47454536684192755
sei	NA	NA	VIRULENCE	48027	0.46333510202112776
sem	NA	NA	VIRULENCE	47305	0.45636968790699917
seu	NA	NA	VIRULENCE	46639	0.4499445275191742
splE	NA	NA	VIRULENCE	44532	0.4296174810670011
sen	NA	NA	VIRULENCE	39907	0.3849983117071053
seo	NA	NA	VIRULENCE	38793	0.3742511215088515
gyrA_S84L	QUINOLONE	QUINOLONE	AMR	35663	0.34405479716366794
glpT_A100V	FOSFOMYCIN	FOSFOMYCIN	AMR	32920	0.3175920119627611
murA_E291D	FOSFOMYCIN	FOSFOMYCIN	AMR	31920	0.3079446239930539
parC_S80F	QUINOLONE	QUINOLONE	AMR	25865	0.24952968983647678
lukF-PV	NA	NA	VIRULENCE	19093	0.1841975785056196
