Gene symbol	Class	Subclass	Element type	n	freq
fusD	FUSIDIC ACID	FUSIDIC ACID	AMR	647	0.9984567901234568
arsC	ARSENIC	ARSENATE	STRESS	644	0.9938271604938271
arsB	ARSENIC	ARSENITE	STRESS	636	0.9814814814814815
cadD	CADMIUM	CADMIUM	STRESS	204	0.3148148148148148
qacC	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	203	0.3132716049382716
arsR	ARSENIC	ARSENIC	STRESS	193	0.2978395061728395
msr(A)	MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/STREPTOGRAMIN B	AMR	151	0.2330246913580247
tet(K)	TETRACYCLINE	TETRACYCLINE	AMR	151	0.2330246913580247
mph(C)	MACROLIDE	ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	131	0.2021604938271605
cadC	CADMIUM/LEAD/ZINC	CADMIUM/LEAD/ZINC	STRESS	129	0.19907407407407407
mco	COPPER	COPPER	STRESS	102	0.1574074074074074
qacJ	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	84	0.12962962962962962
lnu(A)	LINCOSAMIDE	LINCOSAMIDE	AMR	64	0.09876543209876543
merR1	MERCURY	MERCURY	STRESS	56	0.08641975308641975
merA	MERCURY	MERCURY	STRESS	46	0.07098765432098765
merB	MERCURY	ORGANOMERCURY	STRESS	46	0.07098765432098765
merT	MERCURY	MERCURY	STRESS	46	0.07098765432098765
mecA	BETA-LACTAM	METHICILLIN	AMR	45	0.06944444444444445
mecR1	BETA-LACTAM	METHICILLIN	AMR	45	0.06944444444444445
mecI	BETA-LACTAM	METHICILLIN	AMR	42	0.06481481481481481
qacG	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	35	0.05401234567901234
dfrG	TRIMETHOPRIM	TRIMETHOPRIM	AMR	31	0.047839506172839504
erm(44)v	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	AMR	28	0.043209876543209874
qacR	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	25	0.038580246913580245
catA	PHENICOL	CHLORAMPHENICOL	AMR	24	0.037037037037037035
str	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	24	0.037037037037037035
qacA	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	21	0.032407407407407406
blaI	BETA-LACTAM	BETA-LACTAM	AMR	20	0.030864197530864196
fosD	FOSFOMYCIN	FOSFOMYCIN	AMR	20	0.030864197530864196
blaR1	BETA-LACTAM	BETA-LACTAM	AMR	18	0.027777777777777776
icaC	NA	NA	VIRULENCE	18	0.027777777777777776
blaZ	BETA-LACTAM	BETA-LACTAM	AMR	17	0.026234567901234566
lnu(A)'	LINCOSAMIDE	LINCOSAMIDE	AMR	15	0.023148148148148147
dfrS1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	12	0.018518518518518517
erm(C)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	AMR	11	0.016975308641975308
fusB	FUSIDIC ACID	FUSIDIC ACID	AMR	7	0.010802469135802469
mupA	MUPIROCIN	MUPIROCIN	AMR	6	0.009259259259259259
vga(A)	LINCOSAMIDE	LINCOSAMIDE	AMR	6	0.009259259259259259
aadD1	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	AMR	5	0.007716049382716049
qacB	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	5	0.007716049382716049
aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	3	0.004629629629629629
ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	2	0.0030864197530864196
blaPC1	BETA-LACTAM	BETA-LACTAM	AMR	2	0.0030864197530864196
bleO	BLEOMYCIN	BLEOMYCIN	AMR	2	0.0030864197530864196
erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	AMR	2	0.0030864197530864196
fexA	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	2	0.0030864197530864196
mupB	MUPIROCIN	MUPIROCIN	AMR	2	0.0030864197530864196
qacZ	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	2	0.0030864197530864196
tet(L)	TETRACYCLINE	TETRACYCLINE	AMR	2	0.0030864197530864196
aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	1	0.0015432098765432098
catB1	PHENICOL	CHLORAMPHENICOL	AMR	1	0.0015432098765432098
dfrE	TRIMETHOPRIM	TRIMETHOPRIM	AMR	1	0.0015432098765432098
fosB	FOSFOMYCIN	FOSFOMYCIN	AMR	1	0.0015432098765432098
fosB1	FOSFOMYCIN	FOSFOMYCIN	AMR	1	0.0015432098765432098
lnu(B)	LINCOSAMIDE	LINCOSAMIDE	AMR	1	0.0015432098765432098
lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	AMR	1	0.0015432098765432098
sat4	STREPTOTHRICIN	STREPTOTHRICIN	AMR	1	0.0015432098765432098
spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	1	0.0015432098765432098
tet(30)	TETRACYCLINE	TETRACYCLINE	AMR	1	0.0015432098765432098
tet(M)	TETRACYCLINE	TETRACYCLINE	AMR	1	0.0015432098765432098
