Gene symbol	Class	Subclass	Element type	n	freq
mexA	EFFLUX	EFFLUX	AMR	24843	0.9995574153053834
fosA	FOSFOMYCIN	FOSFOMYCIN	AMR	24690	0.9934014645529895
aph(3')-IIb	AMINOGLYCOSIDE	KANAMYCIN	AMR	24647	0.9916713607467611
mexE	EFFLUX	EFFLUX	AMR	24638	0.9913092459966203
mexX	EFFLUX	EFFLUX	AMR	24470	0.9845497706606583
catB7	PHENICOL	CHLORAMPHENICOL	AMR	24153	0.9717952844612537
crpP	FLUOROQUINOLONE	FLUOROQUINOLONE	AMR	15686	0.6311257745232156
oprD_V359L	BETA-LACTAM	CARBAPENEM	AMR	8962	0.36058582119578336
merR	MERCURY	MERCURY	STRESS	8863	0.3566025589442343
merT	MERCURY	MERCURY	STRESS	8841	0.3557173895550012
merP	MERCURY	MERCURY	STRESS	8815	0.3546712802768166
merD	MERCURY	MERCURY	STRESS	8262	0.332421340629275
merE	MERCURY	MERCURY	STRESS	8125	0.3269091494326869
gyrA_T83I	QUINOLONE	QUINOLONE	AMR	7245	0.29150237386336203
merA	MERCURY	MERCURY	STRESS	7182	0.28896757061237627
pmrB_V15I	COLISTIN	COLISTIN	AMR	5983	0.24072583889917115
sul1	SULFONAMIDE	SULFONAMIDE	AMR	5346	0.2150961615836485
blaOXA-488	BETA-LACTAM	BETA-LACTAM	AMR	5182	0.20849762613663797
blaOXA-50	BETA-LACTAM	BETA-LACTAM	AMR	5095	0.20499718355194335
qacEdelta1	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	4920	0.19795606341031624
parC_S87L	QUINOLONE	QUINOLONE	AMR	4615	0.18568439687776617
blaPDC-1	BETA-LACTAM	CEPHALOSPORIN	AMR	3785	0.15228936992033476
clpK	NA	NA	STRESS	3761	0.1513237305866259
blaPDC-3	BETA-LACTAM	CEPHALOSPORIN	AMR	3656	0.14709905850164964
trxLHR	NA	NA	STRESS	3494	0.14058099299911483
shsP	NA	NA	STRESS	3131	0.12597569807676834
yfdX1	NA	NA	STRESS	3130	0.12593546310453047
yfdX2	NA	NA	STRESS	3100	0.12472841393739438
hdeD-GI	NA	NA	STRESS	3074	0.12368230465920979
kefB-GI	NA	NA	STRESS	2994	0.12046350688018025
psi-GI	NA	NA	STRESS	2744	0.11040476382071296
blaPDC-8	BETA-LACTAM	CEPHALOSPORIN	AMR	2587	0.1040878731793675
blaPDC-5	BETA-LACTAM	CEPHALOSPORIN	AMR	2531	0.10183471473404683
blaOXA-494	BETA-LACTAM	BETA-LACTAM	AMR	2333	0.09386819023094874
blaPDC-34	BETA-LACTAM	CEPHALOSPORIN	AMR	2222	0.08940210831254526
blaOXA-486	BETA-LACTAM	BETA-LACTAM	AMR	2036	0.0819184034763016
blaOXA-396	BETA-LACTAM	BETA-LACTAM	AMR	1672	0.06727287358171723
aph(3'')-Ib	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	1671	0.06723263860947935
aph(6)-Id	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	1634	0.0657439446366782
blaPDC-35	BETA-LACTAM	CEPHALOSPORIN	AMR	1596	0.06421501569163918
merF	MERCURY	MERCURY	STRESS	1523	0.06127786271827473
ant(2'')-Ia	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	1478	0.059467288967570614
blaOXA-395	BETA-LACTAM	BETA-LACTAM	AMR	1415	0.05693248571658486
chrA	CHROMATE	CHROMATE	STRESS	1372	0.05520238191035648
aac(6')-Ib4	AMINOGLYCOSIDE	GENTAMICIN	AMR	1320	0.053110163353987286
aadA6	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	1293	0.052023819103564815
blaVIM-2	BETA-LACTAM	CARBAPENEM	AMR	1268	0.05101794479761809
blaOXA-847	BETA-LACTAM	BETA-LACTAM	AMR	1223	0.04920737104691398
blaPDC-19a	BETA-LACTAM	CEPHALOSPORIN	AMR	1176	0.047316327351734126
tet(G)	TETRACYCLINE	TETRACYCLINE	AMR	1144	0.046028808240122315
blaOXA	BETA-LACTAM	BETA-LACTAM	AMR	1143	0.04598857326788445
aac(6')-Il	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	1108	0.044580349239559024
blaPDC	BETA-LACTAM	CEPHALOSPORIN	AMR	1070	0.04305142029452
gyrB_S466F	QUINOLONE	QUINOLONE	AMR	1010	0.04063732196024785
floR2	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	1008	0.04055685201577211
aadA1	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	881	0.035447010541562726
blaOXA-10	BETA-LACTAM	CEPHALOSPORIN	AMR	841	0.03383761165204796
qnrVC1	QUINOLONE	QUINOLONE	AMR	767	0.030860223706445644
dfrB5	TRIMETHOPRIM	TRIMETHOPRIM	AMR	763	0.030699283817494167
aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	AMR	754	0.030337169067353342
blaPDC-16	BETA-LACTAM	CEPHALOSPORIN	AMR	754	0.030337169067353342
aac(3)-Id	AMINOGLYCOSIDE	GENTAMICIN	AMR	741	0.029814114428261044
parE_A473V	QUINOLONE	QUINOLONE	AMR	707	0.028446125372173493
merB	MERCURY	ORGANOMERCURY	STRESS	704	0.028325420455459886
aac(6')-Ib3	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	668	0.026876961454896597
aadA2	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	661	0.026595316649231513
blaOXA-2	BETA-LACTAM	BETA-LACTAM	AMR	612	0.024623803009575923
blaOXA-905	BETA-LACTAM	BETA-LACTAM	AMR	609	0.024503098092862316
gyrA_D87N	QUINOLONE	QUINOLONE	AMR	607	0.02442262814838658
ftsI_R504C	BETA-LACTAM	CARBAPENEM	AMR	603	0.024261688259435102
aadA11	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	601	0.02418121831495936
floR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	AMR	550	0.022129234730828035
fusA1_T456A	AMINOGLYCOSIDE	AMIKACIN	AMR	547	0.022008529814114428
aph(3')-XV	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	546	0.021968294841876557
ftsI_V471G	BETA-LACTAM	CARBAPENEM	AMR	540	0.021726885008449343
blaPDC-24	BETA-LACTAM	CEPHALOSPORIN	AMR	527	0.021203830369357045
blaNDM-1	BETA-LACTAM	CARBAPENEM	AMR	522	0.0210026555081677
msr(E)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	AMR	475	0.019111611812987848
blaOXA-848	BETA-LACTAM	BETA-LACTAM	AMR	467	0.018789732035084897
blaOXA-904	BETA-LACTAM	BETA-LACTAM	AMR	462	0.01858855717389555
aac(6')-Ib	AMINOGLYCOSIDE	GENTAMICIN	AMR	458	0.018427617284944072
sul2	SULFONAMIDE	SULFONAMIDE	AMR	456	0.018347147340468335
ble	BLEOMYCIN	BLEOMYCIN	AMR	433	0.017421742978997345
parC_S87W	QUINOLONE	QUINOLONE	AMR	427	0.017180333145570128
ftsI_F533L	BETA-LACTAM	CARBAPENEM	AMR	419	0.016858453367667177
blaOXA-846	BETA-LACTAM	BETA-LACTAM	AMR	404	0.016254928784099138
catB3	PHENICOL	CHLORAMPHENICOL	AMR	404	0.016254928784099138
blaPDC-15	BETA-LACTAM	CEPHALOSPORIN	AMR	397	0.015973283978434054
blaPDC-11	BETA-LACTAM	CEPHALOSPORIN	AMR	394	0.015852579061720447
blaKPC-2	BETA-LACTAM	CARBAPENEM	AMR	391	0.01573187414500684
blaOXA-851	BETA-LACTAM	BETA-LACTAM	AMR	389	0.015651404200531103
qacE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	364	0.014645529894584373
blaCARB-2	BETA-LACTAM	BETA-LACTAM	AMR	350	0.014082240283254204
gyrB_E468D	QUINOLONE	QUINOLONE	AMR	336	0.013518950671924036
blaOXA-1032	BETA-LACTAM	BETA-LACTAM	AMR	331	0.01331777581073469
cmlA5	PHENICOL	CHLORAMPHENICOL	AMR	319	0.01283495614388026
oprD_W277STOP	BETA-LACTAM	CARBAPENEM	AMR	315	0.012674016254928784
aph(3')-Ia	AMINOGLYCOSIDE	KANAMYCIN	AMR	314	0.012633781282690914
tet(C)	TETRACYCLINE	TETRACYCLINE	AMR	308	0.0123923714492637
mexZ_G195E	BETA-LACTAM	CEPHALOSPORIN	AMR	302	0.012150961615836484
blaPDC-31	BETA-LACTAM	CEPHALOSPORIN	AMR	289	0.011627906976744186
toprJ1	TETRACYCLINE	TIGECYCLINE	AMR	289	0.011627906976744186
tet(A)	TETRACYCLINE	TETRACYCLINE	AMR	280	0.011265792226603363
blaOXA-1028	BETA-LACTAM	BETA-LACTAM	AMR	267	0.010742737587511065
aph(3')-VIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	259	0.010420857809608112
ampR_G154R	BETA-LACTAM	CEPHALOSPORIN	AMR	254	0.010219682948418766
blaOXA-1035	BETA-LACTAM	BETA-LACTAM	AMR	243	0.009777098253802205
qacG2	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	242	0.009736863281564336
qacL	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	242	0.009736863281564336
merC	MERCURY	ORGANOMERCURY	STRESS	241	0.009696628309326466
aac(3)-Ic	AMINOGLYCOSIDE	GENTAMICIN	AMR	240	0.009656393337088598
blaPDC-30	BETA-LACTAM	CEPHALOSPORIN	AMR	239	0.009616158364850727
blaTEM	BETA-LACTAM	BETA-LACTAM	AMR	235	0.009455218475899252
blaTEM-116	BETA-LACTAM	BETA-LACTAM	AMR	235	0.009455218475899252
aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	234	0.009414983503661382
tmexD3	TETRACYCLINE	TIGECYCLINE	AMR	230	0.009254043614709906
blaGES-5	BETA-LACTAM	CARBAPENEM	AMR	222	0.008932163836806952
dfrA1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	219	0.008811458920093345
